attack_instance_id,scenario_id,attack_id,bucket,subtype,scenario_seed,attack_intensity,stealth_level,time_window_hours,generated_record_ids
atk_4d0e834a2bf4,scn_0426d1a6b640,cred_card_testing_001__evaluation_baseline,credential_based_fraud,card_testing,202,0.7046,0.5819,8,"txn_9aadd14c9457,txn_2c823a2b94ef,txn_c273f2cb399d,txn_1bddab5d6448,txn_69dd34fd39e8,txn_7618143c6229,txn_1f10e29ccba1,txn_1086b10d7799,txn_df0774d8aca4,txn_fe10e1e03f0b,txn_e43029021945,txn_ee44f5e7a500,txn_bd553a455d80,txn_9733ab75d5d1,txn_d3f293e50387,txn_675514a6b49b,txn_8a9f97b0fe8a,txn_34a847667a0a,txn_b9987d1c7b1a,txn_6632a94226c3,txn_287698dfde1f,txn_ce4122c7ef71,txn_76d8c832f556,txn_db83fc0d37d1,txn_d14c33b522eb,txn_48862e1c2358,txn_892e304dd6a5,txn_1e30f3638a87,txn_87c8d9c672c4,txn_e4df1b1ebc58,txn_29921400ff2d,txn_96bf89afccae,txn_af365d73d861,txn_7138bf17c377,txn_329a6cc10ee5,txn_f89905a39774,txn_a5a316d12b5b,txn_4be49694e0a2,txn_a49cdd74cb1e,txn_dc2bd9c28438,txn_f2b9cf04c586,txn_bb2ba1a3a3d4,txn_53dd7ebbede0,txn_39f795239018,txn_1c5c8d5201b6,txn_3f9c70599ba0,txn_2525cc937d8d,txn_6bb9cd6797a6,txn_2108fe558617,txn_f36b40d59ca5,txn_d0ecb00da383,txn_bf891e276159,txn_d3846fc0f20b,txn_3d77402acb8a,txn_eae4c3d8ee9e,txn_195fb22b62a2,txn_640e5bbed92e,txn_77cb8021f35c,txn_b63fe317fc49,txn_351868954a43,txn_1b1bebfc802e,txn_1980ee73a221,txn_0f8957b9de38,txn_01541d58facc,txn_3b3317ac416d,txn_00582e66dfe0,txn_77e81ee782e7,txn_dc71bd4c6a02,txn_a301b03e9ef8,txn_667c986f844f,txn_da5fbeaa64be,txn_8c269c9a8edc,txn_f0001963c2b3,txn_1e54ffc59f2d,txn_b7c6dc881de8,txn_5e02f556dcd4,txn_de7d246eab09,txn_21b19bb0c7ee,txn_60c9f74089a9,txn_f3f10fe2305d,txn_4c8b22117ce2,txn_1a1cfdce3f58,txn_5333fe7f7cbf,txn_58b7f8ef9f5c,txn_0a4ad1109d56,txn_ab34f16e7bc3,txn_45a88bb4eb18,txn_9cea4a51b0b6,txn_4fb68a627843,txn_400136ad5806,txn_f10bfc017859,txn_98b6e5585a44,txn_4cf2a69bf26b,txn_9c5662db85c5,txn_f80b1d1d40d5,txn_61964745d167,txn_1e6b15d9e87c,txn_263009c122bc,txn_d763a98ba73b,txn_ea00ab524ce9,txn_1fe1ecf70fd5,txn_a9d5273ffd31,txn_9b8faa790f55,txn_aaea471cf2a9,txn_228d98cd3741,txn_d36bfb6ffea2,txn_373e7540ad93,txn_b805882a780c,txn_5d53b2c04835,txn_4f53b052b82a,txn_dd4639bcd3f2,txn_2f5340aec30e,txn_22bf3374a178,txn_5b8fb905d717,txn_5d12e218cbde,txn_599a3c96dccf,txn_c687b20eefd8,txn_3a8d6ddaf58c,txn_ac3b66ee1f9c,txn_1351622e2d56,txn_5ea293a3e226,txn_986810699400,txn_bf5d561206e1,txn_629f5e9a74b1,txn_4fe8822039f6,txn_b87ed1aaa64c,txn_9c205217962d,txn_e793315f6c1e,txn_e58b75399ed8,txn_3f76fe51c10f,txn_5e2f54241a3f,txn_3ec88273435c,txn_2dc86465f294,txn_d04c1c4a53f3,txn_6e94d5107b75,txn_43d107715380,txn_6cae591a1f2a,txn_7de568582f22,txn_49793496dd34,txn_788d9ad6ba16,txn_a3ce7f47c14b,txn_31f9a9769e29,txn_3db2853e6d85,txn_4abb93b4eec5,txn_1a48a3eee437,txn_f28b89836870,txn_c264855f8342"
atk_d32e418fb6ba,scn_fdfb6b741248,cred_cnp_001__evaluation_baseline,credential_based_fraud,card_not_present,203,0.8132,0.4363,2,"txn_a18be3c53a85,txn_855be397296c,txn_4be977f35c9b,txn_60deb665ab7d,txn_ef9afcd6a5cb,txn_9367d5d6b4c8,txn_e8cacdd379de,txn_53a9ce6f2549,txn_37efe6d40469,txn_01d61816312c,txn_d5d3295a8dfd,txn_427585099b29,txn_bb70ba768a55,txn_6b9e0d82ba06,txn_703feb2d4e3b,txn_edf98c71667f,txn_a5c2d8716ec2,txn_fdd9972afad6,txn_9bebec859215,txn_15902729506c,txn_5e816464d334,txn_0c41ebf30048,txn_1ed345ae117b,txn_5cecfb1ca14d,txn_2ba48ee357aa,txn_5f1580035999,txn_345c14173603,txn_53dbf7545657,txn_6775621850af,txn_a540990ae5b1,txn_067b54e594b1,txn_507de26fbaee,txn_967215d9b57e"
atk_2ffe47300345,scn_2aae69d3c1da,cred_consumer_ato_001__evaluation_baseline,credential_based_fraud,consumer_account_takeover,204,0.397,0.6088,15,"txn_0722e272fc66,txn_469f0512eea1,txn_07d2ac2d9190,txn_256333efe28e,txn_b84f46ec77c7,txn_6f95316b4c1e,txn_a7c50c2f9ce2,txn_42988392588e,txn_92ea5ef8d879,txn_6fea75c7ff67,txn_184dcffb3b94,txn_b5834fe9fc23"
atk_ec2813bc5f02,scn_cac22493fc75,cred_merchant_admin_ato_001__evaluation_baseline,credential_based_fraud,merchant_admin_takeover,205,0.7485,0.6738,11,"txn_54dd90007928,txn_fd7ec685a3b8,txn_e25e47f88b68,txn_5911e9c92535,txn_0eb665248962,txn_6a3f269b2357,txn_38ed3122f422,txn_fe8bd362ad67"
atk_fb00b9b1ff41,scn_cb027dd7bd10,cred_stuffing_001__evaluation_baseline,credential_based_fraud,credential_stuffing,206,0.5178,0.2048,6,"txn_16ae0c86b7fb,txn_04c33e534a21,txn_50a728652036,txn_e6ded102e8c4,txn_86afbe4f2ca3,txn_9483cdebc007,txn_8dcd07956537,txn_e6e45e6292ad,txn_10ca19caf3ed,txn_ca43c717f2c9,txn_7a47297e4c9f,txn_0db9fbec0cce,txn_65ccfdbefbc0,txn_ed567a162c00,txn_65d513996a1b,txn_ab6372ea617e,txn_0aeaec7888d2,txn_878152daa7b4,txn_654847a70d24,txn_4e5c8b277e33,txn_0a2a16ab7d54,txn_12dd3dc40b4c,txn_252520633bbd,txn_0ce65612b3cb,txn_b878316092d1,txn_e906c57d5b54,txn_0750b7f0d72e,txn_875520134b1d,txn_476a063c8428,txn_dd990ddbdeb5,txn_5679ede1eebb,txn_d2a64d9356e5,txn_0ab1e3506e55,txn_c6c2144c981b,txn_b30ddd187835,txn_36e2e10133fe,txn_65df045cc083,txn_7137816aaa41,txn_7f3befa70b3b,txn_4a5806a3d0fd,txn_23b614c17e31,txn_96ee87008c1c,txn_c8c8affc4614,txn_c10af909ba25,txn_f910f5c067cf,txn_84f21c31bb09,txn_a424745f6b51,txn_d91477be7653,txn_81bad0c22d7e,txn_fa069583e010,txn_a4320c460b56,txn_0dd747c4ccd8,txn_ee3d82cca61f,txn_ba0b4f014023,txn_83c914a7262c,txn_4affa6f7e04d,txn_2f364f5726d3,txn_c350e51ecd9a,txn_a5255a962eb2,txn_b14727fb1ebd,txn_618d7212442a,txn_e99c040e2bb8,txn_24b12011b1b9,txn_688f7814b009,txn_0a6d275351ee,txn_120e86d859ae,txn_17df59863dda,txn_450028faedaf,txn_004ab50eb654,txn_cd6dd186a7ab,txn_8315f5dcc129,txn_b03794146653,txn_6203595f8258,txn_1cdb5fa027dd,txn_813385eb8ed5,txn_ea5994b926cc,txn_32a8d9ef2a8b,txn_a7f189d1647e,txn_62fdcdb81f92,txn_b9b52e35c9f5,txn_3f148ae5f40e,txn_911da0ad5f90,txn_85c866e0039b,txn_ff37cac7ebae,txn_166c76e51d4b,txn_a528ea3cfd2e,txn_3eb476cebc25,txn_17f4ac39a903,txn_892f95313639,txn_e766bf27adfe,txn_fcce4ceec668,txn_82f1bf145e0d,txn_29f3311d1b48,txn_df11112d67b9,txn_3084f4e5b3d9,txn_43be46d16ed3,txn_4e8eabe40e6e,txn_0167145972ab,txn_2713e0c875a1,txn_207270857ead,txn_00315f5fd82d,txn_f9de32cda615,txn_85dd12282ca1,txn_9b1cf5a9d472,txn_6eba9af488f6,txn_cc391516243a,txn_63e6072f0c4c,txn_10a5a64e02af,txn_a3b7068bd8cb,txn_d6464b3e301d,txn_885f81275ca2,txn_f48128b8c440,txn_b59eaf28159c,txn_0dab6aca2592,txn_4a61375ba58f,txn_5a022455fba6,txn_25c35c65a1e1,txn_bc82567d9645,txn_74ee83ebee32,txn_505d62c516fb,txn_0ca2889e6a62,txn_843fad9ebf3b,txn_ad609bcfd938,txn_03e0e760cee3,txn_d3f0aa6306c9,txn_22e1e2edce1e,txn_488ddad281e8,txn_57143bbfaeea,txn_1a4535743b62,txn_e62721a490e2,txn_370e2678cf9e,txn_cc67eb88affe,txn_3db73f3722a4,txn_c84038060b75,txn_5d4bdc8e8bca,txn_de3981b76be8,txn_8c490ceb9c46,txn_ecd320a10125,txn_df07d79f852b,txn_bf07249cce28,txn_e69c54640bc8,txn_c50df4f31920,txn_77b31724d305,txn_a3db612fc73b,txn_55610af4acb4,txn_4066a79215df,txn_6de33e66559a,txn_12ebf97c5ab6,txn_f831560d5666,txn_7ed1336fa893,txn_031a3ad1bac1,txn_f22813ef2f6f,txn_44cb47db7dac,txn_fda326ed775a,txn_742105c34611,txn_3ab77bac03f9,txn_7ee9fb18e17b,txn_dca112b09b87,txn_9ee511b75fa6,txn_f646ce330602,txn_24314d8a4703,txn_7e086ac5fbfe,txn_2a2c9139f61e,txn_e3ed86279cd0,txn_f26ced6ac23c,txn_949e59f3fffd,txn_8a878d08d873,txn_29cbc0fff99f,txn_df5bdd0ae93b,txn_84561a172db1,txn_50c2250d0232,txn_e9981ab0bd38,txn_4bb0f70d1ebb,txn_efb755221f2d,txn_f5c1b747e5fc,txn_2a67882439cc,txn_31f6e9cfcc7f,txn_8ed028e8fdae,txn_b934f2170a93,txn_14a6be6948d6,txn_b5c4f8444c36,txn_bb246d885073,txn_f44914b31475,txn_6ec1495da85b,txn_02b283f8cbcb,txn_ce35bfe51b50,txn_5d9504908fcf,txn_178268f192ea,txn_27d07588f27b,txn_822a3232423c,txn_ca085d648e08,txn_261beff8ce47,txn_c0bc67206de5,txn_b78b3e53d418,txn_ea481874d9b6,txn_c37c8aa4f604,txn_aa1def9eae75,txn_b60678030eb6,txn_81e11008205d,txn_6f9e89e457c7,txn_2904bcdf7419,txn_65d021c9e37d,txn_34c2218ecccd,txn_01a7e6b71818,txn_886a007a1a1e,txn_e50f88ec4574,txn_5cf55ae01b8b,txn_0d14c87abe51,txn_6b906af7ca41,txn_337807431f27,txn_c64b99c93bee,txn_9a1f45aae17f,txn_48b6a06da643,txn_183478d0a2f3,txn_36399493bc28,txn_c32f764641fe,txn_26c7172502ae,txn_d50260866d97,txn_0ae7596f027a,txn_f4cbcdd2cdfc,txn_649c2990799d,txn_3b653ac66948,txn_f696af9d45ac,txn_92b8130b8da8,txn_c813f043f211,txn_feaa70ff5e90,txn_1b0bd7cbbb43,txn_4d5d7f467738,txn_27219f61f27a,txn_ba992e175cf4,txn_f88be18d6894,txn_40813474324f,txn_af00e33be16a,txn_24a139e404f7,txn_62e2b90f6629,txn_357cf7656175,txn_6bcb4dadb91b,txn_842662a5c296,txn_264bca03189e,txn_4232ac36405a,txn_1bf251799453,txn_02223ff3cd62,txn_22fbed0995b2,txn_a60a210f796a,txn_493ac9a9fcfc,txn_c0e07e937eb7,txn_49ba19291e13,txn_c366708fb678,txn_60fe56dbb9fc,txn_c330dfb3efa1,txn_c7e378d54c67,txn_f9a298866f5f,txn_a37209be75e7,txn_5d617731fe55,txn_dc45a5a2a8e4,txn_865b12995248,txn_cb0d4dc353ea,txn_914860d17d76,txn_4b09c9331ae7,txn_d76810d45747,txn_23bc048d1535,txn_265cbafb5e08,txn_10f282530d81,txn_78f5db7973f0,txn_4d7f55cb42e4,txn_771b0a533162,txn_246768d8ab0d,txn_23552cf9e8bd,txn_2405ab0bb904,txn_d84d445b677d,txn_acad99a645fb,txn_f59bb84402ec,txn_13fca0957cdb,txn_ca88c1a9bca5,txn_3f8a70a8c060,txn_8385c7ddd0a5,txn_bf05c3d8bc0a,txn_cdfd8b325cd4,txn_9755d214f07f,txn_3f98178efb27,txn_251b30b8cbc6,txn_f66af3209eb4,txn_4f9497ca5880"
atk_6a475c005d96,scn_a93df6714b10,identity_fraud_merchant_001__evaluation_baseline,identity_onboarding_fraud,fraudulent_merchant_onboarding,207,0.718,0.6524,54,"txn_0a5f6e5561a2,txn_25661405a71e,txn_d497d4e8e516,txn_db11195877a2,txn_f3770a47ea56,txn_66c93139b751,txn_f092086fa179,txn_fd68e149581e,txn_6808861d65e8,txn_2e1ab5ddeaa6,txn_f53fe1421b53,txn_23780d66446d,txn_fb5b863dc369,txn_21cfc0be0174,txn_c1f2995f365a,txn_10025eba1a95,txn_f4d6fab395aa,txn_9b5f64f90b97,txn_1e18406d75f0,txn_7391d151fa7c,txn_8c57da63e59f,txn_3681b10db862,txn_e98ff65a0625,txn_ff493fa8c251,txn_bfba0362814a,txn_727e5f34380e,txn_603e65580b99,txn_86b9cfc6f60f,txn_f88e9db06bd2,txn_5903c288572f,txn_1c83092044e3,txn_40c84addc2a8,txn_0300db036eb1,txn_e28e247ca66b,txn_105ac76c3550,txn_f25fdb90a981,txn_4d5aa3599c08,txn_9b9520cb2f2c,txn_cb8d9b83444e,txn_b2b320780fc6,txn_897106e987be,txn_edc7bb3497d2,txn_783284e76301,txn_27d743c74a93,txn_6971119988ae"
atk_ad649feb2760,scn_8eb2d90a9434,identity_mule_account_001__evaluation_baseline,identity_onboarding_fraud,mule_account_creation,208,0.7793,0.5256,69,"txn_fbef63ba2d63,txn_8b8c9a6e6783,txn_29c6838c27e6,txn_d16a0ea02ad2,txn_a7304d156d45,txn_da255676c763,txn_87b190d31b17,txn_95b93af46c77,txn_8c8284542fbd,txn_9b36b46b2c3e,txn_55446d814428,txn_90e1025802ef,txn_dc7b0c652dd5,txn_c592adc0b5c0,txn_77f8f91c4c3d,txn_0d75b45d0f4a,txn_7fc115d45590,txn_9c2dee85401f,txn_1a6890b2ec97,txn_737e9c66a0a6,txn_d7278132ffac,txn_54076e1e9a50,txn_c55d41089e9a,txn_be2ffc0e4086,txn_1f8d1fdab18e,txn_bf80e499cea4,txn_02a9f5b2b2a0,txn_725af9f693d7,txn_dfcb28fdcac6,txn_c1dec2e41663,txn_767180eb693c,txn_912e5379e374,txn_dabbc1bc2796,txn_6b90360a6397,txn_b0483e64af70,txn_6f5aa3961781,txn_5975484131ba,txn_57bf470ce223,txn_b3ad06f7396e,txn_55022157724e,txn_a686ebf4b087,txn_48a999465506,txn_0201361ffdd9,txn_3e4b8e108119,txn_40c9e9516130,txn_9b8aa059560e,txn_c86bb9f942af,txn_5389551b0f60,txn_b27f7f15c87b,txn_79b66fcb3142,txn_c4094f233cbd,txn_69e4da80c81f,txn_e300725cad3a,txn_af4406aaf762,txn_67493be3b438,txn_d7b17861dd7d,txn_a2c3be9e5a35,txn_93b7a10e53e1,txn_0851c090154f,txn_c62429498999,txn_f3a0afcc3bd0,txn_27ca93940eca,txn_abaea28a9a28,txn_4de7364e7359,txn_a95ec64e628d"
atk_05ed971928f9,scn_b3f0132505f2,identity_stolen_signup_001__evaluation_baseline,identity_onboarding_fraud,stolen_identity_signup,209,0.3628,0.745,16,"txn_fef2de7ae025,txn_8b0116e6c8bc,txn_d31f578195a2,txn_a5c40185c101,txn_f93c6fe18043,txn_2a8ca5f04c8e,txn_1775281092eb,txn_593d586493b1,txn_bfa0f4c9eca9,txn_cd65e87946ab,txn_e9ba01408f4a"
atk_bf1294c84469,scn_9f7f6afeb0c1,identity_synthetic_001__evaluation_baseline,identity_onboarding_fraud,synthetic_identity,210,0.7243,0.6539,19,"txn_31df94090dd5,txn_cdcb1f77bcf6,txn_4cab80558d05,txn_e7b0a75a548e,txn_fffc83ccab80,txn_a7f43bba1d6d,txn_9aea143cb951,txn_d8f417cb6071,txn_9bb0ccd51b4d,txn_b5e4cd5395f4,txn_12a4201dc2ec,txn_4830fa5cedb8,txn_6d6e54e7611b,txn_d53ec8542dc8,txn_4f3fcb087dba"
atk_959bd76f3da3,scn_a38a79922cfc,identity_synthetic_business_001__evaluation_baseline,identity_onboarding_fraud,synthetic_business,211,0.7574,0.726,19,"txn_fb535d827062,txn_67a9b62b8cd9,txn_17f934e04845,txn_38c8f8494448,txn_099c3cf66b1d,txn_d233a0b4a9da,txn_14f685e9d9bb,txn_76eda89a23ad,txn_566172ffa03e,txn_567ee059eaa6,txn_8d55310103f7,txn_55c3cd707d25,txn_c32309aec826,txn_56ac5f75f7e9"
atk_2bf85c52817b,scn_2611a791cbda,merchant_bustout_001__evaluation_baseline,merchant_ecosystem_abuse,bust_out_merchant,212,0.8903,0.5085,111,"txn_84fadf4d000b,txn_2d19797fbdbc,txn_1c3364c249e8,txn_4c3d059d28bc,txn_13daa1765b56,txn_45ab2e0200b8,txn_5dcd9c44dc58,txn_6e23af6a351d,txn_e448f04c0a45,txn_9156c1055f48,txn_51e618a954d4,txn_a3a0a4c9055a,txn_6220d9dda43e,txn_acfbd032dda1,txn_d0401e26cd61,txn_dc9140541b11,txn_21bec4539ecb,txn_6029ec972441,txn_6c3058f7e70c,txn_4b4e482fe5c7,txn_d527d17484cd,txn_0a74d434f453,txn_a031108f0c0c,txn_b84764649929,txn_c086ce9990cd,txn_3bf485576457,txn_1a5c09c2b0e9,txn_3a577e172568,txn_78fa3ab38c5f,txn_d620420a207d,txn_f68fe86d4747,txn_07c7a084020b,txn_696bc9f613c1,txn_7af725fa3bf6,txn_9002d3460b79,txn_83493bc28fc2,txn_f99716a0f63e,txn_5f1705668fd2,txn_bfae7c7908e2,txn_a6bf0a0b5949,txn_2cc9c4d41f3e,txn_8ada5c9d1742,txn_4d99bc71bdf3,txn_b6cc082c91fc,txn_3e1a4ea45c2f,txn_2c9418ddd3c0,txn_0a80c63d3ee4,txn_7bde30154034,txn_626bb35f08cc,txn_5ba372df9e9f,txn_93490e651558,txn_388960384458,txn_e108e7337e5a,txn_0381b193cab5,txn_2a2668638ca3,txn_95e17454dee6,txn_d9c7f678b948,txn_db9e5087d50b,txn_c590993406a6,txn_9df3f601ecb8,txn_e2b531175d46,txn_e3262b5a6df9,txn_9d8c848391d2,txn_882b042fc2b2,txn_5e6e4ee2dbab,txn_adfcaa3272ef,txn_90eb514866e7,txn_2a3248feabd3,txn_c0c4e7704bb6,txn_9042d368f7f8,txn_3cc595a398b4,txn_3abbe162d97e,txn_6146dc1079f1,txn_fc13ccda9cd8,txn_340c2acdfe52,txn_a40eba8333c9,txn_2e54fc6c9fbe,txn_e4ccecf1e53e,txn_569f697e2e84,txn_75dca06c0061,txn_4debe70a6126,txn_858bfc114ccf,txn_90e2987f67f3,txn_80a1bfe144a7,txn_5fc999f44a53,txn_cfaddb921657,txn_93843e04f969,txn_55daf570d192,txn_604fb858c6f2,txn_fe332ed3f33c,txn_76fbdd2bc339,txn_23f14d2c749a,txn_9309ac98fe16,txn_fcfc02191ef5,txn_aabdd037c7a5,txn_4dc98616b208,txn_728d903526c4,txn_fd2757e9c8fc,txn_a0ad3cf43700,txn_9c6b71a5e5fe,txn_e5d4df036473,txn_758ef709284a,txn_f3d9ec0466a4,txn_65aa2bb56ae8,txn_2bc033997151,txn_7e7fae7b1164,txn_2a7c57037b60,txn_4287d2983158"
atk_c052762b5237,scn_4a3b675ec38e,merchant_gift_card_001__evaluation_baseline,merchant_ecosystem_abuse,gift_card_abuse,213,0.4713,0.4109,49,"txn_97894eb65229,txn_5fbdf87be4f8,txn_f68a825d4a00,txn_531fe5631a82,txn_45ce0813b6b3,txn_a0001bd32225,txn_54c564e539a0,txn_b085adaf95d2,txn_3a3a0e0f566c,txn_40460fb5f9bb,txn_eb56970c9557,txn_ab5294924038,txn_b3fba29a1ee5,txn_8e63dffe9e22,txn_99896cae6060,txn_b485b1c9a879,txn_a70bed3218df,txn_28bcdbf746d4,txn_5b1f965288ab,txn_ed67dca3acf7,txn_96604efffaab,txn_8896571b4be5,txn_97dfebee39bb,txn_72278c85d309,txn_857c4753f325,txn_0281d5555bc4,txn_96c40688c388,txn_46b083485b1a,txn_be3d3d5fe6e1,txn_43c57c79f7d6,txn_ce95e1e53f16,txn_fa63d41445fb,txn_87e5ad8069af,txn_2011de8c6e56,txn_bf518a0776d9,txn_79b7db0a6bba,txn_2cce03af3c86,txn_dc7fd531c93d,txn_bcee08f589c3,txn_7e41bcb82c78,txn_300be482cb56,txn_118a1756e4f0,txn_f106ae9286ab,txn_008f88bc0f51,txn_da42c28530d0,txn_b78a9793ef78,txn_75ce30a4e828,txn_ffa9f35beff5,txn_b074dafe66f4,txn_e84b7746c949,txn_0c7c0a6d8076,txn_afad1593707b"
