transaction_id,fraud_score,prediction,ml_fraud_score,ml_prediction,decision_engine,llm_reviewed,llm_provider,llm_semantic_risk_score,llm_novelty_score,llm_recommendation,llm_rationale,llm_risk_indicators,llm_fallback,label,attack_bucket,attack_subtype,reason_codes
txn_d58445bb0cd3,0.028547439723062094,0,0.028547,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;high generated risk score lowers risk;IP velocity lowers risk
txn_909a56b4acdb,0.03029120015284914,0,0.030291,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;event_hour lowers risk;high generated risk score lowers risk
txn_754b6b44764b,0.007840011509248597,0,0.00784,0,ml_only,0,,,,,,,,0,,,amount deviation from customer history lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_9b476c04e751,0.04377819843203859,0,0.043778,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;event_hour lowers risk;merchant chargeback behavior lowers risk
txn_df59a780e260,0.004796481631157753,0,0.004796,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;high generated risk score lowers risk;IP velocity lowers risk
txn_25722f93497d,0.03994494085406106,0,0.039945,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_de780ac3df28,0.0477717015910999,0,0.047772,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;high generated risk score lowers risk;event_hour lowers risk
txn_79b450855389,0.06086041153348567,0,0.06086,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;merchant chargeback behavior lowers risk;event_hour lowers risk
txn_619300290f2b,0.06590297855366034,0,0.065903,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_199e1dff1473,0.0323845671789937,0,0.032385,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;merchant chargeback behavior lowers risk;event_hour lowers risk
txn_05e1734386c7,0.04027256459325882,0,0.040273,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;event_hour lowers risk;high generated risk score lowers risk
txn_bcd8cc8a4dfe,0.08036829847355687,0,0.080368,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;event_hour lowers risk;session velocity lowers risk
txn_cd40dbbd346c,0.07135255835057491,0,0.071353,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;merchant chargeback behavior lowers risk;session velocity lowers risk
txn_28abba5904f6,0.007607253847972208,0,0.007607,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;high generated risk score lowers risk;IP velocity lowers risk
txn_60d50df210bc,0.02287786701208616,0,0.022878,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;amount deviation from customer history lowers risk;event_hour lowers risk
txn_1652c66c3c15,0.04517176518463185,0,0.045172,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;high generated risk score lowers risk;session velocity lowers risk
txn_8e632c6f8ad3,0.11363794646778855,0,0.113638,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_6a64e01b2112,0.042879175163193596,0,0.042879,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;merchant chargeback behavior lowers risk;high generated risk score lowers risk
txn_f54ac94689a2,0.09348827470234478,0,0.093488,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;high generated risk score lowers risk;merchant chargeback behavior lowers risk
txn_081ec8a6e264,0.05224351623685798,0,0.052244,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;session velocity lowers risk
txn_46e83dccfaac,0.03204098701766649,0,0.032041,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;amount deviation from customer history lowers risk;merchant chargeback behavior lowers risk
txn_b2225a920c8d,0.04314622184679822,0,0.043146,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;high generated risk score lowers risk
txn_47cf84229a6e,0.05209921344157285,0,0.052099,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;merchant chargeback behavior lowers risk
txn_2139d9483d8a,0.05462480127083685,0,0.054625,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;merchant chargeback behavior lowers risk;session velocity lowers risk
txn_d9ee53d23fcf,0.08049726610838621,0,0.080497,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;high generated risk score lowers risk;session velocity lowers risk
txn_50fa4550a10f,0.17850249401896173,1,0.178502,1,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;merchant chargeback behavior lowers risk;session velocity lowers risk
txn_3bb3c48c818e,0.03928741600830981,0,0.039287,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;high generated risk score lowers risk;IP velocity lowers risk
txn_9a21a6a2d061,0.04239586100090048,0,0.042396,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;merchant chargeback behavior lowers risk
txn_d061606d6bb2,0.12143165124790802,0,0.121432,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;session velocity lowers risk;merchant chargeback behavior lowers risk
txn_7a7049e2d1b8,0.04246801349187352,0,0.042468,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;session velocity lowers risk
txn_1bf2c1c629ec,0.015095575697565608,0,0.015096,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;high generated risk score lowers risk;IP velocity lowers risk
txn_7e82e774ca36,0.005734417234286421,0,0.005734,0,ml_only,0,,,,,,,,0,,,amount deviation from customer history lowers risk;IP velocity lowers risk;session velocity lowers risk
txn_c249921093ba,0.0738864158372666,0,0.073886,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;session velocity lowers risk
txn_04152c90d2e0,0.20657307664376218,1,0.206573,1,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;session velocity lowers risk
txn_5d847266b1ef,0.07845886143769072,0,0.078459,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;session velocity lowers risk;amount deviation from customer history lowers risk
txn_e5f0d8bf3001,0.06636051329903557,0,0.066361,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;merchant chargeback behavior lowers risk;high generated risk score lowers risk
txn_3429829990e4,0.3616758870188223,1,0.361676,1,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;merchant chargeback behavior lowers risk;session velocity lowers risk
txn_ad0813a7c379,0.1047241788351909,0,0.104724,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;session velocity lowers risk;event_hour lowers risk
txn_f3680544c4cc,0.03404937796772542,0,0.034049,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;high generated risk score lowers risk
txn_27a9eab343b6,0.07676642588161346,0,0.076766,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;high generated risk score lowers risk;merchant chargeback behavior lowers risk
txn_be80ad5f80ee,0.16010954214381495,1,0.16011,1,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;merchant chargeback behavior lowers risk;high generated risk score lowers risk
