customer_id,age_band,tenure_days,account_age_days,home_country,email_domain,phone_type,kyc_level,historical_spend_mean,historical_spend_std,historical_decline_rate
cust_f7006a27825f,26-35,1636,562,GB,company.example,mobile,high,49.37,38.87,0.0607
cust_ea70572cbfcd,51-65,584,2756,US,gmail.com,mobile,medium,92.7,19.83,0.0736
cust_19953660094d,51-65,2571,440,DE,outlook.com,mobile,high,272.12,26.01,0.0798
cust_3224fc12eb71,18-25,968,2076,IN,company.example,mobile,medium,161.33,39.97,0.0673
cust_0159001eb6b9,36-50,1702,50,US,company.example,mobile,high,274.56,22.53,0.0642
cust_4e278b64819e,51-65,2126,1337,GB,company.example,mobile,medium,82.35,48.74,0.0379
cust_db79c1c9230b,18-25,2031,1301,IN,outlook.com,mobile,high,110.82,55.83,0.0539
cust_b8ffc7581114,51-65,2001,2543,IN,gmail.com,mobile,high,153.58,32.37,0.0327
cust_75da955712dd,26-35,755,936,IN,company.example,mobile,medium,239.47,52.04,0.0354
cust_27f5627dfa11,26-35,839,63,AE,company.example,mobile,medium,101.23,31.49,0.028
cust_eae8fb9aa179,51-65,824,1152,IN,company.example,mobile,high,268.26,63.0,0.0096
cust_8a7e7817bb1e,51-65,406,1129,GB,gmail.com,mobile,high,167.35,59.65,0.0604
cust_68a18240dafd,26-35,118,2989,IN,company.example,mobile,medium,230.72,22.67,0.0094
cust_f9469ea7b69e,36-50,1960,2364,DE,gmail.com,mobile,high,263.93,32.85,0.0653
cust_ac327ec2d34a,36-50,1931,290,US,gmail.com,mobile,high,32.19,5.53,0.0113
cust_831e7b331df5,51-65,2971,2677,GB,gmail.com,mobile,medium,167.23,27.98,0.0338
cust_858a5a1f9bb5,51-65,139,2487,US,gmail.com,mobile,high,126.8,39.19,0.047
cust_eede2ac4420d,18-25,2134,382,SG,gmail.com,mobile,high,206.42,36.56,0.0471
cust_07b0720bb2f5,51-65,813,2912,IN,company.example,mobile,high,241.47,43.85,0.0678
cust_3eb38a011bc8,36-50,1859,639,IN,company.example,mobile,high,78.15,37.64,0.039
cust_f744d654ff85,18-25,1141,951,US,outlook.com,mobile,medium,171.77,33.51,0.0625
cust_d0e4bf7b0761,18-25,1192,768,AE,outlook.com,mobile,medium,33.49,56.77,0.0724
cust_0c15353d4ac0,18-25,2367,1913,IN,company.example,mobile,high,279.9,44.99,0.0177
cust_1e57958c4418,51-65,2454,1074,DE,company.example,mobile,medium,84.83,16.5,0.0185
cust_de4eb997d19b,36-50,404,34,GB,outlook.com,mobile,high,63.85,57.14,0.0452
cust_1c6dcb79ccfa,51-65,2701,1980,SG,outlook.com,mobile,high,126.49,8.37,0.0354
cust_9504d5a6656d,18-25,40,381,IN,gmail.com,landline,medium,225.77,67.31,0.2735
cust_d0f038f9a82e,51-65,410,2451,IN,outlook.com,voip,medium,244.82,11.39,0.0452
cust_e040dc8b5154,51-65,2033,463,AE,proton.me,voip,high,82.38,63.54,0.0414
cust_c5962a841ae3,18-25,41,416,IN,outlook.com,mobile,low,89.17,29.31,0.1892
cust_d518a94d21b3,26-35,715,159,DE,company.example,mobile,high,148.74,10.11,0.0252
cust_e2898158a941,36-50,573,179,AE,company.example,landline,high,295.17,29.06,0.2411
cust_f8bb30688390,18-25,753,2416,GB,gmail.com,landline,high,71.55,26.93,0.057
cust_5c06ad567f89,51-65,88,2847,DE,proton.me,mobile,high,30.1,22.4,0.0032
cust_bd3d9d76ddc7,36-50,1051,146,GB,company.example,landline,high,197.78,12.93,0.0566
cust_3eed3b2835ff,51-65,646,37,AE,gmail.com,voip,high,71.76,84.09,0.11
cust_54588571d368,26-35,360,210,IN,proton.me,landline,high,321.99,21.13,0.1577
cust_c44337629981,36-50,1759,1285,DE,proton.me,mobile,medium,35.89,17.51,0.0732
cust_7e39e3670875,18-25,620,270,GB,outlook.com,mobile,high,42.76,38.83,0.2393
cust_02d02bda620f,26-35,2689,815,DE,proton.me,voip,low,121.26,39.62,0.0208
cust_45fcbf2cf0cf,36-50,1025,815,GB,outlook.com,mobile,medium,63.17,49.91,0.0526
cust_e26bc3c5d3e2,36-50,824,505,AE,company.example,voip,low,243.13,61.43,0.04
cust_615dc52aa9d8,36-50,2220,224,GB,gmail.com,voip,medium,111.6,63.74,0.0032
cust_781eb438f6a0,26-35,1083,1922,GB,proton.me,voip,medium,80.74,24.57,0.0386
cust_375aac0f5fa5,26-35,1802,443,SG,company.example,landline,low,240.42,58.42,0.0443
cust_0a36d311047e,18-25,1023,1223,GB,gmail.com,mobile,medium,81.86,49.41,0.0353
cust_9179e81dd048,36-50,1525,1861,IN,proton.me,landline,high,153.11,45.46,0.0621
cust_b5c5723eddf6,18-25,838,1963,US,outlook.com,mobile,medium,257.43,44.84,0.0105
cust_7fabd9a489c1,26-35,788,2892,AE,outlook.com,mobile,medium,249.99,50.82,0.0114
cust_c26ea7ec3001,51-65,190,2687,AE,gmail.com,mobile,medium,112.51,61.28,0.0438
