device_id,session_id,browser_family,os_family,device_type,ip_country,ip_reputation_score,first_seen_days_ago,session_duration_seconds,failed_login_count
dev_d58445bb0cd3,sess_d58445bb0cd3,Safari,Android,desktop,DE,0.0276,435,998,1
dev_909a56b4acdb,sess_25722f93497d,Edge,macOS,mobile,US,0.0302,849,1338,0
dev_754b6b44764b,sess_05e1734386c7,Edge,iOS,tablet,AE,0.1989,1479,886,0
dev_9b476c04e751,sess_1652c66c3c15,Safari,Android,mobile,GB,0.0879,780,610,0
dev_df59a780e260,sess_46e83dccfaac,Firefox,Windows,mobile,US,0.2245,1097,1212,0
dev_25722f93497d,sess_50fa4550a10f,Chrome,macOS,mobile,GB,0.2117,297,1203,0
dev_de780ac3df28,sess_1bf2c1c629ec,Chrome,Android,mobile,IN,0.1427,489,866,1
dev_79b450855389,sess_e5f0d8bf3001,Edge,macOS,desktop,IN,0.12,150,572,0
dev_619300290f2b,sess_be80ad5f80ee,Edge,macOS,desktop,GB,0.1881,1033,978,1
dev_199e1dff1473,sess_01010f5b60d5,Firefox,Android,desktop,SG,0.1679,1459,611,1
dev_05e1734386c7,sess_ed0a5fa762a2,Chrome,Android,mobile,GB,0.1229,857,741,1
dev_bcd8cc8a4dfe,sess_a00867196400,Safari,Android,tablet,SG,0.2164,1018,456,0
dev_cd40dbbd346c,sess_7afb2b9fe147,Edge,iOS,tablet,US,0.0931,388,211,0
dev_28abba5904f6,sess_e156a95c534a,Firefox,Windows,desktop,GB,0.0143,965,799,0
dev_60d50df210bc,sess_3dffb49da550,Firefox,Windows,desktop,GB,0.0513,393,1661,0
dev_1652c66c3c15,sess_36b26e52f6a0,Safari,macOS,mobile,GB,0.19,1479,1371,1
dev_8e632c6f8ad3,sess_6a9e1012f1c1,Chrome,Android,tablet,AE,0.1012,1366,809,0
dev_6a64e01b2112,sess_a3a8d0c7450e,Chrome,Windows,tablet,SG,0.1691,1210,546,1
dev_f54ac94689a2,sess_47175b04d577,Firefox,Android,desktop,US,0.0114,829,1761,0
dev_081ec8a6e264,sess_ee25000a089f,Safari,Android,mobile,SG,0.1528,653,1296,0
dev_fa649c5438dd,sess_8c8fc3c1d209,Firefox,Android,desktop,GB,0.3791,185,392,0
dev_e67fa62efda0,sess_af37a14d6104,Chrome,iOS,tablet,IN,0.657,98,461,1
dev_9a99022b36e2,sess_ba38687d9222,Firefox,Android,tablet,SG,0.2152,1219,656,1
dev_12e087da7624,sess_5dd7d5dd04ce,Edge,Windows,tablet,IN,0.1571,868,56,1
dev_9b05b4b3355d,sess_d6e69e08cfa6,Safari,Android,tablet,GB,0.2399,1106,827,0
dev_ee7f504bcc84,sess_1ed4b1286cee,Safari,Windows,desktop,SG,0.0879,619,327,0
dev_7e3a18e8d247,sess_3fd22dc400a1,Safari,Android,tablet,AE,0.0349,792,120,0
dev_3cd5b105e27d,sess_b61bfcad2982,Firefox,macOS,mobile,DE,0.2199,1285,589,0
dev_64ee39d6da8a,sess_2a79101a60e0,Chrome,Linux,mobile,DE,0.1931,720,568,0
dev_3b479b138542,sess_5ba12b71a481,Safari,Windows,desktop,GB,0.0908,251,894,1
dev_2e4b73b6bccd,sess_5fbe57c81271,Edge,iOS,desktop,DE,0.1901,519,803,1
dev_f581b4961a66,sess_6b65e60f74df,Safari,Android,tablet,AE,0.1684,1438,167,1
dev_93a7784dbfa8,sess_902eaf8df293,Firefox,iOS,tablet,GB,0.3301,127,213,2
dev_49c2d9db830a,sess_feef1d73c4bc,Edge,macOS,mobile,AE,0.1879,1110,285,1
dev_32d0db2c72d3,sess_97490771661b,Safari,Android,mobile,IN,0.1323,321,712,1
dev_e65dd509ccb9,sess_380672a2f1df,Edge,macOS,mobile,DE,0.1349,333,452,0
dev_c2fe6753aeb7,sess_d791692e7d47,Edge,macOS,desktop,US,0.04,900,583,0
dev_039f2c254b13,sess_65c92c3979c7,Safari,Linux,mobile,SG,0.0708,161,568,0
dev_69191ab5be76,sess_dad3e63ff942,Firefox,Android,mobile,SG,0.0032,1095,477,1
dev_3254a57c0900,sess_5a7183f2c7f9,Safari,Android,tablet,AE,0.1847,900,204,0
dev_399940bea4e5,sess_87e480f019be,Edge,macOS,desktop,SG,0.1471,335,325,1
dev_91ca53054712,sess_7e654a493b5a,Firefox,Windows,desktop,US,0.0968,274,479,1
dev_69e4a00bffc3,sess_8be46d9e3635,Edge,iOS,mobile,GB,0.183,238,817,0
dev_444cc834e73b,sess_a7e239878c98,Safari,Android,desktop,IN,0.1922,1359,334,1
dev_98f99e8844b0,sess_157eb0b41c95,Safari,macOS,mobile,US,0.0694,1271,577,1
