merchant_id,merchant_category,merchant_age_days,country,payout_account_age_days,refund_rate,chargeback_rate,average_ticket_size,volume_growth_rate,risk_tier
merch_d58445bb0cd3,travel,4743,DE,1616,0.0608,0.0051,51.53,0.1346,medium
merch_909a56b4acdb,travel,1146,DE,3273,0.0335,0.0116,119.12,0.2473,low
merch_754b6b44764b,digital_goods,1102,US,2142,0.0133,0.0058,156.5,0.0425,medium
merch_9b476c04e751,digital_goods,3776,SG,821,0.0463,0.0038,33.79,0.1835,low
merch_df59a780e260,travel,1849,SG,1500,0.0424,0.0034,15.46,0.2328,low
merch_25722f93497d,gift_cards,1938,US,1978,0.0635,0.0012,121.69,0.1556,low
merch_de780ac3df28,financial_services,4568,DE,610,0.0723,0.0114,181.04,0.0246,medium
merch_79b450855389,marketplace,2614,IN,3742,0.0637,0.0014,223.68,0.3201,medium
merch_619300290f2b,digital_goods,1044,IN,1135,0.0549,0.0029,181.99,0.2691,medium
merch_199e1dff1473,gift_cards,1528,IN,540,0.0595,0.0014,184.73,0.1608,medium
merch_05e1734386c7,digital_goods,2192,AE,3633,0.003,0.0089,35.34,0.2437,medium
merch_bcd8cc8a4dfe,marketplace,586,SG,224,0.0183,0.0123,116.74,0.3253,low
merch_cd40dbbd346c,travel,4571,DE,201,0.0603,0.0051,77.64,0.169,low
merch_28abba5904f6,gift_cards,4014,DE,3216,0.0174,0.0076,80.98,0.0876,medium
merch_60d50df210bc,marketplace,3280,US,1734,0.0502,0.0072,231.47,0.1118,low
merch_1652c66c3c15,marketplace,3460,GB,3110,0.0151,0.0137,162.73,0.0284,low
merch_8e632c6f8ad3,electronics,285,AE,1612,0.0355,0.0123,150.53,0.1461,low
merch_6a64e01b2112,gift_cards,894,IN,1592,0.0578,0.0015,72.45,0.2688,medium
merch_46386d4db51e,electronics,623,IN,226,0.1151,0.0212,113.42,0.5214,high
merch_9e4bae7ca7fa,financial_services,647,DE,334,0.2211,0.0591,238.73,0.4172,low
merch_e40ee8cd6cce,marketplace,1092,US,225,0.0467,0.0146,24.91,0.337,low
merch_c913df993b84,travel,979,US,158,0.0603,0.0055,28.69,0.079,medium
merch_5c91cb5a0660,digital_goods,1328,DE,554,0.0745,0.0127,153.51,0.2923,medium
merch_28ad41b421b3,marketplace,3101,SG,2147,0.0226,0.0033,120.33,0.2523,low
merch_7b285291829d,retail,1135,GB,653,0.0567,0.0136,78.08,0.1166,low
merch_813d1cd59cb9,travel,1597,DE,1251,0.0153,0.0029,223.78,0.3218,low
merch_6f0d60169948,digital_goods,4370,IN,2014,0.022,0.0126,52.59,0.3123,medium
merch_20e7f89ab785,retail,4225,DE,558,0.0652,0.0137,48.85,0.225,medium
merch_cbf00e45a88b,marketplace,4700,IN,2991,0.0333,0.0058,77.49,0.0851,medium
merch_a3abca8abbd5,gift_cards,1929,AE,895,0.0312,0.0144,178.96,0.1692,medium
merch_3ee50c977dee,marketplace,78,AE,26,0.2385,0.0249,216.49,0.434,medium
merch_439f0c57ddcc,electronics,4357,AE,658,0.067,0.0135,91.0,0.0461,low
merch_f0cf7c129034,electronics,2900,US,1559,0.0115,0.0006,210.39,0.2826,medium
merch_906b8d7bc0f3,electronics,3590,AE,569,0.0051,0.0143,131.18,0.1787,low
merch_15a16df2f929,retail,4758,GB,2215,0.0525,0.0019,99.31,0.0328,medium
merch_85508b7a2351,financial_services,4280,GB,2377,0.0413,0.0122,169.2,0.1848,low
merch_b52a58a5ae3e,retail,1582,GB,425,0.0466,0.0061,72.57,0.1564,low
merch_27d915428a4f,retail,2750,DE,629,0.0087,0.0101,82.32,0.1059,medium
merch_c647ada616c8,financial_services,3578,US,2293,0.0775,0.0121,151.06,0.2839,low
merch_6979563e871d,financial_services,1432,US,491,0.0573,0.0036,104.5,0.257,low
merch_a16ade5a1db1,financial_services,545,IN,113,0.0449,0.0105,51.85,0.318,low
merch_8678b3d7f7c8,financial_services,2668,SG,313,0.0379,0.0064,66.57,0.0444,medium
merch_dd3a977b34f8,financial_services,1387,SG,698,0.0662,0.0095,184.07,0.1098,medium
