attack_instance_id,scenario_id,attack_id,bucket,subtype,scenario_seed,attack_intensity,stealth_level,time_window_hours,generated_record_ids
atk_08cd1a1e7fee,scn_c2d27716040e,cred_card_testing_001__evaluation_stealth_stress,credential_based_fraud,card_testing,202,0.7046,0.7319,12,"txn_522be3df7e1c,txn_d007600187cd,txn_a94aa1402a54,txn_b8c946228548,txn_36f70072fbeb,txn_56c5a9ea05e8,txn_6507c5220ea2,txn_709d900d48fd,txn_15b0dfc1a6ee,txn_495a0e8b87c9,txn_47dbe4c2b33c,txn_13cf136f2352,txn_b7d20d69531a,txn_69094fa4b98f,txn_a2f7d719c0f7,txn_477dcc3bbea4,txn_a7d32bea5855,txn_3e53bb4ad335,txn_90484fac04f4,txn_96112c35cea4,txn_c4d2bac1caf4,txn_45063d54f9ce,txn_923a3568f286,txn_2128dc3a320e,txn_f36170a5678c,txn_128bbe91271d,txn_61c4d0e7a135,txn_2ee5de1c0aa0,txn_4ce51ffdc13e,txn_0ea5bae12561,txn_b3cccab9c601,txn_a91f750fda8e,txn_ecbcde117afc,txn_3fd66646bb51,txn_39f9120c835d,txn_90192de0dd15,txn_ccf0e88628ee,txn_c3c58fc4677a,txn_d91e93b6b2a2,txn_b8d8128550f1,txn_7eee798e0ceb,txn_9905b4abab25,txn_3aaa689e5129,txn_f08ce7e1fd3a,txn_b8f48bbbac17,txn_1da241dc47ad,txn_53146a3e6aae,txn_3c0a4ca81cc3,txn_869863b682b9,txn_f190b31581a4,txn_ceda1251e4d4,txn_c165b4820142,txn_c567cb208995,txn_02b93acb56bc,txn_8ad9d8561ad2,txn_812782198f54,txn_e31d9634ba02,txn_7a7b1b2e56f3,txn_771ba450b1f4,txn_d9070176e740,txn_ecc2866bcb0c,txn_cd1d0228d5ec,txn_84076c5c15a7,txn_ca01bdd5898b,txn_92b24214bcda,txn_1877650b7cba,txn_fd76bb030d55,txn_26a269aa44e3,txn_233417d8e180,txn_03acbd940985,txn_cb9f42315cb4,txn_a2073b65a081,txn_e2d10ea75d14,txn_da99c71a2503,txn_af9cb620ba9c,txn_3f52ba46e7d9,txn_bef9862e69dc,txn_07713e60de13,txn_ddf605d83820,txn_fde5fa46b76b,txn_f08a73bb1a32"
atk_bd8ff60b9a29,scn_36164b6bd9e7,cred_cnp_001__evaluation_stealth_stress,credential_based_fraud,card_not_present,203,0.8132,0.5863,4,"txn_596ad5eb1a45,txn_a43ac8d74960,txn_676a3aad0980,txn_afa7c6891c1d,txn_0486429b8a72,txn_3fccf9ef2d46,txn_6666662f0139,txn_a95ca33b2049,txn_3d2967aed908,txn_c2e88ea37114,txn_bdb4c7836d42,txn_bb2109d8a17d,txn_0006a3975161,txn_b24a83e51e3b,txn_6d90f0005804,txn_4b0c734f6c4c,txn_1bf9b87d948a,txn_c9694b888790"
atk_551069870fbf,scn_41ea83a22a18,cred_consumer_ato_001__evaluation_stealth_stress,credential_based_fraud,consumer_account_takeover,204,0.397,0.7548,22,"txn_1dc01c7f566b,txn_b72f0fc8e98c,txn_44eca65655cc,txn_4c506c84edd1,txn_35900b7cb5e8,txn_31a7452aa2fb,txn_295c4bbe07e4"
atk_ae4f047d15d8,scn_d6dd37e0801a,cred_merchant_admin_ato_001__evaluation_stealth_stress,credential_based_fraud,merchant_admin_takeover,205,0.7485,0.7977,17,"txn_17d563a50046,txn_464787267deb,txn_2f72e2c5916e,txn_18bd04677021,txn_ef2e44ea6a47"
atk_1009fa29fd6c,scn_ea8fe750eddd,cred_stuffing_001__evaluation_stealth_stress,credential_based_fraud,credential_stuffing,206,0.5178,0.3548,11,"txn_e86898396e8c,txn_057bb3ac03e3,txn_5f0bb8d36cbc,txn_edfa935f9c9d,txn_52f5445fc8e8,txn_e149e8ee5857,txn_c189a52dadf3,txn_c4d0ba2b1a20,txn_c788f2da8d9d,txn_4130ac88fc99,txn_8cae68d1fa31,txn_b4ba52b20609,txn_5a9c289925bd,txn_3633402cae77,txn_9ad7e40c1dd9,txn_907b568cf5ee,txn_e2431258509f,txn_75a03ac69bff,txn_63a8d6346166,txn_a88e44fcab5c,txn_fe320ec7abac,txn_b3b348d77649,txn_28ab8b365b1f,txn_f664d641d8bb,txn_59ea31195a48,txn_022417adca15,txn_aebacb5b3dc5,txn_401f41da1d8d,txn_bb20849348dc,txn_1b51330b4bf6,txn_a8c16f19ff0e,txn_0a65b13dbc40,txn_fa986de13584,txn_4b1e549b3794,txn_6c22ca60a095,txn_1bebd36fd207,txn_c3233b607d4c,txn_0c964e60e166,txn_23b6618652b2,txn_3a5372b2760c,txn_b788f0a0d3fb,txn_06c09d0ad0a9,txn_2c58ca457c98,txn_6372e66d4b4a,txn_270ea03c58c3,txn_14ecb3a73cb5,txn_f3f2843beb67,txn_9e630a687aee,txn_fcfec817c11f,txn_e97f28aaa140,txn_0edd72361c01,txn_6275cd43d4f4,txn_f502483a8eec,txn_16cc6444a3e2,txn_0b1db526994f,txn_ac6dd8c1890d,txn_34c514221a5f,txn_34da6bd20540,txn_45535759062f,txn_0a67e92dfab8,txn_0e52d144cd66,txn_f09987dd172a,txn_a03e6ea58008,txn_7ebf5e75dab8,txn_700c61be0597,txn_0a0eb3fc64eb,txn_d3424c1a761b,txn_fb2b4a74006e,txn_95cd74ae3f1c,txn_82bb2a36a4af,txn_0992bac1f3dc,txn_0596ed5102e0,txn_8b75255b321b,txn_e978487cb456,txn_210dde338493,txn_ff2da047180d,txn_7f9e0f3b6485,txn_25effdf0b670,txn_ded3e05034e6,txn_27ce97763f2a,txn_b9fe9a25fb97,txn_cb8ba6fa800d,txn_97484085dd0e,txn_866d89dbf38b,txn_f0a893a93593,txn_637706aa8505,txn_34e342627122,txn_0d201f0dae5b,txn_ccd4528b2fb1,txn_1dd6bddfcd01,txn_cad0dedfdac9,txn_dc14095bc63c,txn_c8e1dc7d89d7,txn_d3989e0138c7,txn_358a05d12783,txn_13b672ad0025,txn_9eab646d96da,txn_fc56923f6b64,txn_304e79fc850e,txn_5ec38fe242de,txn_eb135a9d8145,txn_52deab89016b,txn_ca43b6b0e8b1,txn_b19ce3ef619d,txn_f2e6f058e796,txn_a1709ae53cc4,txn_fd36eaa8e178,txn_e9cf56e28ede,txn_fc7fa258b57f,txn_165e37a24a17,txn_fd8602c95e5c,txn_86f31a8b7ac1,txn_3592a28951bb,txn_d204c6b80939,txn_9475fcce686d,txn_2985c7e421e3,txn_4261bcbb6309,txn_a7005dbddd65,txn_ca9c55407fd6,txn_0140bae363ee,txn_66f0e94e5c77,txn_e43a781adfc2,txn_2c358b6ee38c,txn_a5334578227d,txn_4c96efd58a03,txn_d0dbf2250525,txn_ac6d0731e7e1,txn_22cbd3477bb1,txn_edfc49ab2e1b,txn_e39671e160ec,txn_ddb45f870fef,txn_fb54d72a2ca0,txn_269a546d418a,txn_ee7f45c0063d,txn_83c13663ef28,txn_d40a7b16411b,txn_5871d2d5955d,txn_8822975c4a00,txn_ae62516c1738,txn_d11af518a44a,txn_4e4741426f36,txn_14f4e45e2ca4,txn_abaede7934c5,txn_3a73a397f92e,txn_1d694a44a356,txn_1e6028554e35,txn_497c88519fff,txn_22a7f3b855f5,txn_d81d42e8311b,txn_5db384fb6215,txn_b00ecfa90d57,txn_6fb2eebe173c,txn_78f5bd4ae2b9,txn_6c0e1886eb7f,txn_6c604b493228,txn_afb2849cc0ae"
atk_fc013aa0db86,scn_640ff32cb213,identity_fraud_merchant_001__evaluation_stealth_stress,identity_onboarding_fraud,fraudulent_merchant_onboarding,207,0.718,0.7973,69,"txn_e40548f56fa2,txn_8b6401532454,txn_1c6ede96cd55,txn_0a44dd51fa7f,txn_88b9077ffef3,txn_7c44634e44d1,txn_3115c337baf8,txn_e6f099d67778,txn_c74277fc9e10,txn_aa94af83f634,txn_8d7c40bda331,txn_221f6dbac3b3,txn_676819155b59,txn_9f9a99247b59,txn_e2132c18260a,txn_ebf8a474c51f,txn_67abf8ae2fc1,txn_c9695c86b7a7,txn_90bcc89003b2,txn_22718577e75e,txn_cd498cce5ba3,txn_85a81863c531,txn_feb6c8bfa85b,txn_9e72679d1ff8,txn_d0b37e561c36"
atk_12f88dd8019a,scn_f1d5e7d9b278,identity_mule_account_001__evaluation_stealth_stress,identity_onboarding_fraud,mule_account_creation,208,0.7793,0.6728,88,"txn_5209028492ab,txn_62659c795476,txn_379413e05ee6,txn_1a444d5d7ad3,txn_15a90bdcefc9,txn_0fe09ba70c60,txn_a69b53a3e725,txn_c51aa97e1996,txn_8d30f90a0681,txn_9a0f3ae2794f,txn_c0d747656ea5,txn_3ed09535f80d,txn_3fdefd177001,txn_01b9ef59cefe,txn_a295bf483822,txn_32e7b932837f,txn_66c7b6bb5fe5,txn_a6df86b3fed7,txn_c82ffe1dc950,txn_6204a643e566,txn_12ce030be4f1,txn_994fda59105d,txn_235ed914f985,txn_a9f60286825a,txn_34b119727bc6,txn_f197dda1def7,txn_4433928f2f56,txn_3b0b07fb609b,txn_17019f809bb7,txn_46961f90df06,txn_ecc041d498f7,txn_d54cec14b859,txn_f0149573ff9c,txn_138a905f1082,txn_a3df1f632d2f,txn_f4f5f407ab80"
atk_8b93f7d6690b,scn_3ffd1dc96191,identity_stolen_signup_001__evaluation_stealth_stress,identity_onboarding_fraud,stolen_identity_signup,209,0.3628,0.8615,20,"txn_57dfce57e32b,txn_d3a3e449cfa4,txn_6a9a92863a5b,txn_a8bf53d07a19,txn_43b2fe535757,txn_7237351b16a2"
atk_573c22109cc0,scn_f3059b7f2f61,identity_synthetic_001__evaluation_stealth_stress,identity_onboarding_fraud,synthetic_identity,210,0.7243,0.7808,27,"txn_ab786b54df6d,txn_6d4bbc57d14e,txn_df0a12a39382,txn_18c9b431f4fe,txn_2f150f4318ee,txn_c8f7d8513b21,txn_7afc7c67b8b7,txn_2448f543f477,txn_540d685e24ff"
atk_8b7557ed8d1f,scn_aa5bf9f88ba4,identity_synthetic_business_001__evaluation_stealth_stress,identity_onboarding_fraud,synthetic_business,211,0.7574,0.8421,25,"txn_d1fa85efa22a,txn_e032cc1eb0bb,txn_1e83ed00864a,txn_5a45895425a3,txn_7678e407773c,txn_8e5c6c52679d,txn_bc9c7b74336f,txn_582d3cf99918"
