transaction_id,event_time,amount,currency,channel,rail,transaction_type,status,customer_id,merchant_id,device_id,session_id,ip_address,billing_country,shipping_country,merchant_category,payment_method_type,auth_result,risk_score,label,attack_id,attack_bucket,attack_subtype,scenario_id,simulation_segment
txn_f7006a27825f,2026-08-17T00:00:00+00:00,5.66,USD,marketplace,wallet,purchase,approved,cust_f7006a27825f,merch_f7006a27825f,dev_f7006a27825f,sess_f7006a27825f,198.51.100.242,GB,GB,electronics,credit_card,approved,0.0749,0,,,,,routine_benign
txn_ea70572cbfcd,2026-08-17T00:07:00+00:00,52.46,SGD,mobile_app,wallet,purchase,approved,cust_f7006a27825f,merch_ea70572cbfcd,dev_f7006a27825f,sess_ea70572cbfcd,198.51.100.131,SG,SG,financial_services,wallet,approved,0.1279,0,,,,,routine_benign
txn_19953660094d,2026-08-17T00:26:00+00:00,43.65,SGD,ecommerce,wallet,purchase,approved,cust_f7006a27825f,merch_19953660094d,dev_f7006a27825f,sess_19953660094d,198.51.100.234,GB,GB,digital_goods,bank_account,approved,0.119,0,,,,,routine_benign
txn_3224fc12eb71,2026-08-17T00:18:00+00:00,55.51,USD,mobile_app,p2p,purchase,approved,cust_f7006a27825f,merch_3224fc12eb71,dev_f7006a27825f,sess_3224fc12eb71,198.51.100.144,IN,IN,financial_services,credit_card,approved,0.1086,0,,,,,routine_benign
txn_0159001eb6b9,2026-08-17T01:00:00+00:00,51.57,INR,ecommerce,p2p,purchase,approved,cust_ea70572cbfcd,merch_0159001eb6b9,dev_f7006a27825f,sess_0159001eb6b9,198.51.100.112,US,US,travel,debit_card,approved,0.0287,0,,,,,routine_benign
txn_4e278b64819e,2026-08-17T01:15:00+00:00,32.61,GBP,wallet,p2p,purchase,approved,cust_ea70572cbfcd,merch_4e278b64819e,dev_ea70572cbfcd,sess_4e278b64819e,198.51.100.155,DE,DE,gift_cards,debit_card,approved,0.3174,0,,,,,routine_benign
txn_db79c1c9230b,2026-08-17T01:12:00+00:00,37.29,INR,wallet,p2p,purchase,approved,cust_ea70572cbfcd,merch_db79c1c9230b,dev_ea70572cbfcd,sess_db79c1c9230b,198.51.100.28,SG,SG,retail,credit_card,approved,0.0854,0,,,,,routine_benign
txn_b8ffc7581114,2026-08-17T00:49:00+00:00,582.41,SGD,wallet,p2p,purchase,approved,cust_ea70572cbfcd,merch_b8ffc7581114,dev_ea70572cbfcd,sess_b8ffc7581114,198.51.100.89,AE,AE,gift_cards,debit_card,approved,0.4858,0,,,,,atypical_benign
txn_75da955712dd,2026-08-17T01:28:00+00:00,36.27,GBP,mobile_app,p2p,purchase,approved,cust_19953660094d,merch_75da955712dd,dev_ea70572cbfcd,sess_75da955712dd,198.51.100.33,DE,DE,gift_cards,bank_account,approved,0.3071,0,,,,,routine_benign
txn_27f5627dfa11,2026-08-17T01:30:00+00:00,22.28,SGD,mobile_app,card,purchase,approved,cust_19953660094d,merch_27f5627dfa11,dev_ea70572cbfcd,sess_27f5627dfa11,198.51.100.81,IN,IN,retail,bank_account,approved,0.1732,0,,,,,routine_benign
txn_eae8fb9aa179,2026-08-17T03:30:00+00:00,23.43,EUR,wallet,card,purchase,approved,cust_19953660094d,merch_eae8fb9aa179,dev_19953660094d,sess_eae8fb9aa179,198.51.100.225,SG,SG,gift_cards,wallet,approved,0.351,0,,,,,routine_benign
txn_8a7e7817bb1e,2026-08-17T02:45:00+00:00,568.03,SGD,ecommerce,wallet,purchase,approved,cust_19953660094d,merch_8a7e7817bb1e,dev_19953660094d,sess_8a7e7817bb1e,198.51.100.130,GB,GB,gift_cards,wallet,approved,0.5034,0,,,,,atypical_benign
txn_68a18240dafd,2026-08-17T04:48:00+00:00,42.3,USD,marketplace,p2p,purchase,approved,cust_3224fc12eb71,merch_68a18240dafd,dev_19953660094d,sess_68a18240dafd,198.51.100.140,IN,IN,electronics,bank_account,approved,0.4688,0,,,,,atypical_benign
txn_f9469ea7b69e,2026-08-17T01:44:00+00:00,20.18,GBP,wallet,card,purchase,approved,cust_3224fc12eb71,merch_f9469ea7b69e,dev_19953660094d,sess_f9469ea7b69e,198.51.100.45,GB,GB,gift_cards,bank_account,approved,0.3084,0,,,,,routine_benign
txn_ac327ec2d34a,2026-08-17T04:12:00+00:00,27.23,GBP,ecommerce,card,purchase,approved,cust_3224fc12eb71,merch_ac327ec2d34a,dev_19953660094d,sess_ac327ec2d34a,198.51.100.188,AE,AE,digital_goods,bank_account,approved,0.3349,0,,,,,routine_benign
txn_831e7b331df5,2026-08-17T01:15:00+00:00,7.7,USD,mobile_app,p2p,purchase,approved,cust_3224fc12eb71,merch_831e7b331df5,dev_3224fc12eb71,sess_831e7b331df5,198.51.100.20,DE,DE,gift_cards,debit_card,approved,0.4645,0,,,,,atypical_benign
txn_858a5a1f9bb5,2026-08-17T02:24:00+00:00,19.58,INR,marketplace,wallet,purchase,approved,cust_0159001eb6b9,merch_858a5a1f9bb5,dev_3224fc12eb71,sess_858a5a1f9bb5,198.51.100.131,US,US,travel,debit_card,approved,0.0813,0,,,,,routine_benign
txn_eede2ac4420d,2026-08-17T06:14:00+00:00,132.25,GBP,wallet,p2p,purchase,approved,cust_0159001eb6b9,merch_eede2ac4420d,dev_3224fc12eb71,sess_eede2ac4420d,198.51.100.90,US,US,gift_cards,bank_account,approved,0.355,0,,,,,atypical_benign
txn_07b0720bb2f5,2026-08-17T06:00:00+00:00,14.16,INR,mobile_app,wallet,purchase,approved,cust_0159001eb6b9,merch_f7006a27825f,dev_3224fc12eb71,sess_07b0720bb2f5,198.51.100.85,GB,GB,travel,wallet,approved,0.3045,0,,,,,routine_benign
txn_3eb38a011bc8,2026-08-17T04:26:00+00:00,17.43,EUR,ecommerce,card,purchase,approved,cust_0159001eb6b9,merch_ea70572cbfcd,dev_3224fc12eb71,sess_3eb38a011bc8,198.51.100.80,AE,AE,electronics,debit_card,approved,0.1387,0,,,,,routine_benign
txn_f744d654ff85,2026-08-17T02:00:00+00:00,41.8,INR,marketplace,card,purchase,approved,cust_4e278b64819e,merch_19953660094d,dev_0159001eb6b9,sess_f744d654ff85,198.51.100.242,GB,GB,marketplace,debit_card,approved,0.1517,0,,,,,routine_benign
txn_d0e4bf7b0761,2026-08-17T07:42:00+00:00,17.37,SGD,ecommerce,card,purchase,approved,cust_4e278b64819e,merch_3224fc12eb71,dev_0159001eb6b9,sess_d0e4bf7b0761,198.51.100.83,SG,SG,financial_services,wallet,approved,0.3249,0,,,,,routine_benign
