device_id,session_id,browser_family,os_family,device_type,ip_country,ip_reputation_score,first_seen_days_ago,session_duration_seconds,failed_login_count
dev_d58445bb0cd3,sess_d58445bb0cd3,Safari,Android,desktop,DE,0.0276,435,998,1
dev_909a56b4acdb,sess_25722f93497d,Edge,macOS,mobile,US,0.0302,849,1338,0
dev_754b6b44764b,sess_05e1734386c7,Edge,iOS,tablet,AE,0.1989,1479,886,0
dev_9b476c04e751,sess_1652c66c3c15,Safari,Android,mobile,GB,0.0879,780,610,0
dev_df59a780e260,sess_46e83dccfaac,Firefox,Windows,mobile,US,0.2245,1097,1212,0
dev_25722f93497d,sess_50fa4550a10f,Chrome,macOS,mobile,GB,0.2117,297,1203,0
dev_de780ac3df28,sess_1bf2c1c629ec,Chrome,Android,mobile,IN,0.1427,489,866,1
dev_79b450855389,sess_e5f0d8bf3001,Edge,macOS,desktop,IN,0.12,150,572,0
dev_619300290f2b,sess_be80ad5f80ee,Edge,macOS,desktop,GB,0.1881,1033,978,1
dev_199e1dff1473,sess_01010f5b60d5,Firefox,Android,desktop,SG,0.1679,1459,611,1
dev_05e1734386c7,sess_ed0a5fa762a2,Chrome,Android,mobile,GB,0.1229,857,741,1
dev_bcd8cc8a4dfe,sess_a00867196400,Safari,Android,tablet,SG,0.2164,1018,456,0
dev_cd40dbbd346c,sess_7afb2b9fe147,Edge,iOS,tablet,US,0.0931,388,211,0
dev_28abba5904f6,sess_e156a95c534a,Firefox,Windows,desktop,GB,0.0143,965,799,0
dev_60d50df210bc,sess_3dffb49da550,Firefox,Windows,desktop,GB,0.0513,393,1661,0
dev_1652c66c3c15,sess_36b26e52f6a0,Safari,macOS,mobile,GB,0.19,1479,1371,1
dev_8e632c6f8ad3,sess_6a9e1012f1c1,Chrome,Android,tablet,AE,0.1012,1366,809,0
dev_6a64e01b2112,sess_a3a8d0c7450e,Chrome,Windows,tablet,SG,0.1691,1210,546,1
dev_f54ac94689a2,sess_47175b04d577,Firefox,Android,desktop,US,0.0114,829,1761,0
dev_081ec8a6e264,sess_ee25000a089f,Safari,Android,mobile,SG,0.1528,653,1296,0
dev_328474570155,sess_e128cd1687e0,Firefox,Android,desktop,GB,0.3791,142,392,0
dev_fd497edcc5e4,sess_aac49aed99a0,Chrome,iOS,tablet,IN,0.657,74,461,1
dev_06e24a589c99,sess_6e925e0ef680,Firefox,Android,tablet,SG,0.2152,1219,656,1
dev_c33663947c79,sess_c036099c4ced,Edge,Windows,tablet,IN,0.1571,868,56,1
dev_6b1382b5c71b,sess_b1fc8e90ac59,Safari,Android,tablet,GB,0.2399,1106,827,0
dev_d612d0007e66,sess_9cf98464fbbb,Safari,Windows,desktop,SG,0.0879,619,327,0
dev_549892e09aa1,sess_a4301b37ae34,Safari,Android,tablet,AE,0.3047,69,87,1
dev_3676416dd69a,sess_61b71b8003ca,Edge,Android,tablet,DE,0.6596,199,676,4
dev_e16947569197,sess_a92231c9fb74,Firefox,iOS,tablet,IN,0.6714,2,317,1
dev_d0469e8d2be0,sess_10e22e448076,Safari,Windows,desktop,GB,0.0908,251,894,1
dev_f094754963f9,sess_280bfc097ec3,Edge,iOS,desktop,DE,0.1901,519,803,1
dev_8db97114bf77,sess_d490dd5a7ce2,Safari,macOS,tablet,GB,0.5057,79,39,0
dev_cd110b240e20,sess_9fbcada1c06a,Firefox,iOS,tablet,GB,0.3301,93,213,2
dev_c0ef062c6571,sess_449c0d878e96,Firefox,Windows,tablet,DE,0.7045,85,425,2
dev_5dc2cd00b145,sess_2a9c0920fc41,Safari,Android,mobile,IN,0.1323,321,712,1
dev_2c5e8854fead,sess_6743f62c905f,Edge,macOS,mobile,DE,0.1349,333,452,0
dev_938f9805b7df,sess_9ce8f1618b59,Chrome,Android,tablet,SG,0.6797,126,580,3
dev_3c8c2cec69bb,sess_fa99491aea64,Safari,Linux,mobile,SG,0.0708,161,568,0
dev_8e483040eb95,sess_9573d0f60504,Firefox,Android,mobile,SG,0.0032,1095,477,1
dev_24c01720c233,sess_4f969f0f1067,Safari,Android,tablet,AE,0.1847,900,204,0
dev_3b43ee8cc557,sess_843d2d983dce,Edge,macOS,desktop,SG,0.6412,34,181,4
dev_cb795ea1f62b,sess_ff08c12d6f86,Firefox,Windows,desktop,US,0.0968,274,479,1
dev_1a82c2a42e3b,sess_1a9bdbeb5db6,Edge,iOS,mobile,GB,0.749,23,59,2
dev_18ed813267b7,sess_f8eaf9bf16f0,Safari,Android,desktop,IN,0.1922,1359,334,1
dev_17b8c497257c,sess_1a5874f55399,Safari,macOS,mobile,US,0.0694,1271,577,1
