merchant_id,merchant_category,merchant_age_days,country,payout_account_age_days,refund_rate,chargeback_rate,average_ticket_size,volume_growth_rate,risk_tier
merch_d58445bb0cd3,travel,4743,DE,1616,0.0608,0.0051,51.53,0.1346,medium
merch_909a56b4acdb,travel,1146,DE,3273,0.0335,0.0116,119.12,0.2473,low
merch_754b6b44764b,digital_goods,1102,US,2142,0.0133,0.0058,156.5,0.0425,medium
merch_9b476c04e751,digital_goods,3776,SG,821,0.0463,0.0038,33.79,0.1835,low
merch_df59a780e260,travel,1849,SG,1500,0.0424,0.0034,15.46,0.2328,low
merch_25722f93497d,gift_cards,1938,US,1978,0.0635,0.0012,121.69,0.1556,low
merch_de780ac3df28,financial_services,4568,DE,610,0.0723,0.0114,181.04,0.0246,medium
merch_79b450855389,marketplace,2614,IN,3742,0.0637,0.0014,223.68,0.3201,medium
merch_619300290f2b,digital_goods,1044,IN,1135,0.0549,0.0029,181.99,0.2691,medium
merch_199e1dff1473,gift_cards,1528,IN,540,0.0595,0.0014,184.73,0.1608,medium
merch_05e1734386c7,digital_goods,2192,AE,3633,0.003,0.0089,35.34,0.2437,medium
merch_bcd8cc8a4dfe,marketplace,586,SG,224,0.0183,0.0123,116.74,0.3253,low
merch_cd40dbbd346c,travel,4571,DE,201,0.0603,0.0051,77.64,0.169,low
merch_28abba5904f6,gift_cards,4014,DE,3216,0.0174,0.0076,80.98,0.0876,medium
merch_60d50df210bc,marketplace,3280,US,1734,0.0502,0.0072,231.47,0.1118,low
merch_1652c66c3c15,marketplace,3460,GB,3110,0.0151,0.0137,162.73,0.0284,low
merch_8e632c6f8ad3,electronics,285,AE,1612,0.0355,0.0123,150.53,0.1461,low
merch_6a64e01b2112,gift_cards,894,IN,1592,0.0578,0.0015,72.45,0.2688,medium
merch_75ba9688129f,electronics,477,IN,173,0.1151,0.0212,113.42,0.5214,high
merch_ee85f22fcec7,financial_services,488,DE,252,0.2211,0.0591,238.73,0.4172,low
merch_0bf6c99ed710,marketplace,1092,US,225,0.0467,0.0146,24.91,0.337,low
merch_92640e2cef62,travel,979,US,158,0.0603,0.0055,28.69,0.079,medium
merch_2e26ca13c1d3,digital_goods,1328,DE,554,0.0745,0.0127,153.51,0.2923,medium
merch_3894be92e356,marketplace,3101,SG,2147,0.0226,0.0033,120.33,0.2523,low
merch_f861b7231572,retail,128,AE,16,0.1683,0.0741,510.27,0.3458,high
merch_ca32c5d5e9d9,gift_cards,216,GB,55,0.0556,0.0743,551.95,0.2398,medium
merch_14d6b3318074,travel,97,SG,49,0.1127,0.0536,549.17,0.4851,high
merch_7851cd09f4d3,retail,4225,DE,558,0.0652,0.0137,48.85,0.225,medium
merch_644fc4c733fa,marketplace,4700,IN,2991,0.0333,0.0058,77.49,0.0851,medium
merch_b12c4327e406,gift_cards,424,IN,290,0.1224,0.0288,151.88,1.0937,high
merch_d0f220cf69f5,marketplace,57,AE,19,0.2385,0.0249,216.49,0.434,medium
merch_5d1e6d4d2bb6,electronics,70,GB,47,0.2095,0.0084,481.93,0.4112,high
merch_15426715f04b,electronics,2900,US,1559,0.0115,0.0006,210.39,0.2826,medium
merch_8eddf1b1480c,electronics,3590,AE,569,0.0051,0.0143,131.18,0.1787,low
merch_32708cd78732,gift_cards,534,US,108,0.0999,0.0063,272.96,0.7143,medium
merch_00314be34cea,financial_services,4280,GB,2377,0.0413,0.0122,169.2,0.1848,low
merch_d33a3834fa09,retail,1582,GB,425,0.0466,0.0061,72.57,0.1564,low
merch_8e87d79a0158,retail,2750,DE,629,0.0087,0.0101,82.32,0.1059,medium
merch_eaaa3b305d82,financial_services,804,US,515,0.2425,0.0647,370.73,1.3581,low
merch_ec5e3e1c6002,financial_services,1432,US,491,0.0573,0.0036,104.5,0.257,low
merch_df0c78dc735e,financial_services,199,GB,109,0.1784,0.0139,545.43,0.7742,high
merch_09ca971aa13f,financial_services,2668,SG,313,0.0379,0.0064,66.57,0.0444,medium
merch_b7e0aee4d059,financial_services,1387,SG,698,0.0662,0.0095,184.07,0.1098,medium
