attack_instance_id,scenario_id,attack_id,bucket,subtype,scenario_seed,attack_intensity,stealth_level,time_window_hours,generated_record_ids
atk_fc32e6b0955b,scn_975469f91815,cred_card_testing_001__evaluation_elevated,credential_based_fraud,card_testing,101,0.4571,0.5706,7,"txn_ad0c677ec8f0,txn_2db4195d2dd8,txn_714ff85c2477,txn_35bbce256909,txn_c2264fa5c1f3,txn_d1b4130fe0c9,txn_63f31d7dca9d,txn_2bba382f4f3d,txn_7cc427ba5849,txn_64ba92f832e5,txn_14bf9ffa3833,txn_49f172e10c1d,txn_6ea35cf5e267,txn_194e6cbb6ff7,txn_e842a004cd19,txn_bfb8126f7a07,txn_e09269febbdd,txn_e28ba186e94a,txn_c20116c08079,txn_a4f885a685a0,txn_9d91ffe0bacd,txn_d173e543ab65,txn_ea2f6d5778a2,txn_3adb1e34dd3d,txn_e04fcf42f5e5,txn_c572a1d0ca46,txn_16550f53677b,txn_a930a4af1f00,txn_1f642f6c5f1b,txn_334a31164185,txn_23ab45cf5867,txn_66de50c04973,txn_2395fdf39ba4,txn_3078740b4c95,txn_0af79657f531,txn_e04b8a3e6516,txn_8fc313029f1f,txn_6a0867fb9908,txn_7d7ff37bdcca,txn_edfa4e577556,txn_7c400cc478ea,txn_64d820ec055b,txn_189b73f8364c,txn_d0d9e9fa68ba,txn_5ff9747a3806,txn_5d47b9de7e7b,txn_e1d7f1c3a75c,txn_16bdac4b6151,txn_b661f64d2ff9,txn_9b50eccd98e2,txn_7ae838e4b608,txn_5c522d9de915,txn_450ee157785f,txn_8ab92dba19c1,txn_dbc27f68e0d1,txn_3cb5fcc35540,txn_2ef72f118ae2,txn_236cafff9684,txn_36bf3bdfdbff,txn_baf3a2229bde,txn_72b358c768ca,txn_f7a0f76fb236,txn_05adf283628b,txn_4923e4f2f380,txn_9740ac72cd55,txn_3438703cd884,txn_96456aecf7f1,txn_38778e831fb2,txn_8190d056a9a1,txn_c80ab6af2809,txn_9a10d2445e1a,txn_6dd10f5cc581,txn_3f3a37b0cba3,txn_12abec7fae63,txn_f24aecaf2fdd,txn_19930c65c13d,txn_ccece4e143f2"
atk_4dd9a3cd959f,scn_67e6b27a9bf5,cred_cnp_001__evaluation_elevated,credential_based_fraud,card_not_present,102,0.6888,0.5393,3,"txn_9f0d397b3c0e,txn_70be1445cc0f,txn_16041bd13eb1,txn_0e113c3a7d87,txn_02406c75e6e1,txn_df456f6b7aae,txn_9a25cf3398fc,txn_7dabd1df63a9,txn_3cdb4bf549e1,txn_2d38c8800567,txn_005f86db4951,txn_9b706bf05029,txn_d99faf2b8c94,txn_09da7183ca35,txn_eb60ba49d3b8,txn_fc822922c363,txn_9505d9502463,txn_a879c2d07803,txn_39a9f1b5f7c1,txn_6347023a06c2,txn_02ac754b9c70,txn_490b86b6bdaa"
atk_47d5f18c31b5,scn_1ab3e8ac7715,cred_consumer_ato_001__evaluation_elevated,credential_based_fraud,consumer_account_takeover,103,0.601,0.9216,27,"txn_a434f00a23bb,txn_69a282274cb1,txn_d5a31e0699d4,txn_4c17a5e74779,txn_1faf4e299691,txn_c888bf530d7f,txn_eacf5f22508a,txn_c8be17b735ec,txn_dade197301c3,txn_d8b456f799df,txn_e5310f7fe0c0,txn_6504a38fa4f3"
atk_5613e85df864,scn_dda4a53603ce,cred_merchant_admin_ato_001__evaluation_elevated,credential_based_fraud,merchant_admin_takeover,104,0.8295,0.964,17,"txn_23749784c95c,txn_8a45c50c9b44,txn_0741d78be7f6,txn_5bb147d55c06,txn_6babcd42ff14,txn_638f024ad19d,txn_c9848b8f3e32"
atk_e5ce2d0f2d0f,scn_99d753ef9215,cred_stuffing_001__evaluation_elevated,credential_based_fraud,credential_stuffing,105,0.542,0.763,21,"txn_f5dbc1f040eb,txn_c3aeff5da638,txn_a085db42f45f,txn_9cedf21cbdaf,txn_4082d633f22b,txn_e60ae02c1a62,txn_30fed067767d,txn_ab57029e7cc9,txn_305f9b3bb2a2,txn_6cf11836ad4d,txn_f5053d6d5da4,txn_936680bbea70,txn_8d3f3d225ba1,txn_f4add08f5d29,txn_7481466ede8f,txn_ecb95b1c6201,txn_608aa617a2e4,txn_d95ee8af63d2,txn_5f1cf3d507ef,txn_bae973aaa81d,txn_c265b55b7528,txn_0fe27477e4c0,txn_5212c0fc0b3d,txn_ed860929f2c6,txn_8a399d02a501,txn_d9c3bfec0280,txn_83b917795198,txn_10b5be20da0f,txn_6d887d6cd62e,txn_1c0b60485cff,txn_3c525efcc23d,txn_80bc9edd13d3,txn_795f92da2a3e,txn_a577e4a81ddb,txn_1b5724adf773,txn_e1ad71d18d15,txn_7f8377986fba,txn_c27f8ec464e3,txn_090c265aea2e,txn_6061c6139db8,txn_47d0ab084e26,txn_25814ade6a0a,txn_52c71b973ffa,txn_94054e1fa355,txn_ebc34048c38f,txn_9e834e473d14,txn_d088ae7acf8a,txn_7a2d7ee57274,txn_6ade49110681,txn_1f039bf5925b,txn_0ec3d6a23f48,txn_1bdf897b3790,txn_cd1bdcbd4d53,txn_26951d87bbb4,txn_055802846490,txn_2527807ec20b,txn_b55fd909fb25,txn_645385edf38d,txn_d9055ea38642,txn_3f36a71c95b6,txn_4a45bc16fcaf,txn_fb1da19cfbd7,txn_65b98c8fb009,txn_68d3d2548af3,txn_87067ce85f5a,txn_4e4590d69ced,txn_e8dbfdbf815d,txn_020eb6e6d0ee,txn_92d1f18f0e7a,txn_6a4b090de953,txn_0c897303b592,txn_7da4bccfd6b6,txn_5550022ea55e,txn_acc75770fa4b,txn_3f7b99f015a4,txn_e36896fa9a40,txn_3cd24c262ab7,txn_4061fe068306,txn_572b667acda0,txn_cb684af1509d,txn_76abcb892390,txn_c442a7e29fa5,txn_3698f87eb338,txn_ebac886114a3,txn_8699c4e5f13d,txn_c6b22f426874,txn_f345526ff37a,txn_4f1b7c23af3d,txn_342f3ee1abb4,txn_04c4fff3353f,txn_ad3adb1577d2,txn_2055496a9370,txn_0642505109fb,txn_6d536bceb3ff,txn_5d0fc052962e,txn_1e3d8bc521df,txn_8ac8a89c9af9,txn_05e485853b55,txn_d625420a6247,txn_9d15853d3035,txn_35fa40ca5975,txn_ef94bc68f42b,txn_81ee1a3d5ab0,txn_75c4e9c2b7c6,txn_a5fe36116e69,txn_b71891ad896a,txn_6c3e5e7be8d3,txn_5dd471a3cd9d,txn_59d40d201bf8,txn_7705e80c544a,txn_f5e697b623a2,txn_90131eac4889,txn_d5a836151299,txn_9f8704c7ab39,txn_2c2b85b1d2e3,txn_04a239fb4296,txn_f10e46707ba1,txn_7c154dc731f7,txn_917bdaa54549,txn_e71fba513c4e,txn_7c8ab20eed17,txn_a614169f9737,txn_bf7fcdbae3fc,txn_53011819c570,txn_eb571fa65d8f,txn_b5982d3f93c1,txn_492264388ee7,txn_26f48a1a0f68,txn_c9f484d09e62,txn_2c2867d2c068,txn_134fcd2d41c2,txn_527457a7cfc7,txn_4c3a16ec3e05,txn_281693de98c0,txn_f9cfcb615c3d,txn_cc8d15e67653,txn_a84008c22613,txn_50dd1d910044,txn_3339d5e2c98a,txn_934256cb798e,txn_c5d0284a0e90,txn_51107036e1f8,txn_ab6cf892e48c,txn_4fa40a786737,txn_3e5955079dd9,txn_50e3172f8f61,txn_cacc858d3e17,txn_edf57e19c639,txn_859660ec1f0f,txn_f43343fbc23b,txn_793503d96796,txn_0ec6f7a7eda2,txn_9cabc8629380,txn_9862869e6c14,txn_8fa4476eaaad,txn_94ba58d357f5,txn_a0072a6483e2,txn_b61d4fd7520c,txn_1a73db2963ff,txn_8684d7641952,txn_ad3b6ccc2832,txn_4a15c8ca2e71,txn_10d9d2a135de,txn_156b752a2301,txn_ecacd5e9d897,txn_9c769964f183,txn_fc0ff4369cdb,txn_6c9fc7c9f323,txn_96ecec587f16,txn_a7a158629496,txn_10a3527b7fc0,txn_cbe39c619b29,txn_902e41f89ede,txn_e9bec6db60d9,txn_6424b3f925eb,txn_fabe62b0b3af,txn_594da3277d28,txn_410a5e602b0e,txn_3faaf30bc776,txn_0f38572e1dac,txn_dac862f83297,txn_08b183e6c02a,txn_b3c9a5193a76,txn_12808714c4cc,txn_3bd04d801a4c,txn_5fffa4537c9c,txn_e0827fdd78b8,txn_bab42353e9e5,txn_a92fb64cbfc2,txn_83f9108f41f1,txn_a21ff44cfc21,txn_1d6d24121c2c,txn_c2f0579d0dd1,txn_e5f48503b787,txn_ea400400d1a2,txn_2b38c66dec64,txn_07bda93da4dc,txn_1a1c69d997e8,txn_4bcaa9e39be2,txn_beab33d21536,txn_f6f008bc663d,txn_826525835f8d,txn_6f2278ff0c89,txn_31e67acd5e8f,txn_299d035a295c,txn_b93f42bdb980,txn_24836965a906,txn_81b2f21d7367,txn_ab8c8d57b531,txn_6de5eb48d3bb,txn_c1ac65d0a208,txn_2906b10f155c,txn_c8017da56968,txn_5eb2769d6f16,txn_ce7353111c04,txn_192f836874e9,txn_c7adf062c63c,txn_83a64be7e38b,txn_9cb7e8d84626,txn_e0befab6ce62,txn_b5227378969b"
atk_474b95f43039,scn_8cce29d64ddb,identity_fraud_merchant_001__evaluation_elevated,identity_onboarding_fraud,fraudulent_merchant_onboarding,106,0.8456,0.8143,75,"txn_e69366564f5d,txn_58992c04232d,txn_08f9444b3320,txn_6da06350ec59,txn_0c8e27f83e11,txn_911d7f274359,txn_38c4dda5c3a2,txn_4a6ecaf2da00,txn_84648c299088,txn_07cc07ac58ea,txn_293882d1a398,txn_cde4a8c7384e,txn_c8ba4f4edbb3,txn_18c7ed8f482c,txn_99786459ced9,txn_e76f5e92ae46,txn_0f2d364d8e3f,txn_9e319ffdc5bc,txn_9316d5496733,txn_9550261a7a41,txn_a3c4ee7b760f,txn_96bb97e355eb,txn_e151028538c4,txn_2a4ac3e219a6,txn_f5b5aadaa530,txn_27f70792ac77,txn_a7339addd2cd,txn_23344b7624c8,txn_6bc7cd65684a,txn_fe9cb1a71419,txn_a33710d08fc2,txn_de756857eb09,txn_4507deedb39a,txn_6923b5cf6e0e,txn_e18f6dcde91c,txn_ebe6a778f4fd,txn_86c534272464,txn_c97db423f8cf,txn_4143b2616574"
atk_f35f92461bbb,scn_d2dce8aeeb71,identity_mule_account_001__evaluation_elevated,identity_onboarding_fraud,mule_account_creation,107,0.6697,0.5909,68,"txn_2e735b6eb38a,txn_775eef0544b5,txn_fb07ba9508b2,txn_2d2f66ca4331,txn_6839898ce51b,txn_0efa18247b96,txn_2e82b2f5d6e6,txn_60a2f6b729cb,txn_7238b4c884b8,txn_a88098f5cc74,txn_5524e36b6fd9,txn_9499c65b3875,txn_e022dcba6634,txn_1cbca24768f3,txn_38d1002fc4eb,txn_b74e46629577,txn_49ce5fc20b83,txn_6bc57868d98d,txn_2d84e1c7e299,txn_0be4040867e8,txn_46ed1a35913e,txn_c0fc2dc4fc3f,txn_300e1fbb418b,txn_35a79a1b0e81,txn_25721c04a530,txn_91f9f1e19daf,txn_eb4f2f884ee1,txn_2dee457b3786,txn_2a54829a6310,txn_e3214bac108c,txn_b2664d6161dd,txn_58f56175d358,txn_588019e8ac8c,txn_b760111f6109,txn_8f550d9dc777,txn_a5624fade67b,txn_4118b7d6e295,txn_482c7efdd110,txn_5f2adc61dc02,txn_dd85c60d9a06,txn_611cb8e02525,txn_b92cd97e4060,txn_09556a5391fe"
atk_4e1a93824a0f,scn_1fde3372e732,identity_stolen_signup_001__evaluation_elevated,identity_onboarding_fraud,stolen_identity_signup,108,0.7986,0.6757,29,"txn_3d370e9645e7,txn_d3abd4c8835b,txn_2b38954e1e79,txn_63f630b3a3b5,txn_a72aeaee0a72,txn_176936161b79,txn_16f9ba8d493c,txn_a838a03ca7fd,txn_663b9bdc068c,txn_f74fa60a8f99,txn_69ae55dd5c65,txn_5cfd16704faa,txn_7345ea9b80df,txn_32a87c8666d6,txn_cfda913cbba3,txn_acc361ff8d01"
atk_efbc69169851,scn_be15d1584222,identity_synthetic_001__evaluation_elevated,identity_onboarding_fraud,synthetic_identity,109,0.6026,0.6918,19,"txn_07d983df9adc,txn_df22f613688c,txn_01bf923ec77d,txn_1416cd1e1e90,txn_6873e377c7c5,txn_5f60b99cd2a4,txn_1508b4eae95a,txn_c8b09aa26454,txn_fea192bf4e5f,txn_864aa2d6c755"
atk_6d263a0c0324,scn_e60698b6f6b6,identity_synthetic_business_001__evaluation_elevated,identity_onboarding_fraud,synthetic_business,110,0.5634,0.9537,21,"txn_d066e9823143,txn_3574c8307dad,txn_b95025a26efa,txn_4c458dd8da0e,txn_6e1acbdd7873,txn_d9cf1baf356d,txn_30e5921c9ca8,txn_cba0a3695fac,txn_ef174fa86abe"
