customer_id,age_band,tenure_days,account_age_days,home_country,email_domain,phone_type,kyc_level,historical_spend_mean,historical_spend_std,historical_decline_rate
cust_d58445bb0cd3,18-25,2602,52,DE,outlook.com,mobile,high,97.51,59.46,0.0053
cust_909a56b4acdb,51-65,1111,491,SG,outlook.com,mobile,medium,236.45,30.05,0.0414
cust_754b6b44764b,18-25,156,2296,IN,company.example,mobile,medium,99.74,42.06,0.0462
cust_9b476c04e751,18-25,1690,329,DE,company.example,mobile,medium,32.79,20.95,0.0752
cust_df59a780e260,36-50,1582,2325,AE,outlook.com,mobile,high,115.68,17.98,0.0743
cust_25722f93497d,18-25,755,2725,US,gmail.com,mobile,high,132.76,5.48,0.0454
cust_de780ac3df28,36-50,1517,2659,IN,gmail.com,mobile,high,270.52,34.55,0.0033
cust_79b450855389,51-65,2136,860,GB,company.example,mobile,medium,27.46,21.66,0.0669
cust_619300290f2b,51-65,2873,2097,US,outlook.com,mobile,high,204.1,26.18,0.0729
cust_199e1dff1473,18-25,2463,137,US,outlook.com,mobile,high,235.48,30.49,0.0099
cust_05e1734386c7,26-35,301,1463,GB,gmail.com,mobile,high,163.04,47.23,0.0261
cust_bcd8cc8a4dfe,26-35,1182,728,GB,company.example,mobile,medium,87.18,9.9,0.0283
cust_cd40dbbd346c,36-50,865,1333,US,company.example,mobile,medium,34.43,41.22,0.055
cust_28abba5904f6,36-50,1779,2655,SG,outlook.com,mobile,medium,97.86,33.29,0.04
cust_60d50df210bc,51-65,1532,1352,AE,gmail.com,mobile,medium,124.78,15.03,0.022
cust_1652c66c3c15,36-50,2224,1798,US,gmail.com,mobile,medium,232.09,27.48,0.0415
cust_8e632c6f8ad3,26-35,1121,1002,SG,outlook.com,mobile,medium,30.01,56.62,0.0197
cust_6a64e01b2112,36-50,864,1771,AE,outlook.com,mobile,medium,187.18,53.02,0.0478
cust_f54ac94689a2,26-35,837,455,GB,gmail.com,mobile,high,98.53,34.3,0.0176
cust_081ec8a6e264,51-65,60,1896,DE,outlook.com,mobile,high,272.69,16.36,0.012
cust_46e83dccfaac,26-35,1422,1899,AE,outlook.com,mobile,medium,235.98,23.38,0.0404
cust_b2225a920c8d,51-65,1705,740,US,company.example,mobile,high,223.52,30.13,0.0616
cust_47cf84229a6e,51-65,411,184,GB,company.example,mobile,medium,128.27,31.6,0.0556
cust_2139d9483d8a,51-65,2943,2098,SG,gmail.com,mobile,high,126.95,17.99,0.0728
cust_d9ee53d23fcf,18-25,91,2657,SG,gmail.com,mobile,medium,251.01,28.08,0.0296
cust_86d23aa1c599,26-35,933,462,GB,proton.me,mobile,high,191.13,57.37,0.322
cust_1c7d05187028,26-35,657,290,AE,outlook.com,voip,medium,227.6,54.43,0.0247
cust_c5b8b42533cd,51-65,2912,940,DE,gmail.com,landline,high,56.09,27.93,0.0712
cust_d8da33db9c13,18-25,870,992,SG,company.example,mobile,high,56.9,54.06,0.073
cust_813ce681de09,36-50,2438,504,US,company.example,landline,high,110.35,14.83,0.0279
cust_1df050d3b406,51-65,128,2334,AE,proton.me,mobile,medium,230.15,16.26,0.0777
cust_80854245d4ad,26-35,659,679,DE,proton.me,voip,medium,336.23,42.81,0.195
cust_294f20bc10d6,26-35,2989,407,DE,proton.me,landline,medium,121.42,63.2,0.024
cust_bd4d8d16b962,36-50,998,1941,SG,gmail.com,mobile,low,153.06,62.38,0.045
cust_194b6871ddd9,51-65,2518,1074,SG,proton.me,landline,medium,187.71,46.33,0.0435
cust_0c6ebbc2c556,26-35,1354,2083,IN,proton.me,voip,high,231.98,42.78,0.0558
cust_b59e6f9e0b45,51-65,933,542,GB,proton.me,voip,high,82.02,26.12,0.1646
cust_96ba8c52afa5,18-25,581,601,GB,gmail.com,voip,high,141.31,43.79,0.0206
cust_6b39125e144d,26-35,622,310,IN,gmail.com,mobile,high,343.86,63.33,0.11
cust_2a7f152e2e13,36-50,866,524,AE,gmail.com,voip,high,277.82,45.71,0.0512
cust_dd4b6abc0d92,36-50,95,2707,US,outlook.com,voip,medium,268.72,21.45,0.0706
cust_b750836a1c46,26-35,803,733,IN,proton.me,mobile,high,128.7,12.04,0.0422
cust_3af3a8d0fc7e,26-35,1338,465,DE,company.example,voip,low,102.46,58.15,0.0486
cust_c68a056c389c,36-50,796,2266,DE,proton.me,mobile,low,255.51,42.84,0.0195
cust_9a233cf5d853,26-35,832,2662,DE,proton.me,mobile,medium,227.18,18.39,0.0201
cust_fd42350f046a,18-25,953,2451,SG,outlook.com,landline,high,70.21,24.83,0.0148
cust_b4af01746b7d,26-35,2505,1298,US,company.example,mobile,medium,273.29,45.15,0.078
cust_aa78380d17ea,18-25,1156,417,SG,company.example,mobile,low,121.68,38.74,0.0273
cust_cb85f330e364,36-50,2305,83,IN,gmail.com,voip,medium,225.82,6.9,0.0132
cust_5427087246a2,26-35,971,2512,GB,outlook.com,voip,low,179.91,41.9,0.0003
