device_id,session_id,browser_family,os_family,device_type,ip_country,ip_reputation_score,first_seen_days_ago,session_duration_seconds,failed_login_count
dev_d58445bb0cd3,sess_d58445bb0cd3,Safari,Android,desktop,DE,0.0276,435,998,1
dev_909a56b4acdb,sess_25722f93497d,Edge,macOS,mobile,US,0.0302,849,1338,0
dev_754b6b44764b,sess_05e1734386c7,Edge,iOS,tablet,AE,0.1989,1479,886,0
dev_9b476c04e751,sess_1652c66c3c15,Safari,Android,mobile,GB,0.0879,780,610,0
dev_df59a780e260,sess_46e83dccfaac,Firefox,Windows,mobile,US,0.2245,1097,1212,0
dev_25722f93497d,sess_50fa4550a10f,Chrome,macOS,mobile,GB,0.2117,297,1203,0
dev_de780ac3df28,sess_1bf2c1c629ec,Chrome,Android,mobile,IN,0.1427,489,866,1
dev_79b450855389,sess_e5f0d8bf3001,Edge,macOS,desktop,IN,0.12,150,572,0
dev_619300290f2b,sess_be80ad5f80ee,Edge,macOS,desktop,GB,0.1881,1033,978,1
dev_199e1dff1473,sess_01010f5b60d5,Firefox,Android,desktop,SG,0.1679,1459,611,1
dev_05e1734386c7,sess_ed0a5fa762a2,Chrome,Android,mobile,GB,0.1229,857,741,1
dev_bcd8cc8a4dfe,sess_a00867196400,Safari,Android,tablet,SG,0.2164,1018,456,0
dev_cd40dbbd346c,sess_7afb2b9fe147,Edge,iOS,tablet,US,0.0931,388,211,0
dev_28abba5904f6,sess_e156a95c534a,Firefox,Windows,desktop,GB,0.0143,965,799,0
dev_60d50df210bc,sess_3dffb49da550,Firefox,Windows,desktop,GB,0.0513,393,1661,0
dev_1652c66c3c15,sess_36b26e52f6a0,Safari,macOS,mobile,GB,0.19,1479,1371,1
dev_8e632c6f8ad3,sess_6a9e1012f1c1,Chrome,Android,tablet,AE,0.1012,1366,809,0
dev_6a64e01b2112,sess_a3a8d0c7450e,Chrome,Windows,tablet,SG,0.1691,1210,546,1
dev_f54ac94689a2,sess_47175b04d577,Firefox,Android,desktop,US,0.0114,829,1761,0
dev_081ec8a6e264,sess_ee25000a089f,Safari,Android,mobile,SG,0.1528,653,1296,0
dev_9eb801b2938f,sess_ad0c677ec8f0,Firefox,Android,desktop,GB,0.3791,165,392,0
dev_9db4ccd6f524,sess_9f0d397b3c0e,Chrome,iOS,tablet,IN,0.657,87,461,1
dev_6ef4f115c801,sess_a434f00a23bb,Firefox,Android,tablet,SG,0.2152,1219,656,1
dev_fce62c2a95d6,sess_23749784c95c,Edge,Windows,tablet,IN,0.1571,868,56,1
dev_717a3031191d,sess_f5dbc1f040eb,Safari,Android,tablet,GB,0.2399,1106,827,0
dev_c7c7e72c84c3,sess_e69366564f5d,Safari,Windows,desktop,SG,0.0879,619,327,0
dev_a775a9079de5,sess_2e735b6eb38a,Safari,Android,tablet,AE,0.3047,80,87,1
dev_180c38353565,sess_3d370e9645e7,Firefox,macOS,mobile,DE,0.2199,1285,589,0
dev_3ac9f212f61a,sess_07d983df9adc,Chrome,Linux,mobile,DE,0.1931,720,568,0
dev_8dfb7f8fd32b,sess_d066e9823143,Safari,Windows,desktop,GB,0.0908,251,894,1
dev_7d7229c60da9,sess_db970493f339,Edge,iOS,desktop,DE,0.1901,519,803,1
dev_a9754424c1bb,sess_d3e4e7e30500,Safari,macOS,tablet,GB,0.5057,91,39,0
dev_ce4adbddbeab,sess_ae21842c63d5,Firefox,iOS,tablet,GB,0.3301,111,213,2
dev_1c7392134bc3,sess_6b0da1d0fe97,Firefox,Windows,tablet,DE,0.7045,98,425,2
dev_1c330aa3d862,sess_a2438cd2c736,Safari,Android,mobile,IN,0.1323,321,712,1
dev_786c8146d343,sess_ffc83db8b038,Edge,macOS,mobile,DE,0.1349,333,452,0
dev_3e857286f19b,sess_b27549c3c25a,Edge,macOS,desktop,US,0.04,900,583,0
dev_c254cc66fd1c,sess_e9f8ba91b9fd,Safari,Linux,mobile,SG,0.0708,161,568,0
dev_1fee927aafa9,sess_ddf580059c10,Firefox,Android,mobile,SG,0.0032,1095,477,1
dev_bd1bb74a30d7,sess_015878400040,Safari,Android,tablet,AE,0.1847,900,204,0
dev_b5014bee092a,sess_1a8051191415,Edge,macOS,desktop,SG,0.1471,335,325,1
dev_9344c06eb3fb,sess_d81f526b7fcb,Firefox,Windows,desktop,US,0.0968,274,479,1
dev_dc313f90f8ff,sess_ab34693453b0,Edge,iOS,mobile,GB,0.183,238,817,0
dev_d0d9ae846fd0,sess_2bc85775c1a3,Safari,Android,desktop,IN,0.1922,1359,334,1
dev_ab40e2d14559,sess_9f691f66a700,Safari,macOS,mobile,US,0.0694,1271,577,1
