device_id,session_id,browser_family,os_family,device_type,ip_country,ip_reputation_score,first_seen_days_ago,session_duration_seconds,failed_login_count
dev_f7006a27825f,sess_f7006a27825f,Safari,iOS,tablet,GB,0.1357,379,1062,0
dev_ea70572cbfcd,sess_4e278b64819e,Edge,iOS,desktop,DE,0.008,205,1450,1
dev_19953660094d,sess_eae8fb9aa179,Edge,Android,tablet,SG,0.0335,183,533,0
dev_3224fc12eb71,sess_831e7b331df5,Firefox,iOS,desktop,DE,0.0809,156,681,1
dev_0159001eb6b9,sess_f744d654ff85,Chrome,iOS,tablet,GB,0.0657,1306,941,0
dev_4e278b64819e,sess_51e7b8bad582,Chrome,iOS,desktop,IN,0.0179,1412,466,1
dev_db79c1c9230b,sess_b899e868b263,Safari,Android,desktop,DE,0.1356,786,477,1
dev_b8ffc7581114,sess_6de999fa69c3,Chrome,iOS,mobile,SG,0.0385,495,1035,0
dev_75da955712dd,sess_e9b80ed8855b,Safari,iOS,tablet,IN,0.0482,1118,605,0
dev_27f5627dfa11,sess_3b41a55f449b,Edge,macOS,tablet,SG,0.2344,205,1776,1
dev_eae8fb9aa179,sess_a5439fdab514,Firefox,macOS,tablet,US,0.2067,721,194,1
dev_8a7e7817bb1e,sess_b85b8e1158b6,Edge,iOS,desktop,DE,0.1735,170,1221,1
dev_68a18240dafd,sess_cf270484f1ce,Edge,Android,mobile,GB,0.0586,928,1098,0
dev_f9469ea7b69e,sess_a2a0514ed7a4,Safari,Windows,tablet,IN,0.0942,396,1408,0
dev_ac327ec2d34a,sess_ed4c4c03cff5,Firefox,macOS,mobile,SG,0.0501,1067,1689,0
dev_831e7b331df5,sess_9d3266acc0bc,Firefox,Android,tablet,GB,0.0995,1117,808,1
dev_858a5a1f9bb5,sess_c5cbd8f24135,Edge,iOS,desktop,US,0.0309,1114,1628,1
dev_eede2ac4420d,sess_fb6939eba6c7,Safari,Android,mobile,IN,0.0541,1109,200,1
dev_07b0720bb2f5,sess_ab2f6f9fb8b4,Safari,macOS,mobile,GB,0.2128,1284,688,1
dev_3eb38a011bc8,sess_aea02585f813,Firefox,Android,mobile,GB,0.0441,241,978,1
dev_6ea3476551a6,sess_522be3df7e1c,Edge,Windows,desktop,IN,0.1064,1494,749,0
dev_2f8ed06eab17,sess_596ad5eb1a45,Edge,macOS,mobile,SG,0.7624,64,84,4
dev_5d903a477efc,sess_1dc01c7f566b,Safari,Android,desktop,IN,0.0512,653,416,0
dev_579890179698,sess_17d563a50046,Chrome,Linux,desktop,GB,0.1566,597,774,0
dev_0e57fa841959,sess_e86898396e8c,Chrome,Linux,desktop,US,0.9037,45,299,0
dev_1b9ff9d16bad,sess_e40548f56fa2,Chrome,Windows,mobile,AE,0.1972,1441,109,1
dev_bc1c8d8a89c5,sess_5209028492ab,Edge,Windows,desktop,GB,0.1537,491,560,0
dev_a1866a7b6ffb,sess_57dfce57e32b,Safari,Linux,desktop,DE,0.0814,237,676,1
dev_938912b7ab18,sess_ab786b54df6d,Safari,Windows,tablet,US,0.2497,608,546,1
dev_0c6207e76c89,sess_d1fa85efa22a,Edge,Android,tablet,IN,0.2256,358,648,0
dev_ff995542b97d,sess_f9ee8dc499b5,Safari,iOS,desktop,GB,0.0134,429,308,1
dev_7aa865e408bc,sess_cca6785a3e3f,Firefox,iOS,tablet,GB,0.4358,43,415,1
dev_4d990e54fa81,sess_a77aea234532,Chrome,Android,tablet,GB,0.199,1389,634,1
dev_aaa135d4cb15,sess_7d77bc100d71,Safari,macOS,tablet,AE,0.6225,50,136,2
dev_e7dbec9287dd,sess_db651bde8c9d,Chrome,iOS,desktop,AE,0.0673,621,879,1
dev_3640f5407156,sess_983086c70fe9,Chrome,Linux,desktop,US,0.1971,685,275,0
dev_a764cc434c8d,sess_ed9c5c6da825,Safari,Android,tablet,SG,0.1247,307,655,0
dev_a9cb944408a3,sess_bea28d3e6bd0,Chrome,Linux,tablet,US,0.1224,1468,641,1
dev_1e476b632f85,sess_09531e19cc63,Firefox,iOS,desktop,US,0.0212,403,898,0
dev_73fb0991168b,sess_30d85267dc0c,Firefox,iOS,desktop,AE,0.1885,1288,169,1
dev_e7a5a2265eab,sess_993ba7c39325,Firefox,macOS,desktop,IN,0.225,158,735,1
dev_cdbb6c553317,sess_c62e404af2df,Chrome,Windows,tablet,GB,0.0696,768,81,0
dev_3b7c04fb800b,sess_d787e2a08020,Firefox,macOS,desktop,GB,0.1775,375,658,1
dev_c8c1d321d56f,sess_52b829af0943,Firefox,Windows,mobile,SG,0.1114,311,540,1
dev_05fc0e7cfa95,sess_d3b2164d2ca0,Firefox,Windows,desktop,AE,0.0216,319,429,0
