merchant_id,merchant_category,merchant_age_days,country,payout_account_age_days,refund_rate,chargeback_rate,average_ticket_size,volume_growth_rate,risk_tier
merch_f7006a27825f,travel,1680,GB,3569,0.0785,0.0041,62.1,0.1082,medium
merch_ea70572cbfcd,gift_cards,2431,SG,1921,0.068,0.0059,220.54,0.2311,medium
merch_19953660094d,marketplace,1962,GB,787,0.0022,0.0013,119.16,0.0899,low
merch_3224fc12eb71,retail,3207,IN,672,0.0517,0.0091,187.34,0.1598,low
merch_0159001eb6b9,marketplace,2963,US,257,0.0402,0.0094,41.07,0.2588,low
merch_4e278b64819e,gift_cards,2057,DE,1574,0.064,0.0055,107.12,0.1768,low
merch_db79c1c9230b,electronics,446,SG,1767,0.0096,0.0127,94.54,0.03,medium
merch_b8ffc7581114,digital_goods,1815,AE,899,0.0239,0.0094,232.04,0.224,low
merch_75da955712dd,travel,2449,DE,713,0.0193,0.0128,79.19,0.3348,medium
merch_27f5627dfa11,marketplace,3082,IN,3926,0.0612,0.0127,102.36,0.3139,low
merch_eae8fb9aa179,travel,1470,SG,1536,0.0328,0.0024,28.54,0.1904,medium
merch_8a7e7817bb1e,gift_cards,2977,GB,2276,0.0069,0.0029,39.43,0.0634,low
merch_68a18240dafd,financial_services,957,IN,3242,0.045,0.0039,163.22,0.333,low
merch_f9469ea7b69e,travel,811,GB,3083,0.0347,0.0045,66.5,0.1572,medium
merch_ac327ec2d34a,financial_services,1560,AE,2584,0.0039,0.0139,63.23,0.3332,medium
merch_831e7b331df5,financial_services,2500,DE,2495,0.0533,0.01,98.24,0.0378,medium
merch_858a5a1f9bb5,electronics,500,US,3319,0.0749,0.006,159.3,0.2302,low
merch_eede2ac4420d,gift_cards,2690,US,3392,0.035,0.0005,235.28,0.2288,medium
merch_088b22b8329a,digital_goods,3816,AE,1377,0.019,0.0094,184.8,0.2285,low
merch_9412360ce83a,digital_goods,405,DE,331,0.0382,0.045,594.96,0.739,medium
merch_09c5e4eea58d,marketplace,2801,US,1263,0.0369,0.0133,133.0,0.1319,low
merch_418baf50c0ea,travel,929,DE,712,0.0101,0.0094,230.01,0.2085,medium
merch_e1f129c32e5d,travel,462,IN,320,0.0759,0.0546,393.65,0.4128,medium
merch_a349ac74cf49,travel,1174,US,422,0.0745,0.003,103.69,0.0749,low
merch_a804f34680e4,retail,3883,SG,940,0.0797,0.0045,208.57,0.1982,low
merch_939a19da5a03,retail,3559,IN,933,0.0055,0.0074,87.16,0.0195,low
merch_bc07c84167d8,digital_goods,1231,AE,791,0.0587,0.0127,135.4,0.1631,medium
merch_3ae6e49ae06c,retail,1579,IN,1032,0.0412,0.0032,187.79,0.1315,low
merch_3e1491639336,digital_goods,1633,GB,999,0.0108,0.0014,79.9,0.0337,low
merch_af6f7dd3c7e6,gift_cards,1019,AE,376,0.1422,0.0378,481.12,0.9541,high
merch_4585086d5516,digital_goods,829,IN,264,0.0439,0.0121,193.74,0.027,low
merch_0a61035c309f,digital_goods,998,DE,759,0.0719,0.0105,480.88,1.7692,medium
merch_827364fd7be4,electronics,4548,IN,2143,0.0673,0.007,23.44,0.2482,low
merch_aefd13d30f9c,financial_services,3593,AE,2990,0.0438,0.0014,200.89,0.3323,low
merch_067bd7a452b3,marketplace,2983,IN,1144,0.0471,0.0036,147.1,0.2375,medium
merch_26321c62a30f,gift_cards,583,SG,229,0.0109,0.0022,23.99,0.1221,medium
merch_5be6133ee46f,marketplace,1462,GB,597,0.0155,0.0088,164.43,0.0803,medium
merch_f7804e0670ac,digital_goods,652,GB,393,0.0206,0.0027,126.38,0.2855,low
merch_bd2a1a23c081,financial_services,735,US,133,0.0335,0.0143,165.58,0.0794,low
merch_1cea01d0978e,financial_services,4498,DE,462,0.0485,0.0051,226.42,0.0198,low
merch_90e5cbaee321,financial_services,2807,GB,1502,0.0083,0.0123,109.05,0.13,medium
merch_18425c33e60b,financial_services,189,AE,46,0.0019,0.0104,129.42,0.3297,low
merch_39115bfc0c30,financial_services,3857,DE,2099,0.0277,0.0013,94.51,0.1888,low
