transaction_id,fraud_score,prediction,ml_fraud_score,ml_prediction,decision_engine,llm_reviewed,llm_provider,llm_semantic_risk_score,llm_novelty_score,llm_recommendation,llm_rationale,llm_risk_indicators,llm_fallback,label,attack_bucket,attack_subtype,reason_codes
txn_f7006a27825f,0.011960232774033179,0,0.01196,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;high generated risk score lowers risk;IP velocity lowers risk
txn_ea70572cbfcd,0.004255503792155475,0,0.004256,0,ml_only,0,,,,,,,,0,,,amount deviation from customer history lowers risk;high generated risk score lowers risk;IP velocity lowers risk
txn_19953660094d,0.02265791383194173,0,0.022658,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_3224fc12eb71,0.02777064962008063,0,0.027771,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_0159001eb6b9,0.05098361928734155,0,0.050984,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_4e278b64819e,0.055013689161489306,0,0.055014,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;event_hour lowers risk;merchant chargeback behavior lowers risk
txn_db79c1c9230b,0.022043315792252993,0,0.022043,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_b8ffc7581114,0.0592745504134078,0,0.059275,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_75da955712dd,0.02238826852460146,0,0.022388,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_27f5627dfa11,0.09006497382929152,0,0.090065,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;high generated risk score lowers risk;event_hour lowers risk
txn_eae8fb9aa179,0.07180700615892062,0,0.071807,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;merchant chargeback behavior lowers risk;event_hour lowers risk
txn_8a7e7817bb1e,0.002403552526306845,0,0.002404,0,ml_only,0,,,,,,,,0,,,amount deviation from customer history lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_68a18240dafd,0.10374594373514248,0,0.103746,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;merchant chargeback behavior lowers risk;session velocity lowers risk
txn_f9469ea7b69e,0.07380978902754914,0,0.07381,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;event_hour lowers risk;merchant chargeback behavior lowers risk
txn_ac327ec2d34a,0.1033082816802672,0,0.103308,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;session velocity lowers risk;event_hour lowers risk
txn_831e7b331df5,0.081867085578974,0,0.081867,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_858a5a1f9bb5,0.014306873145625652,0,0.014307,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;high generated risk score lowers risk;event_hour lowers risk
txn_eede2ac4420d,0.01738727893220064,0,0.017387,0,ml_only,0,,,,,,,,0,,,amount deviation from customer history lowers risk;IP velocity lowers risk;merchant chargeback behavior lowers risk
txn_07b0720bb2f5,0.09219488077629026,0,0.092195,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;merchant chargeback behavior lowers risk;session velocity lowers risk
txn_3eb38a011bc8,0.10489138547881437,0,0.104891,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;merchant chargeback behavior lowers risk
txn_f744d654ff85,0.042655203701969006,0,0.042655,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;merchant chargeback behavior lowers risk;event_hour lowers risk
txn_d0e4bf7b0761,0.148276717172111,1,0.148277,1,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;session velocity lowers risk;merchant chargeback behavior lowers risk
txn_0c15353d4ac0,0.027802332027885047,0,0.027802,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_1e57958c4418,0.06115385968662636,0,0.061154,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;merchant chargeback behavior lowers risk;session velocity lowers risk
txn_de4eb997d19b,0.033728778498300444,0,0.033729,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;session velocity lowers risk
txn_51e7b8bad582,0.024377842044067597,0,0.024378,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;high generated risk score lowers risk;IP velocity lowers risk
txn_7e8e2569f25e,0.07433232422468819,0,0.074332,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;session velocity lowers risk;merchant chargeback behavior lowers risk
txn_18c908505f76,0.06316673590454727,0,0.063167,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;session velocity lowers risk
txn_5f9fb1a65a2a,0.07706132835064469,0,0.077061,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;high generated risk score lowers risk;merchant chargeback behavior lowers risk
txn_f1b915abac15,0.08127413420184595,0,0.081274,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;merchant chargeback behavior lowers risk
txn_b899e868b263,0.04497899217827637,0,0.044979,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;high generated risk score lowers risk;merchant chargeback behavior lowers risk
txn_c414fcca624a,0.019974265528653185,0,0.019974,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;merchant chargeback behavior lowers risk
txn_68c321f5a464,0.1642556422533272,1,0.164256,1,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;session velocity lowers risk;event_hour lowers risk
txn_bda82ab4e228,0.14333346919066747,1,0.143333,1,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;session velocity lowers risk;merchant chargeback behavior lowers risk
txn_82c48692e05a,0.04601281097211348,0,0.046013,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;high generated risk score lowers risk
txn_6de999fa69c3,0.03393759145591802,0,0.033938,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;merchant chargeback behavior lowers risk;high generated risk score lowers risk
txn_af0c0e465e06,0.0008061896463084249,0,0.000806,0,ml_only,0,,,,,,,,0,,,amount deviation from customer history lowers risk;IP velocity lowers risk;merchant chargeback behavior lowers risk
txn_f29a924f7278,0.027613323448201485,0,0.027613,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;high generated risk score lowers risk
txn_86f9737b6a88,0.04389730350002977,0,0.043897,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;merchant chargeback behavior lowers risk;session velocity lowers risk
txn_d2cc7bf6c34c,0.036354452095583925,0,0.036354,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;session velocity lowers risk
txn_e9b80ed8855b,0.1332991740002956,1,0.133299,1,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;high generated risk score lowers risk;session velocity lowers risk
txn_474d9a11695c,0.1557723047219936,1,0.155772,1,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;merchant chargeback behavior lowers risk
txn_eb785e828137,0.05053826015931636,0,0.050538,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;session velocity lowers risk
txn_a2570bd8e965,0.25728934850331536,1,0.257289,1,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;session velocity lowers risk;high generated risk score raises risk
txn_0232a28da2ae,0.043021378000685735,0,0.043021,0,ml_only,0,,,,,,,,0,,,amount deviation from customer history lowers risk;IP velocity lowers risk;session velocity lowers risk
txn_3b41a55f449b,0.11559626680905843,0,0.115596,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;session velocity lowers risk;event_hour lowers risk
txn_9ef199a01e12,0.07762570367290597,0,0.077626,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;merchant chargeback behavior lowers risk;high generated risk score lowers risk
txn_b0ad64f72560,0.05054334617413742,0,0.050543,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;high generated risk score lowers risk
txn_802dbb6d828e,0.0492039284260503,0,0.049204,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;merchant chargeback behavior lowers risk
txn_e59f4eef71dc,0.08714134088588991,0,0.087141,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;merchant chargeback behavior lowers risk;session velocity lowers risk
txn_a5439fdab514,0.06051441542444289,0,0.060514,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;high generated risk score lowers risk;IP velocity lowers risk
txn_b9f155b7f5c8,0.06339350866868246,0,0.063394,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;session velocity lowers risk
txn_28ebc4aec1af,0.2353490496587425,1,0.235349,1,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;merchant chargeback behavior lowers risk;session velocity lowers risk
txn_6b54f90b2e17,0.26243189605257244,1,0.262432,1,ml_only,0,,,,,,,,0,,,merchant chargeback behavior lowers risk;IP velocity lowers risk;session velocity lowers risk
txn_656bff397de1,0.0387889061243289,0,0.038789,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;merchant chargeback behavior lowers risk
txn_b85b8e1158b6,0.0779686213318957,0,0.077969,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;merchant chargeback behavior lowers risk
txn_8043a311ee5d,0.018788621747667884,0,0.018789,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;merchant chargeback behavior lowers risk
txn_9e440306549f,0.1801169607942553,1,0.180117,1,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;high generated risk score lowers risk;session velocity lowers risk
txn_6d2a4ad2f753,0.053591895946215634,0,0.053592,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;high generated risk score lowers risk;session velocity lowers risk
txn_67b98d418814,0.023907711217898288,0,0.023908,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;high generated risk score lowers risk;merchant chargeback behavior lowers risk
txn_cf270484f1ce,0.04797078580845654,0,0.047971,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;high generated risk score lowers risk
txn_d708b5c39327,0.05126495203264414,0,0.051265,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_238bb9d24930,0.2569957454162195,1,0.256996,1,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;session velocity lowers risk;merchant chargeback behavior lowers risk
txn_26902e2ee0c0,0.08808578295735042,0,0.088086,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;high generated risk score lowers risk;session velocity lowers risk
txn_97a2d159169a,0.025889675710723602,0,0.02589,0,ml_only,0,,,,,,,,0,,,event_hour lowers risk;merchant chargeback behavior lowers risk;IP velocity lowers risk
txn_a2a0514ed7a4,0.07897523090925954,0,0.078975,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;merchant chargeback behavior lowers risk;session velocity lowers risk
txn_c9b44f43cf46,0.022170598541139227,0,0.022171,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;merchant chargeback behavior lowers risk;IP velocity lowers risk
txn_3a2b7beaba6d,0.02024492266651611,0,0.020245,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;merchant chargeback behavior lowers risk
txn_bd0351d1a479,0.03296508076744643,0,0.032965,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_72a95d4a298c,0.07642863990938463,0,0.076429,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_ed4c4c03cff5,0.049264706813871836,0,0.049265,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_e323671e6798,0.09492980172155502,0,0.09493,0,ml_only,0,,,,,,,,0,,,merchant chargeback behavior lowers risk;high generated risk score lowers risk;session velocity lowers risk
txn_5fa9c0ca5574,0.14612271582144953,1,0.146123,1,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;merchant chargeback behavior lowers risk;session velocity lowers risk
txn_2dfbce932556,0.07811943727289526,0,0.078119,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;merchant chargeback behavior lowers risk
txn_c0cb02772da4,0.09741940723787944,0,0.097419,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;merchant chargeback behavior lowers risk;IP velocity lowers risk
txn_9d3266acc0bc,0.02547232081228039,0,0.025472,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;event_hour lowers risk;IP velocity lowers risk
txn_27b8d1892c70,0.04319833995226994,0,0.043198,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;session velocity lowers risk
txn_fc36bdcadf68,0.12739985893288314,0,0.1274,0,ml_only,0,,,,,,,,0,,,amount deviation from customer history lowers risk;customer payment cadence lowers risk;IP velocity lowers risk
txn_688b423ad36f,0.11761980588006897,0,0.11762,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;high generated risk score lowers risk;event_hour raises risk
txn_847350e3fe81,0.045640921157410065,0,0.045641,0,ml_only,0,,,,,,,,0,,,event_hour lowers risk;IP velocity lowers risk;session velocity lowers risk
txn_c5cbd8f24135,0.12564973277514177,0,0.12565,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;high generated risk score raises risk
txn_c9ca388742df,0.14003109101768316,1,0.140031,1,ml_only,0,,,,,,,,0,,,amount deviation from customer history lowers risk;IP velocity lowers risk;session velocity lowers risk
txn_f251a3e828cc,0.0234822724007485,0,0.023482,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;merchant chargeback behavior lowers risk
txn_4113bffc2a33,0.12705384491489696,0,0.127054,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;merchant chargeback behavior lowers risk;session velocity lowers risk
txn_eadb23887147,0.045942698843865544,0,0.045943,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;merchant chargeback behavior lowers risk
txn_fb6939eba6c7,0.022776481824709663,0,0.022776,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;merchant chargeback behavior lowers risk
txn_9741556797e5,0.09880546991161003,0,0.098805,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;session velocity lowers risk;merchant chargeback behavior lowers risk
txn_7e3a5c969d7a,0.050815816125058894,0,0.050816,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;session velocity lowers risk
txn_9f1925572e66,0.057650230758009194,0,0.05765,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;merchant chargeback behavior lowers risk;session velocity lowers risk
txn_5705a5075e26,0.06639895757096942,0,0.066399,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;merchant chargeback behavior lowers risk
txn_ab2f6f9fb8b4,0.03521060475112668,0,0.035211,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;high generated risk score lowers risk
txn_f3315a32c2a0,0.2338922542013073,1,0.233892,1,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;merchant chargeback behavior lowers risk;session velocity lowers risk
txn_0a1ad101de48,0.038350505802855886,0,0.038351,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;high generated risk score lowers risk;merchant chargeback behavior lowers risk
txn_83069755beff,0.031503266296501437,0,0.031503,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;customer payment cadence lowers risk
txn_94056aaa8f19,0.16093792613978075,1,0.160938,1,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;session velocity lowers risk;merchant chargeback behavior lowers risk
txn_aea02585f813,0.12725635167089902,0,0.127256,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;merchant chargeback behavior lowers risk
txn_d9f510dca955,0.023237238210619068,0,0.023237,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;high generated risk score lowers risk;session velocity lowers risk
txn_2ec7d2ed320c,0.09355021222757047,0,0.09355,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;session velocity lowers risk;merchant chargeback behavior lowers risk
txn_74193ad2b50a,0.07086834255757546,0,0.070868,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;session velocity lowers risk
txn_a26eb8731c77,0.03398363736183843,0,0.033984,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;session velocity lowers risk
txn_522be3df7e1c,0.33336155137156176,1,0.333362,1,ml_only,0,,,,,,,,1,credential_based_fraud,card_testing,customer payment cadence lowers risk;IP velocity lowers risk;session velocity lowers risk
txn_d007600187cd,0.6180913405768591,1,0.618091,1,ml_only,0,,,,,,,,1,credential_based_fraud,card_testing,IP velocity lowers risk;device activity cadence raises risk;merchant chargeback behavior lowers risk
txn_a94aa1402a54,0.6338030703008702,1,0.633803,1,ml_only,0,,,,,,,,1,credential_based_fraud,card_testing,session velocity raises risk;merchant chargeback behavior lowers risk;IP velocity lowers risk
txn_b8c946228548,0.37950013677883376,1,0.3795,1,ml_only,0,,,,,,,,1,credential_based_fraud,card_testing,IP velocity lowers risk;session velocity lowers risk;merchant chargeback behavior lowers risk
txn_36f70072fbeb,0.6398694810373322,1,0.639869,1,ml_only,0,,,,,,,,1,credential_based_fraud,card_testing,device activity cadence raises risk;merchant chargeback behavior lowers risk;IP velocity lowers risk
txn_56c5a9ea05e8,0.44099205430280836,1,0.440992,1,ml_only,0,,,,,,,,1,credential_based_fraud,card_testing,session velocity raises risk;high generated risk score lowers risk;merchant chargeback behavior lowers risk
txn_6507c5220ea2,0.3325925261127202,1,0.332593,1,ml_only,0,,,,,,,,1,credential_based_fraud,card_testing,high generated risk score lowers risk;session velocity lowers risk;merchant chargeback behavior lowers risk
txn_709d900d48fd,0.7470316810583763,1,0.747032,1,ml_only,0,,,,,,,,1,credential_based_fraud,card_testing,high generated risk score raises risk;merchant chargeback behavior lowers risk;IP velocity lowers risk
txn_15b0dfc1a6ee,0.8540923859457933,1,0.854092,1,ml_only,0,,,,,,,,1,credential_based_fraud,card_testing,session velocity raises risk;device activity cadence raises risk;merchant chargeback behavior lowers risk
