attack_instance_id,scenario_id,attack_id,bucket,subtype,scenario_seed,attack_intensity,stealth_level,time_window_hours,generated_record_ids
atk_7c3c8dbc632c,scn_4843863b4f7d,cred_card_testing_001__evaluation_baseline,credential_based_fraud,card_testing,101,0.4571,0.4906,5,"txn_e128cd1687e0,txn_a92df69dbec2,txn_f3d6b9afe3d4,txn_5b956e88535c,txn_bf3dfc72afdf,txn_91491b2f0c43,txn_a3f4456c0f36,txn_a2ad9bad260d,txn_3a4ed16f8ae1,txn_35d9eeb3eddd,txn_ac66ea938dbf,txn_f990ac73dc34,txn_3b3779ddd85f,txn_320aa01119e9,txn_54f3e32e75c8,txn_25a2e53fa843,txn_3e9d6354f7fa,txn_e1be02dac9be,txn_8b5aedfcfc72,txn_505097045e1e,txn_df985339fbc1,txn_ae31d0b21ee8,txn_0ffe67667965,txn_8b9691eb49e1,txn_ca55ceb10995,txn_66715160e00e,txn_9e9249340390,txn_cb22aceec504,txn_15c0127bf06f,txn_ca08ae28a345,txn_745bac434e8b,txn_4dee8f2a45a8,txn_108b824cd38a,txn_be7bf46530f0,txn_06796c2fac79,txn_221daaffdc29,txn_c6ec8418b184,txn_db4d96039da6,txn_c12877ef8771,txn_cd5334926f21,txn_f07436d2400c,txn_af613c519a3e,txn_9e8204354f3b,txn_28ee6d5b209d,txn_b5ef9470efd9,txn_78eb788c462a,txn_3b49574e53fc,txn_da7da6e44a2c,txn_02968333f6b8,txn_945979d6a925,txn_2e83a85ce304,txn_d9c64d57ca04,txn_1a8687044e55,txn_c766e2e40f9b,txn_f78076396ac5,txn_c2b9c48bb385,txn_f0031a41a36a,txn_769275476578,txn_d4b1442d92b0,txn_af5937df92d2,txn_84a8fdaea35e,txn_2f2d06dccdf3,txn_3ab861833a50,txn_1badb007ef00,txn_f775663d02a1,txn_24730dbca0ed,txn_b7a233f0e2ee,txn_d12a7e7677a2,txn_a4e8a0da3940,txn_1536426646b5,txn_5c1791245e2f,txn_73ef9e4ce89b,txn_499d3fa675e3,txn_6fdd9a55695f,txn_2a32d6fe53d3,txn_7ea4cc21f0b8,txn_1665f626328c,txn_aae7742b9a07,txn_03d403d4c83e,txn_32c324057981,txn_599e1f1c48e2,txn_a48452f387ea,txn_7a6fda715847,txn_abc8adb37289,txn_33dcf8a03955,txn_f39ee6859480,txn_097228990f59,txn_cdb74eac1b0e,txn_adfd0454b36d,txn_70c21c368d48,txn_9d51c331a5df,txn_21b47cae37cc,txn_5900533f8c65,txn_0a14a9ab0ca0,txn_44ffe969e048,txn_b46571051b40,txn_9fae2d015b8e,txn_f272d51c2825,txn_4143d062334e,txn_ddb684a8b2e7,txn_7c0628eb3a02,txn_4b5fb1decdf4"
atk_15340aa3ea01,scn_4e1508e3057b,cred_cnp_001__evaluation_baseline,credential_based_fraud,card_not_present,102,0.6888,0.4593,2,"txn_aac49aed99a0,txn_0d85318aef6d,txn_9b3ad6b15249,txn_79f67d38a5b4,txn_72ede4126cbf,txn_d56df8e0b20c,txn_54a5c790e3a5,txn_58a3da1c19ff,txn_971e061573db,txn_d04b7bb8b697,txn_07c73ddab7ec,txn_e5622997129a,txn_04e669360f36,txn_a216502bda57,txn_9e03e038407f,txn_0592dff89aae,txn_e28cf7d64484,txn_b996dfa924b6,txn_03bf4c8f6250,txn_6034d8c27b4e,txn_900317b45e84,txn_0c71015ad4e9,txn_bf58824caad2,txn_52b1ec4d877d,txn_dc1d026a38bd,txn_eff8648e890d,txn_14a87a72d839,txn_222bf01b5196,txn_0454511b2dee"
atk_de70c6c98005,scn_07be8a7007fc,cred_consumer_ato_001__evaluation_baseline,credential_based_fraud,consumer_account_takeover,103,0.601,0.8416,23,"txn_6e925e0ef680,txn_d21511edf307,txn_570f27ab0fd5,txn_f2b361b7b9b6,txn_cce7ddd59ef8,txn_f5ceb38b8b1e,txn_778aba86788a,txn_96592bdc7957,txn_4e9b4cc79368,txn_f28a3b00a0e3,txn_31e79e91272c,txn_54a86084f1e4,txn_3d71e3613f23,txn_f2b030d12cf3,txn_9c4ff2478fdf,txn_dd12877f7e08"
atk_481c424bb8f4,scn_19c5f75386f6,cred_merchant_admin_ato_001__evaluation_baseline,credential_based_fraud,merchant_admin_takeover,104,0.8295,0.884,14,"txn_c036099c4ced,txn_77968978b61e,txn_2dc94eac1a0a,txn_108821d3e3c0,txn_c18291c30714,txn_8796914488c1,txn_3d65d066badc,txn_534d76ad855f,txn_103cd25362a4"
atk_17359add308a,scn_8f755b6f50b0,cred_stuffing_001__evaluation_baseline,credential_based_fraud,credential_stuffing,105,0.542,0.683,18,"txn_b1fc8e90ac59,txn_f99e038888a7,txn_abb1c16fc7ce,txn_697d1f3ebe80,txn_6590ffeb6bb1,txn_f297ae605337,txn_c463b0025eda,txn_38cb38568ecc,txn_449276f87af5,txn_dd69aa560d81,txn_d58ad95b1332,txn_bbb878ced039,txn_f61b170c7c29,txn_5512ca30ce68,txn_72748c134961,txn_bc3f1aef0d0f,txn_a9d76d1a646c,txn_556c44e4fcf8,txn_bf5a66d7a63a,txn_2710afc3d41f,txn_34b5a9850306,txn_53e24fb51a9f,txn_1332d490c360,txn_8884e9cce2bf,txn_77447d3f1496,txn_c3bceb7108e1,txn_fbc6541ff150,txn_dacab39bb4a9,txn_03f6218cb7a6,txn_46fe1d49f977,txn_19f05e3b973e,txn_bd0481a4485f,txn_da651a4b8d75,txn_2720e2c73d5e,txn_22c41d5aaaff,txn_a8f6880b260b,txn_1793656646ba,txn_195531f71274,txn_29ff129fff52,txn_23aade03ccf7,txn_4c8117d3e456,txn_b2a54c251112,txn_f4ec635a08eb,txn_91f4cd69070a,txn_e95e9cb9f476,txn_77d97bafbf33,txn_24d1d77ac2be,txn_a7746a328f01,txn_3a83185058de,txn_b7311432a2bd,txn_d906f077a24d,txn_0ed6b21852e1,txn_ef630a9bc91d,txn_3b9324f87c05,txn_3ebd1158feb9,txn_1c8d628fac88,txn_1a89619c18b1,txn_4d988a206354,txn_0dd83540d0b1,txn_f2d043dada12,txn_227d7e7ecdb4,txn_0b2b7db60c6c,txn_00b4bc37267f,txn_5915fde1c01f,txn_dd38b0cfcad3,txn_32b4fa0d1290,txn_53084923e115,txn_5b296e1a42ad,txn_71c897d1e67c,txn_d16c5c356c7b,txn_295e95e915f1,txn_f57925de113c,txn_071d34c77c1d,txn_4585645049f5,txn_c38bd1739220,txn_b1dc9d29bdad,txn_9bec469a62c6,txn_1bb8f8946591,txn_21ea4057a25b,txn_16ad580330cd,txn_dee17b457b21,txn_61d07fe9b23e,txn_fbe8dcdbcf97,txn_84dd8d652183,txn_68fdb0b678fc,txn_f78562f20f15,txn_782e6d251c60,txn_2b6ef272a724,txn_cf90e420dc88,txn_d6e4de107ee9,txn_b619f5075f7d,txn_602a61688f76,txn_30bb54228e8f,txn_d59320b394d7,txn_0f3041f96f74,txn_60b913276dd6,txn_77dd8706e52d,txn_d97461bb4d07,txn_b4000f2f76e2,txn_c90962ee2d37,txn_85cfec1841f6,txn_5de9a7778423,txn_d9baddd5e65d,txn_25193d895945,txn_7ee8cc1240bd,txn_7afff0d1d15b,txn_c05d1e87c4cc,txn_97ff920d4338,txn_ece5b8ffaa92,txn_7c7c2099dc62,txn_85f3ebab4a60,txn_0d1eeea32065,txn_96994a03dd86,txn_226fe13b70e9,txn_15e440488849,txn_3508d6bee15b,txn_e152d21c252e,txn_68f05d2c11ff,txn_5ac5ddedaebf,txn_bbf343a9f91e,txn_e391bfa9e4d6,txn_80f3790102bd,txn_ed8e77f788d2,txn_60fef6390b9f,txn_fdf867b2f17a,txn_089d541970db,txn_01c067c0b15a,txn_74bf7e42aff9,txn_e96cee239ee4,txn_70d9a13b7ef8,txn_a5ee927c7a1a,txn_abea240a654c,txn_6b75d78bb2ef,txn_c0a072c28acc,txn_520ecdb20894,txn_710e2087587d,txn_0b20dec77347,txn_ccd51ea00a79,txn_b56cfd4ba199,txn_92f6f1df01c2,txn_2cc6ce0df4f8,txn_521c82fb6518,txn_1a88559291ae,txn_4cc6e8e943f6,txn_3fd97acb9ef4,txn_d50f1688d630,txn_abc5270a7a8b,txn_47827b4b97c3,txn_e1cb81769418,txn_177801f8c4b2,txn_62864ff00ad5,txn_5cb064cc26a7,txn_ecb496c58573,txn_f5aeadccdfb9,txn_dd5f51be13b5,txn_1110ac0b76f7,txn_dfca9c4b8779,txn_ca18735e231a,txn_78ca9dc507e9,txn_49d1fa8bae03,txn_64ea831e189e,txn_ce135e2c9068,txn_b303d829fc2e,txn_c2bf57fea813,txn_567734de0520,txn_6f4006823e6a,txn_0ba42d1b10fe,txn_69bfae9b4bb2,txn_fbf780966b2b,txn_056f41c01f0a,txn_fd6001888d83,txn_b28f5c49785a,txn_21d675cde040,txn_b410c33a5823,txn_741567f164da,txn_f1fa59ffc7ea,txn_6b671fc30cfe,txn_6cfaafabbbab,txn_bd41a5af5fc8,txn_29d3dc959395,txn_5d30b50d1f3b,txn_282b3f605244,txn_00fae17cbc57,txn_95115ccdb47c,txn_8c28628c2920,txn_ec0f85ff2f8e,txn_a072af879015,txn_7d380d01e84c,txn_b28ee83bc438,txn_aeb062672949,txn_a191b5e94a17,txn_83be335e488f,txn_34296b8366ae,txn_297047107a99,txn_7ea855948a8c,txn_fd043dca2856,txn_621ae0a8bfc3,txn_ffbcdda5c507,txn_39bcdceb3c04,txn_6fabf0afc807,txn_e6a635a71ba2,txn_9152a746ec7c,txn_77878233a66e,txn_73431d845408,txn_dad53735bc49,txn_5a3a117a1758,txn_8a52b9281284,txn_c5a3eb9759ec,txn_0662d62b88c2,txn_236eae7ef036,txn_7a5d7f4ecfb7,txn_26a0adcc1415,txn_005f019683e1,txn_6d3a6767e23a,txn_3025198a0b25,txn_8e40b65a0ac9,txn_2a64b2d659de,txn_f8a67550c0b8,txn_3f4dc0eb8f2b,txn_1460d6bb1a51,txn_3e7d1c306306,txn_64944e7194f6,txn_04451ee2a9f8,txn_ce8553b2f962,txn_d41d6bb8f9de,txn_fdb370742059,txn_17f707332784,txn_cf679ce2eeb6,txn_562010fc07d7,txn_442eede1d758,txn_1f989f459e93,txn_707b4cc9441d,txn_62331de33cfa,txn_165124967122,txn_986b548563bb,txn_d35a15b0baa0,txn_0451cfd57fa8,txn_dcf5da927771,txn_84d048056e88,txn_3ad033808a27,txn_5f1df66f9fe8,txn_426e9a7e47db,txn_93f8e4dd96e7,txn_f0ae5ced76b3,txn_5497f1847787,txn_75c9bd88bd32,txn_9993cf41f771,txn_d009ac3e4bc9,txn_852610628612,txn_3a52e87e84c0,txn_a966f45bc695,txn_3d9096e57b2b,txn_fc9e302ed953,txn_adcc33b3e69f,txn_655715d48a21,txn_bd03fe41968e,txn_6a1481b3d568,txn_1d38bb8b6073,txn_f843f9dbeffc,txn_364513ce59ba,txn_e01c1816455f,txn_f147e49e4309,txn_4528aaeec72b,txn_3c18c417cbee,txn_52e44026d62d,txn_dcad6a51b3ee,txn_d9afb7173c6d,txn_aea58c99cf1a,txn_0ea4f56f21da,txn_03f721b296c3,txn_a06dd7dd0175,txn_f0786dbb5283,txn_5311ac1666c6,txn_19deb654ae88,txn_3ff55c374a77,txn_d520af2cc58b,txn_319cd8db6652,txn_9ea31664a054,txn_51b09cf4986f,txn_c01c75f350b2,txn_30947b334063,txn_551be1773338,txn_2a2530fd2f55,txn_59b1cc2a9aa7,txn_ffcf22cf8a26,txn_a32fbc32cde8,txn_754a01da0169,txn_f2a935d786da,txn_b8eb79738365,txn_0f4c3aac2c75,txn_50dec5aa8748,txn_30515c676e3c,txn_b6cd831d795e,txn_92c2915ee471"
atk_9f85f1f8819a,scn_67e8985a44f5,social_ai_impersonation_001__evaluation_baseline,social_engineering_payment_fraud,ai_impersonation,106,0.8456,0.8487,15,"txn_f4768672f2fe,txn_92b7ff096f9b,txn_d81b1a6155eb,txn_805b45276bab,txn_ffdf00c594f4,txn_8a4b064a4c52,txn_34ccaeafc2d2,txn_6eebac598892,txn_4304cf21fd61,txn_0188db53112c"
atk_dcbf1d195b98,scn_eeb218e5c3c0,social_app_scam_001__evaluation_baseline,social_engineering_payment_fraud,authorized_push_payment_scam,107,0.6697,0.6486,15,"txn_0ec9a9d8c486,txn_ffec4f708051,txn_7edd18499b47,txn_ffb81fdfbb83,txn_66fd32ab6529,txn_a8ab5d4fd494,txn_767c81bd27f0,txn_ad786969b517,txn_537c53848a24,txn_214a367f731f,txn_a53b5107e2eb"
atk_9073024c9e99,scn_6d000373efc3,social_bec_001__evaluation_baseline,social_engineering_payment_fraud,business_email_compromise,108,0.7986,0.6457,13,"txn_d8f7f6b32ffc,txn_6718dcbcc7a9,txn_ba84ecd4966e,txn_0227cb78a416,txn_62cb0d4a5b30,txn_191c305335f6,txn_05111b0852b9,txn_1290e8f97c02,txn_10710246e6d7,txn_874ce269e5f3"
atk_86eea621c6a7,scn_68d3c39482ba,social_exec_impersonation_001__evaluation_baseline,social_engineering_payment_fraud,executive_impersonation,109,0.6026,0.6479,7,"txn_4c89cfe469a7,txn_c3e1eacdd2b7,txn_8071a208012e,txn_14d8423b74fe"
atk_1130d901814b,scn_a68950f5cb08,social_vendor_reroute_001__evaluation_baseline,social_engineering_payment_fraud,vendor_rerouting,110,0.5634,0.927,12,"txn_7ea59fb64f81,txn_8e7cd8f18185,txn_bb75cf4b310b,txn_de51655a887c,txn_684e7d452162,txn_9e9d5b8cae0a,txn_c42511db0566"
