merchant_id,merchant_category,merchant_age_days,country,payout_account_age_days,refund_rate,chargeback_rate,average_ticket_size,volume_growth_rate,risk_tier
merch_d58445bb0cd3,travel,4743,DE,1616,0.0608,0.0051,51.53,0.1346,medium
merch_909a56b4acdb,travel,1146,DE,3273,0.0335,0.0116,119.12,0.2473,low
merch_754b6b44764b,digital_goods,1102,US,2142,0.0133,0.0058,156.5,0.0425,medium
merch_9b476c04e751,digital_goods,3776,SG,821,0.0463,0.0038,33.79,0.1835,low
merch_df59a780e260,travel,1849,SG,1500,0.0424,0.0034,15.46,0.2328,low
merch_25722f93497d,gift_cards,1938,US,1978,0.0635,0.0012,121.69,0.1556,low
merch_de780ac3df28,financial_services,4568,DE,610,0.0723,0.0114,181.04,0.0246,medium
merch_79b450855389,marketplace,2614,IN,3742,0.0637,0.0014,223.68,0.3201,medium
merch_619300290f2b,digital_goods,1044,IN,1135,0.0549,0.0029,181.99,0.2691,medium
merch_199e1dff1473,gift_cards,1528,IN,540,0.0595,0.0014,184.73,0.1608,medium
merch_05e1734386c7,digital_goods,2192,AE,3633,0.003,0.0089,35.34,0.2437,medium
merch_bcd8cc8a4dfe,marketplace,586,SG,224,0.0183,0.0123,116.74,0.3253,low
merch_cd40dbbd346c,travel,4571,DE,201,0.0603,0.0051,77.64,0.169,low
merch_28abba5904f6,gift_cards,4014,DE,3216,0.0174,0.0076,80.98,0.0876,medium
merch_60d50df210bc,marketplace,3280,US,1734,0.0502,0.0072,231.47,0.1118,low
merch_1652c66c3c15,marketplace,3460,GB,3110,0.0151,0.0137,162.73,0.0284,low
merch_8e632c6f8ad3,electronics,285,AE,1612,0.0355,0.0123,150.53,0.1461,low
merch_6a64e01b2112,gift_cards,894,IN,1592,0.0578,0.0015,72.45,0.2688,medium
merch_75ba9688129f,electronics,477,IN,173,0.1151,0.0212,113.42,0.5214,high
merch_ee85f22fcec7,financial_services,488,DE,252,0.2211,0.0591,238.73,0.4172,low
merch_0bf6c99ed710,marketplace,1092,US,225,0.0467,0.0146,24.91,0.337,low
merch_92640e2cef62,travel,979,US,158,0.0603,0.0055,28.69,0.079,medium
merch_2e26ca13c1d3,digital_goods,1328,DE,554,0.0745,0.0127,153.51,0.2923,medium
merch_0437ca9d09b1,financial_services,3101,SG,1429,0.0523,0.0104,182.97,0.1046,medium
merch_d738674b1b64,financial_services,162,GB,93,0.1801,0.0726,182.6,0.5478,low
merch_38ee717560a6,financial_services,234,DE,183,0.0558,0.016,558.19,1.8344,low
merch_de3d9dbf2b14,financial_services,103,IN,47,0.076,0.0673,116.91,1.343,high
merch_c15b62e5669d,financial_services,4225,GB,2942,0.0093,0.0077,33.2,0.1603,low
