attack_instance_id,scenario_id,attack_id,bucket,subtype,scenario_seed,attack_intensity,stealth_level,time_window_hours,generated_record_ids
atk_a2dfec206c84,scn_740273b6eea0,cred_card_testing_001__evaluation_stealth_stress,credential_based_fraud,card_testing,101,0.4571,0.6406,8,"txn_8c8fc3c1d209,txn_4e4dedc8075b,txn_33b62b391814,txn_f84e19bc5ee0,txn_479babdcc6b3,txn_c0220f40b22c,txn_7c5196cd0ecf,txn_b11edd95febb,txn_ba673af69127,txn_7b9357c51fb0,txn_20c71d708acd,txn_2a180ea05a94,txn_9eec2394bf6d,txn_f178d0dc6645,txn_69f403666ae7,txn_769a13874418,txn_4fd85b382adc,txn_b903bf90b822,txn_b87a7830b293,txn_80fff8fed7a4,txn_44e098cd8774,txn_ff051f00e474,txn_7b135990de92,txn_c2795252b580,txn_604b54d6a8ce,txn_2021a37ed312,txn_2fa009db2bf1,txn_e08127c620be,txn_ebe02db659af,txn_dac983536b12,txn_5809eea0dee1,txn_6d5a7c37f25c,txn_b4f76958c424,txn_ff7d90dd6e20,txn_111b8cdce75c,txn_5102ea59f222,txn_80a8c45395af,txn_e1e6a8b91998,txn_9b44dab3ab5e,txn_5fb7b19f672e,txn_b0e7a538ab46,txn_f2e2500660e4,txn_983587e873c9,txn_0267fc040e34,txn_ad3d262cd42a,txn_5fbdca76a1e4,txn_3c89c3ad396b,txn_1006295ca14b,txn_891e1a116b96,txn_6ed6b4ef6f34,txn_7aa592f156af,txn_d35a1c47e217,txn_17085fa07fbc,txn_71c84c636493,txn_b45f54de42e1,txn_c2c05b1dbe8b"
atk_e8b7ef3ed536,scn_2d3c43acb549,cred_cnp_001__evaluation_stealth_stress,credential_based_fraud,card_not_present,102,0.6888,0.6093,4,"txn_af37a14d6104,txn_90313885b6c3,txn_5dce6449820d,txn_e895a267c43b,txn_4cd88701bb7b,txn_bd1841dccee1,txn_57901b5818cb,txn_e5f5863e8a05,txn_fb9793b2e48a,txn_d5b2d7e56ec5,txn_a69c5e451ce7,txn_a0e5c08ed825,txn_d34d02cbc3fd,txn_affcc16c0676,txn_77c5931609fe,txn_e1c96799ff34"
atk_36dcad6c268e,scn_2d5682b7c742,cred_consumer_ato_001__evaluation_stealth_stress,credential_based_fraud,consumer_account_takeover,103,0.601,0.9818,31,"txn_ba38687d9222,txn_fe219480761c,txn_4022f0ff4905,txn_2726220524fc,txn_19600b43c1b9,txn_3030b1e2d471,txn_e4b500c460b6,txn_347fc8e9d4df,txn_74a17c9d4bc9"
atk_ea9d1ce11077,scn_655fb4a44136,cred_merchant_admin_ato_001__evaluation_stealth_stress,credential_based_fraud,merchant_admin_takeover,104,0.8295,0.9764,19,"txn_5dd7d5dd04ce,txn_426ccd6cb0a4,txn_8725f29a5c3f,txn_4c8f459ce4ac,txn_6599b5cbd51c"
atk_b1642314eb86,scn_8ecc959784b3,cred_stuffing_001__evaluation_stealth_stress,credential_based_fraud,credential_stuffing,105,0.542,0.833,24,"txn_d6e69e08cfa6,txn_ae9bb424b8db,txn_e70f990b52bb,txn_d801a4370a70,txn_812516f185a1,txn_284efd647bac,txn_cd17568bed41,txn_dd7015b0bccf,txn_d6d5d639a6f9,txn_04275accc583,txn_fc68b6ee452a,txn_795987e41dc2,txn_e32e70bfbcde,txn_55c5051a0e36,txn_634b876f5a31,txn_f3c4d157ce5b,txn_2838752e971c,txn_2a583a2b2e9e,txn_1e33cdb31755,txn_4daeb70836f2,txn_448656815fe3,txn_13852d2e721d,txn_f1197b02ce38,txn_4286ad7cec3a,txn_e7e46c6153eb,txn_158acd73d212,txn_9aca66944ed0,txn_2440e852e63a,txn_2d00e4ea0c5a,txn_3cb279a27edf,txn_a445554479bc,txn_9ec3046ba8aa,txn_e259fded662f,txn_12d7c1dd278c,txn_77d7995b5d52,txn_e59d8730d84c,txn_6605d9a8557a,txn_201b5e9874b5,txn_64bb2508e1f5,txn_e2b17118e79c,txn_94b1a4ce0a4b,txn_e93e8f291963,txn_c95ba1f2c56b,txn_75f2b802f8be,txn_e91713b0fdce,txn_a8386f3787b0,txn_acb22a2174be,txn_7b0ea848e492,txn_b331683991cd,txn_4dc5e807e3ff,txn_c4e953e71c80,txn_1aafa79bfb74,txn_2d444181be2f,txn_a5f15fb05b00,txn_c0e9127b1514,txn_42d9d35513ca,txn_7e594bc6f788,txn_e4ceb34e5319,txn_bafbf90e9bbe,txn_eb8f89ef7ac4,txn_6f8791ab7320,txn_82e9a5161578,txn_3ab318ed0087,txn_188d6a9321dc,txn_6438871956c3,txn_60355a40c637,txn_9efcec459e59,txn_2d353cd55d34,txn_848ff4a82c52,txn_4709885ce2ed,txn_22628b3fbeb7,txn_c48e10815741,txn_fc7dc2ea4d2f,txn_f6d02bd2b1a4,txn_ff8ada874110,txn_4f23ae4ad97b,txn_0273fc5903d5,txn_68b58fa6f0a8,txn_6d0942c01d1e,txn_5050b03be682,txn_9b3c0dddea28,txn_b7126a4ad707,txn_39c35671cc9e,txn_3babf63819b2,txn_7922331bfb3d,txn_053732a27ac1,txn_a89ff593ffa4,txn_3823269e1563,txn_a925547bfd0d,txn_d905a87437af,txn_02f93081db75,txn_9dff4402bfad,txn_b302308d3dd4,txn_5e8433d3c7c2,txn_c94d4739d71a,txn_84085c2e70c4,txn_6eb189ab4a09,txn_0209c92c865d,txn_282b9e6a0789,txn_cb74388eb546,txn_2c3435f0ff23,txn_e16d1ca4af41,txn_4c3c1537975e,txn_ef39c8a1cc4b,txn_d9c7502c6d9d,txn_dcc2ea942d83,txn_c28b25d9608b,txn_5b2963da79ff,txn_af34bf99cfa1,txn_c424e4e4a8dc,txn_75cda881f279,txn_f97668aa9483,txn_a4c04d003f77,txn_2274d0f6c01c,txn_bf3e17bb1150,txn_4084812e89e6,txn_c37555837638,txn_a1cd29d8d5c3,txn_c25bb3ac3873,txn_4a7e97adcfa6,txn_28a23bf1aec0,txn_66794928b6ce,txn_b87b1c4869b8,txn_38a2a2794f28,txn_884855506a99,txn_3dcfd44177a4,txn_af2bedfcde02,txn_359f7fd2cb0c,txn_70fe4539239d,txn_dc1600c69853,txn_7db05b24554e,txn_39727f235895,txn_657662774e73,txn_df9b721f5957,txn_2b69829d65bf,txn_58a2dcf1350f,txn_e85463a21324,txn_57a47fe1bc22,txn_74f0ab4b76ff,txn_d9a70ff0a32a,txn_ab3e9314b5f0,txn_b2b17fe9ea38,txn_69a8af19949d,txn_3bfd2a49eae4,txn_e9716db93da1,txn_2c307b774ba7,txn_44fb5a19cd08,txn_cb1b7534ac73,txn_f722a4b2ce9b,txn_5d4809847b92,txn_b62f6779428e,txn_e89374b7c610,txn_3f51956697bb,txn_713c19f16b93,txn_0a092bb34d23,txn_669832f6892b,txn_fc66bc201fa3,txn_0f850e266052,txn_0d361d8d170c,txn_e9c519cf742e,txn_7c9091af55af,txn_736d4b5478fc"
atk_d521e450fbad,scn_3531489b1467,social_ai_impersonation_001__evaluation_stealth_stress,social_engineering_payment_fraud,ai_impersonation,106,0.8456,0.9206,21,"txn_7f2147ea9080,txn_43e818acbedb,txn_29f37ddaef64,txn_cc808cb8701b,txn_9a67a31de242,txn_60f1dcc951b4"
atk_2b0d7cef8b1c,scn_66fba0610976,social_app_scam_001__evaluation_stealth_stress,social_engineering_payment_fraud,authorized_push_payment_scam,107,0.6697,0.7715,19,"txn_987619f740d7,txn_7cb84aa1090a,txn_19cfb9708527,txn_8b7b3f36f612,txn_071f98480c1a,txn_12dddf9850bf"
atk_153907ea7bf7,scn_14b494f7f011,social_bec_001__evaluation_stealth_stress,social_engineering_payment_fraud,business_email_compromise,108,0.7986,0.7813,19,"txn_7cafab5975ac,txn_a7edb3c905fe,txn_811595392e6f,txn_e0e0f499a3b5,txn_e84fa455c3a1,txn_a2e54141f162"
atk_b1ee04b09e9e,scn_9bf85bc6dffb,social_exec_impersonation_001__evaluation_stealth_stress,social_engineering_payment_fraud,executive_impersonation,109,0.6026,0.7811,9,"txn_29b7dd0753c1,txn_6b43533ad5c5"
atk_08174c1724fc,scn_81b6fb28f621,social_vendor_reroute_001__evaluation_stealth_stress,social_engineering_payment_fraud,vendor_rerouting,110,0.5634,0.9742,16,"txn_354c3c72694f,txn_e73bea604595,txn_a7134315a879,txn_72b936faa569"
