customer_id,age_band,tenure_days,account_age_days,home_country,email_domain,phone_type,kyc_level,historical_spend_mean,historical_spend_std,historical_decline_rate
cust_d58445bb0cd3,18-25,2602,52,DE,outlook.com,mobile,high,97.51,59.46,0.0053
cust_909a56b4acdb,51-65,1111,491,SG,outlook.com,mobile,medium,236.45,30.05,0.0414
cust_754b6b44764b,18-25,156,2296,IN,company.example,mobile,medium,99.74,42.06,0.0462
cust_9b476c04e751,18-25,1690,329,DE,company.example,mobile,medium,32.79,20.95,0.0752
cust_df59a780e260,36-50,1582,2325,AE,outlook.com,mobile,high,115.68,17.98,0.0743
cust_b15a1b2ff2a9,26-35,1047,518,GB,proton.me,mobile,high,191.13,57.37,0.322
cust_a96a3277e29d,26-35,742,328,AE,outlook.com,voip,medium,227.6,54.43,0.0247
cust_9f4d99875f90,51-65,2912,940,DE,gmail.com,landline,high,56.09,27.93,0.0712
cust_cceb2b889cae,18-25,870,992,SG,company.example,mobile,high,56.9,54.06,0.073
cust_f6fe37880f93,36-50,2438,504,US,company.example,landline,high,110.35,14.83,0.0279
cust_9a30bd5c3e33,51-65,128,2334,AE,proton.me,mobile,medium,230.15,16.26,0.0777
cust_e3d118417667,26-35,2598,2440,DE,proton.me,voip,medium,269.02,30.47,0.0435
cust_c4dfafa77900,26-35,2989,407,DE,proton.me,landline,medium,121.42,63.2,0.024
cust_2a44002ce068,36-50,998,1941,SG,gmail.com,mobile,low,153.06,62.38,0.045
cust_6629c094fed5,51-65,2518,1074,SG,proton.me,landline,medium,187.71,46.33,0.0435
