merchant_id,merchant_category,merchant_age_days,country,payout_account_age_days,refund_rate,chargeback_rate,average_ticket_size,volume_growth_rate,risk_tier
merch_db40dd6ac6b0,marketplace,4616,AE,3432,0.0275,0.0145,17.25,0.287,medium
merch_8e9bbd6f9649,marketplace,1316,SG,507,0.0159,0.0033,189.15,0.2514,low
merch_4630543833df,marketplace,4071,AE,1669,0.0216,0.0076,34.64,0.0293,medium
merch_19557da8d6b5,financial_services,2776,US,3089,0.0061,0.0138,182.36,0.0988,medium
merch_36f0d6e66df0,financial_services,1241,IN,1376,0.0496,0.0125,15.84,0.1883,low
merch_05ac045f73fd,travel,1672,GB,3045,0.074,0.0137,132.09,0.3372,medium
merch_be8a71877ba7,retail,4374,DE,1450,0.0174,0.0014,195.59,0.2028,low
merch_7e924e1464c3,digital_goods,747,GB,3740,0.0326,0.0141,137.43,0.2911,low
merch_862d69330a80,digital_goods,3359,GB,621,0.0438,0.0056,25.98,0.1182,low
merch_eb83195947e6,retail,2262,AE,2537,0.0166,0.0129,178.5,0.1795,low
merch_392633974cf0,electronics,3777,AE,550,0.0038,0.0088,47.19,0.2664,medium
merch_7b88714cb486,retail,2609,SG,410,0.0321,0.0132,103.43,0.1547,low
merch_875e9a72229c,marketplace,3837,AE,2592,0.0548,0.0144,189.24,0.1657,low
merch_9be5c2eadf04,marketplace,1977,IN,3402,0.0473,0.0038,165.99,0.1745,low
merch_ff3bcf19dbcf,retail,2028,SG,1513,0.0172,0.0036,185.54,0.1563,low
merch_94dc8e4876df,marketplace,973,DE,2180,0.012,0.0011,126.14,0.0728,medium
merch_480465febebb,financial_services,4747,AE,1318,0.0795,0.007,199.73,0.0598,medium
merch_421042bd9643,marketplace,3016,SG,957,0.0428,0.0064,239.95,0.0923,low
merch_912ab4b82912,financial_services,29,DE,18,0.1252,0.043,123.87,0.8511,high
