transaction_id,event_time,amount,currency,channel,rail,transaction_type,status,customer_id,merchant_id,device_id,session_id,ip_address,billing_country,shipping_country,merchant_category,payment_method_type,auth_result,risk_score,label,attack_id,attack_bucket,attack_subtype,scenario_id,simulation_segment
txn_db40dd6ac6b0,2026-08-17T00:00:00+00:00,45.19,USD,marketplace,card,purchase,approved,cust_db40dd6ac6b0,merch_db40dd6ac6b0,dev_db40dd6ac6b0,sess_db40dd6ac6b0,198.51.100.209,AE,AE,retail,credit_card,approved,0.0691,0,,,,,routine_benign
txn_8e9bbd6f9649,2026-08-17T00:04:00+00:00,28.58,GBP,mobile_app,card,purchase,approved,cust_db40dd6ac6b0,merch_8e9bbd6f9649,dev_db40dd6ac6b0,sess_8e9bbd6f9649,198.51.100.184,SG,SG,gift_cards,bank_account,approved,0.1991,0,,,,,routine_benign
txn_4630543833df,2026-08-17T00:22:00+00:00,44.14,INR,ecommerce,wallet,purchase,approved,cust_db40dd6ac6b0,merch_4630543833df,dev_db40dd6ac6b0,sess_4630543833df,198.51.100.227,AE,US,marketplace,wallet,approved,0.1613,0,,,,,atypical_benign
txn_19557da8d6b5,2026-08-17T01:00:00+00:00,9.25,EUR,mobile_app,wallet,purchase,approved,cust_db40dd6ac6b0,merch_19557da8d6b5,dev_db40dd6ac6b0,sess_19557da8d6b5,198.51.100.32,US,US,digital_goods,debit_card,approved,0.03,0,,,,,routine_benign
txn_36f0d6e66df0,2026-08-17T01:24:00+00:00,16.39,SGD,marketplace,card,purchase,approved,cust_8e9bbd6f9649,merch_36f0d6e66df0,dev_db40dd6ac6b0,sess_36f0d6e66df0,198.51.100.126,IN,IN,gift_cards,bank_account,approved,0.3144,0,,,,,routine_benign
txn_05ac045f73fd,2026-08-17T00:45:00+00:00,39.82,INR,mobile_app,p2p,purchase,approved,cust_8e9bbd6f9649,merch_05ac045f73fd,dev_8e9bbd6f9649,sess_05ac045f73fd,198.51.100.233,GB,GB,travel,bank_account,approved,0.1564,0,,,,,routine_benign
txn_be8a71877ba7,2026-08-17T02:18:00+00:00,50.94,SGD,mobile_app,card,purchase,approved,cust_8e9bbd6f9649,merch_be8a71877ba7,dev_8e9bbd6f9649,sess_be8a71877ba7,198.51.100.181,DE,DE,retail,bank_account,approved,0.143,0,,,,,routine_benign
txn_7e924e1464c3,2026-08-17T02:13:00+00:00,30.85,EUR,ecommerce,wallet,purchase,approved,cust_8e9bbd6f9649,merch_7e924e1464c3,dev_8e9bbd6f9649,sess_7e924e1464c3,198.51.100.189,GB,GB,gift_cards,credit_card,approved,0.1054,0,,,,,routine_benign
txn_862d69330a80,2026-08-17T02:32:00+00:00,466.22,SGD,wallet,p2p,purchase,approved,cust_4630543833df,merch_862d69330a80,dev_8e9bbd6f9649,sess_862d69330a80,198.51.100.39,GB,GB,financial_services,credit_card,approved,0.2914,0,,,,,atypical_benign
txn_eb83195947e6,2026-08-17T02:24:00+00:00,19.41,SGD,wallet,wallet,purchase,approved,cust_4630543833df,merch_eb83195947e6,dev_8e9bbd6f9649,sess_eb83195947e6,198.51.100.187,AE,AE,travel,credit_card,approved,0.105,0,,,,,routine_benign
txn_392633974cf0,2026-08-17T02:40:00+00:00,32.44,INR,ecommerce,card,purchase,approved,cust_4630543833df,merch_392633974cf0,dev_4630543833df,sess_392633974cf0,198.51.100.118,AE,AE,travel,wallet,approved,0.071,0,,,,,routine_benign
txn_7b88714cb486,2026-08-17T02:12:00+00:00,18.41,INR,ecommerce,card,purchase,approved,cust_4630543833df,merch_7b88714cb486,dev_4630543833df,sess_7b88714cb486,198.51.100.196,SG,SG,retail,credit_card,approved,0.3202,0,,,,,routine_benign
txn_875e9a72229c,2026-08-17T02:36:00+00:00,8.36,INR,ecommerce,p2p,purchase,approved,cust_19557da8d6b5,merch_875e9a72229c,dev_4630543833df,sess_875e9a72229c,198.51.100.172,AE,AE,retail,credit_card,approved,0.2775,0,,,,,routine_benign
txn_9be5c2eadf04,2026-08-17T00:52:00+00:00,31.54,INR,ecommerce,card,purchase,approved,cust_19557da8d6b5,merch_9be5c2eadf04,dev_4630543833df,sess_9be5c2eadf04,198.51.100.91,IN,IN,gift_cards,bank_account,approved,0.3432,0,,,,,routine_benign
txn_ff3bcf19dbcf,2026-08-17T00:56:00+00:00,86.83,INR,mobile_app,card,purchase,approved,cust_19557da8d6b5,merch_ff3bcf19dbcf,dev_4630543833df,sess_ff3bcf19dbcf,198.51.100.41,SG,SG,travel,debit_card,approved,0.225,0,,,,,routine_benign
txn_94dc8e4876df,2026-08-17T05:45:00+00:00,16.98,GBP,mobile_app,p2p,purchase,approved,cust_19557da8d6b5,merch_94dc8e4876df,dev_19557da8d6b5,sess_94dc8e4876df,198.51.100.214,DE,DE,retail,credit_card,approved,0.0577,0,,,,,routine_benign
txn_480465febebb,2026-08-17T03:44:00+00:00,172.73,GBP,mobile_app,p2p,purchase,approved,cust_36f0d6e66df0,merch_480465febebb,dev_19557da8d6b5,sess_480465febebb,198.51.100.80,AE,AE,gift_cards,bank_account,approved,0.2772,0,,,,,routine_benign
txn_421042bd9643,2026-08-17T01:59:00+00:00,132.44,EUR,ecommerce,p2p,purchase,approved,cust_36f0d6e66df0,merch_421042bd9643,dev_19557da8d6b5,sess_421042bd9643,198.51.100.58,SG,SG,marketplace,credit_card,approved,0.1993,0,,,,,routine_benign
txn_9688bdb6a802,2026-08-17T01:12:00+00:00,17.38,INR,marketplace,wallet,purchase,approved,cust_36f0d6e66df0,merch_db40dd6ac6b0,dev_19557da8d6b5,sess_9688bdb6a802,198.51.100.48,GB,GB,electronics,credit_card,approved,0.2512,0,,,,,routine_benign
txn_d3cf6bbf0362,2026-08-17T07:36:00+00:00,10.22,GBP,ecommerce,p2p,purchase,declined,cust_36f0d6e66df0,merch_8e9bbd6f9649,dev_19557da8d6b5,sess_d3cf6bbf0362,198.51.100.189,US,US,digital_goods,credit_card,soft_decline,0.4386,0,,,,,atypical_benign
txn_2f0ba5d68203,2026-08-17T16:33:15.600000+00:00,69.54,INR,call_center,card,purchase,approved,cust_6c7ebe32c0ea,merch_912ab4b82912,dev_53e6ef5d9b4b,sess_2f0ba5d68203,203.0.113.151,SG,SG,financial_services,credit_card,approved,0.5751,1,social_ai_impersonation_001__campaign_baseline,social_engineering_payment_fraud,ai_impersonation,scn_01ba4092fa47,overt_fraud
txn_29bac5cd588f,2026-08-17T18:43:40.800000+00:00,24.04,EUR,call_center,card,purchase,approved,cust_6c7ebe32c0ea,merch_912ab4b82912,dev_53e6ef5d9b4b,sess_2f0ba5d68203,203.0.113.152,GB,GB,financial_services,credit_card,approved,0.4199,1,social_ai_impersonation_001__campaign_baseline,social_engineering_payment_fraud,ai_impersonation,scn_01ba4092fa47,overt_fraud
