transaction_id,amount,risk_score,event_hour,billing_shipping_mismatch,customer_transaction_count,merchant_transaction_count,device_transaction_count,session_transaction_count,ip_transaction_count,customer_txn_count_1h_prior,device_txn_count_1h_prior,customer_decline_count_24h_prior,customer_amount_mean_prior,customer_amount_deviation_ratio,minutes_since_customer_event,minutes_since_device_event,customer_account_age_days,customer_historical_decline_rate,customer_historical_spend_mean,merchant_age_days,merchant_refund_rate,merchant_chargeback_rate,merchant_volume_growth_rate,device_ip_reputation_score,device_first_seen_days_ago,device_failed_login_count,label,attack_bucket,attack_subtype,attack_id,scenario_id,simulation_segment,currency_code,channel_code,rail_code,transaction_type_code,status_code,billing_country_code,shipping_country_code,merchant_category_code,payment_method_type_code,auth_result_code
txn_db40dd6ac6b0,45.19,0.0691,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,1440.0,1847.0,0.066,150.76,4616.0,0.0275,0.0145,0.287,0.2059,488.0,0.0,0,,,,,routine_benign,4,2,0,0,0,0,0,5,1,0
txn_8e9bbd6f9649,28.58,0.1991,0,0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,45.19,0.3676,4.0,4.0,1847.0,0.066,150.76,1316.0,0.0159,0.0033,0.2514,0.2059,488.0,0.0,0,,,,,routine_benign,1,3,0,0,0,4,4,3,0,0
txn_4630543833df,44.14,0.1613,0,1,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,36.885,0.1967,18.0,18.0,1847.0,0.066,150.76,4071.0,0.0216,0.0076,0.0293,0.2059,488.0,0.0,0,,,,,atypical_benign,2,1,2,0,0,0,5,4,3,0
txn_19557da8d6b5,9.25,0.03,1,0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,39.3033,0.7647,38.0,38.0,1847.0,0.066,150.76,2776.0,0.0061,0.0138,0.0988,0.2059,488.0,0.0,0,,,,,routine_benign,0,3,2,0,0,5,5,0,2,0
txn_36f0d6e66df0,16.39,0.3144,1,0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,39.82,0.5884,39.0,24.0,1493.0,0.0443,211.62,1241.0,0.0496,0.0125,0.1883,0.2059,488.0,0.0,0,,,,,routine_benign,3,2,0,0,0,3,3,3,0,0
txn_05ac045f73fd,39.82,0.1564,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,1440.0,1493.0,0.0443,211.62,1672.0,0.074,0.0137,0.3372,0.1058,870.0,0.0,0,,,,,routine_benign,2,3,1,0,0,2,2,6,0,0
txn_be8a71877ba7,50.94,0.143,2,0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,29.02,0.7553,5.0,5.0,1493.0,0.0443,211.62,4374.0,0.0174,0.0014,0.2028,0.1058,870.0,0.0,0,,,,,routine_benign,3,3,0,0,0,1,1,5,0,0
txn_7e924e1464c3,30.85,0.1054,2,0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,28.105,0.0977,49.0,88.0,1493.0,0.0443,211.62,747.0,0.0326,0.0141,0.2911,0.1058,870.0,0.0,0,,,,,routine_benign,0,1,2,0,0,2,2,3,1,0
txn_862d69330a80,466.22,0.2914,2,0,2.0,0.0,4.0,0.0,0.0,2.0,3.0,0.0,18.91,23.6547,8.0,8.0,672.0,0.0084,62.08,3359.0,0.0438,0.0056,0.1182,0.1058,870.0,0.0,0,,,,,atypical_benign,3,4,1,0,0,2,2,2,1,0
txn_eb83195947e6,19.41,0.105,2,0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,18.41,0.0543,12.0,6.0,672.0,0.0084,62.08,2262.0,0.0166,0.0129,0.1795,0.1058,870.0,0.0,0,,,,,routine_benign,3,4,2,0,0,0,0,6,1,0
