transaction_id,event_time,amount,currency,channel,rail,transaction_type,status,customer_id,merchant_id,device_id,session_id,ip_address,billing_country,shipping_country,merchant_category,payment_method_type,auth_result,risk_score,label,attack_id,attack_bucket,attack_subtype,scenario_id,simulation_segment
txn_bfe94c6c439b,2026-08-17T00:00:00+00:00,21.59,SGD,ecommerce,p2p,purchase,approved,cust_bfe94c6c439b,merch_bfe94c6c439b,dev_bfe94c6c439b,sess_bfe94c6c439b,198.51.100.223,IN,IN,marketplace,bank_account,approved,0.0886,0,,,,,routine_benign
txn_92cb2908a5e7,2026-08-17T00:22:00+00:00,14.47,USD,marketplace,wallet,purchase,approved,cust_bfe94c6c439b,merch_92cb2908a5e7,dev_bfe94c6c439b,sess_92cb2908a5e7,198.51.100.120,SG,SG,travel,bank_account,approved,0.2406,0,,,,,routine_benign
txn_3b6eaba02b03,2026-08-17T00:20:00+00:00,12.85,GBP,mobile_app,card,purchase,approved,cust_bfe94c6c439b,merch_3b6eaba02b03,dev_bfe94c6c439b,sess_3b6eaba02b03,198.51.100.121,US,US,electronics,debit_card,approved,0.1307,0,,,,,routine_benign
txn_8d694a926c2f,2026-08-17T01:12:00+00:00,31.73,USD,wallet,card,purchase,approved,cust_bfe94c6c439b,merch_8d694a926c2f,dev_bfe94c6c439b,sess_8d694a926c2f,198.51.100.6,AE,AE,digital_goods,credit_card,approved,0.048,0,,,,,routine_benign
txn_511183e27042,2026-08-17T01:40:00+00:00,46.57,EUR,wallet,p2p,purchase,approved,cust_92cb2908a5e7,merch_511183e27042,dev_bfe94c6c439b,sess_511183e27042,198.51.100.78,SG,SG,financial_services,credit_card,approved,0.1114,0,,,,,routine_benign
txn_e2bcc5619cf6,2026-08-17T00:15:00+00:00,28.1,SGD,ecommerce,wallet,purchase,approved,cust_92cb2908a5e7,merch_e2bcc5619cf6,dev_92cb2908a5e7,sess_e2bcc5619cf6,198.51.100.132,IN,IN,marketplace,debit_card,approved,0.2331,0,,,,,routine_benign
txn_56530764f419,2026-08-17T01:18:00+00:00,22.72,USD,marketplace,card,purchase,approved,cust_92cb2908a5e7,merch_56530764f419,dev_92cb2908a5e7,sess_56530764f419,198.51.100.129,SG,SG,digital_goods,wallet,approved,0.0855,0,,,,,routine_benign
txn_88f4a7ea9511,2026-08-17T02:55:00+00:00,50.94,SGD,marketplace,card,purchase,approved,cust_92cb2908a5e7,merch_88f4a7ea9511,dev_92cb2908a5e7,sess_88f4a7ea9511,198.51.100.66,GB,GB,travel,credit_card,approved,0.2939,0,,,,,routine_benign
txn_b14ca2c27d58,2026-08-17T02:56:00+00:00,99.06,USD,mobile_app,wallet,purchase,approved,cust_3b6eaba02b03,merch_b14ca2c27d58,dev_92cb2908a5e7,sess_b14ca2c27d58,198.51.100.89,SG,SG,digital_goods,bank_account,approved,0.1549,0,,,,,routine_benign
txn_a118418e1bd7,2026-08-17T03:45:00+00:00,29.92,USD,marketplace,wallet,purchase,approved,cust_3b6eaba02b03,merch_a118418e1bd7,dev_92cb2908a5e7,sess_a118418e1bd7,198.51.100.149,SG,SG,gift_cards,bank_account,approved,0.4979,0,,,,,atypical_benign
txn_e59af2239acd,2026-08-17T01:50:00+00:00,8.64,USD,wallet,wallet,purchase,approved,cust_3b6eaba02b03,merch_e59af2239acd,dev_3b6eaba02b03,sess_e59af2239acd,198.51.100.141,DE,DE,marketplace,wallet,approved,0.1439,0,,,,,routine_benign
txn_dad2f8c78c32,2026-08-17T03:07:00+00:00,14.74,EUR,mobile_app,card,purchase,approved,cust_3b6eaba02b03,merch_dad2f8c78c32,dev_3b6eaba02b03,sess_dad2f8c78c32,198.51.100.18,IN,IN,retail,credit_card,approved,0.1965,0,,,,,routine_benign
txn_bd0fb10a3067,2026-08-17T05:00:00+00:00,22.6,SGD,ecommerce,wallet,purchase,approved,cust_8d694a926c2f,merch_bd0fb10a3067,dev_3b6eaba02b03,sess_bd0fb10a3067,198.51.100.201,AE,AE,marketplace,debit_card,approved,0.551,0,,,,,atypical_benign
txn_69c6bd65c46c,2026-08-17T00:39:00+00:00,57.01,EUR,wallet,card,purchase,approved,cust_8d694a926c2f,merch_69c6bd65c46c,dev_3b6eaba02b03,sess_69c6bd65c46c,198.51.100.233,GB,GB,electronics,debit_card,approved,0.1946,0,,,,,routine_benign
txn_82a4ef88910e,2026-08-17T05:22:00+00:00,37.15,USD,wallet,card,purchase,approved,cust_8d694a926c2f,merch_82a4ef88910e,dev_3b6eaba02b03,sess_82a4ef88910e,198.51.100.94,DE,DE,electronics,wallet,approved,0.173,0,,,,,routine_benign
txn_e41b60e844dd,2026-08-17T03:15:00+00:00,65.85,USD,mobile_app,wallet,purchase,approved,cust_8d694a926c2f,merch_e41b60e844dd,dev_8d694a926c2f,sess_e41b60e844dd,198.51.100.164,DE,DE,travel,credit_card,approved,0.1399,0,,,,,routine_benign
txn_48195ba0a0d4,2026-08-17T05:20:00+00:00,112.39,SGD,wallet,p2p,purchase,approved,cust_511183e27042,merch_48195ba0a0d4,dev_8d694a926c2f,sess_48195ba0a0d4,198.51.100.40,SG,SG,travel,credit_card,approved,0.2392,0,,,,,routine_benign
txn_cdb6a6e1bc12,2026-08-17T07:05:00+00:00,23.91,INR,mobile_app,wallet,purchase,approved,cust_511183e27042,merch_cdb6a6e1bc12,dev_8d694a926c2f,sess_cdb6a6e1bc12,198.51.100.108,AE,AE,gift_cards,debit_card,approved,0.1676,0,,,,,routine_benign
txn_afcb1559c9e9,2026-08-17T06:00:00+00:00,61.1,USD,marketplace,p2p,purchase,approved,cust_511183e27042,merch_bfe94c6c439b,dev_8d694a926c2f,sess_afcb1559c9e9,198.51.100.222,DE,DE,retail,credit_card,approved,0.3111,0,,,,,routine_benign
txn_24132df95999,2026-08-17T02:13:00+00:00,9.11,SGD,ecommerce,wallet,purchase,approved,cust_511183e27042,merch_92cb2908a5e7,dev_8d694a926c2f,sess_24132df95999,198.51.100.250,DE,DE,digital_goods,bank_account,approved,0.302,0,,,,,routine_benign
