customer_id,age_band,tenure_days,account_age_days,home_country,email_domain,phone_type,kyc_level,historical_spend_mean,historical_spend_std,historical_decline_rate
cust_bfe94c6c439b,26-35,1640,2522,IN,outlook.com,mobile,high,182.72,39.39,0.0558
cust_92cb2908a5e7,26-35,1480,2426,SG,outlook.com,mobile,high,67.57,27.52,0.0275
cust_3b6eaba02b03,36-50,1478,2597,SG,company.example,mobile,high,26.96,6.51,0.0603
cust_8d694a926c2f,51-65,1671,1093,AE,gmail.com,mobile,high,139.03,36.41,0.0425
cust_511183e27042,18-25,834,740,SG,outlook.com,mobile,medium,279.2,28.63,0.0315
cust_e2bcc5619cf6,18-25,266,2665,GB,outlook.com,mobile,medium,265.29,18.91,0.0239
cust_56530764f419,51-65,1781,2875,GB,company.example,mobile,medium,72.86,17.83,0.0103
cust_88f4a7ea9511,18-25,2462,1504,SG,gmail.com,mobile,high,49.15,28.25,0.0635
cust_b14ca2c27d58,36-50,2939,499,AE,gmail.com,mobile,medium,82.66,40.71,0.0137
cust_a118418e1bd7,51-65,236,1084,SG,gmail.com,mobile,high,196.53,49.76,0.0617
cust_e59af2239acd,26-35,1110,1103,US,gmail.com,mobile,high,66.07,43.06,0.0289
cust_dad2f8c78c32,51-65,938,2664,AE,gmail.com,mobile,high,201.79,19.66,0.0246
cust_bd0fb10a3067,26-35,2000,649,SG,company.example,mobile,high,150.1,22.52,0.0053
cust_69c6bd65c46c,36-50,1614,1928,DE,gmail.com,mobile,medium,189.36,54.45,0.0169
cust_82a4ef88910e,18-25,439,2335,IN,gmail.com,mobile,medium,193.28,22.22,0.0065
cust_e41b60e844dd,18-25,2792,1624,AE,company.example,mobile,medium,277.13,54.71,0.0104
cust_48195ba0a0d4,26-35,2086,534,IN,company.example,mobile,medium,109.12,48.84,0.0438
cust_cdb6a6e1bc12,51-65,472,559,GB,gmail.com,mobile,medium,212.55,42.8,0.0303
cust_afcb1559c9e9,51-65,565,1852,GB,outlook.com,mobile,medium,249.33,29.58,0.0467
cust_24132df95999,18-25,190,2036,IN,company.example,mobile,high,278.12,57.63,0.0552
cust_d4ce90e141fd,26-35,2376,389,DE,company.example,mobile,high,78.2,7.59,0.0501
cust_adcb990aacb2,26-35,1398,615,DE,gmail.com,mobile,medium,94.95,15.3,0.006
cust_cb30fa0de169,36-50,991,1523,DE,gmail.com,mobile,high,205.22,16.24,0.024
cust_b1d0009b145f,36-50,1899,2910,IN,gmail.com,mobile,high,234.61,48.61,0.0757
cust_b54cfaf1a77d,26-35,2640,787,GB,gmail.com,mobile,high,81.82,35.86,0.0698
cust_9c2ba4b5dc67,26-35,1259,2984,US,company.example,mobile,high,151.62,60.49,0.0589
cust_38c229b75b8c,36-50,2495,2984,GB,company.example,mobile,high,54.18,28.87,0.022
cust_2ad27a93b832,26-35,78,586,US,gmail.com,mobile,medium,49.12,36.58,0.0161
cust_e1b6a32782b5,51-65,2680,2620,DE,outlook.com,mobile,medium,90.77,57.33,0.0462
cust_bd7d54bcdbd8,26-35,2243,2088,DE,outlook.com,mobile,high,145.41,35.69,0.0682
cust_66f21a3f7fad,36-50,2494,2199,AE,outlook.com,mobile,high,200.09,17.88,0.0774
cust_0e819f994919,51-65,2852,2416,DE,outlook.com,mobile,medium,242.42,34.87,0.0695
cust_0d43348b5dcd,18-25,154,577,US,company.example,mobile,high,77.3,11.41,0.0361
cust_514d04cfee34,26-35,1214,1390,SG,gmail.com,mobile,medium,132.57,15.35,0.0716
cust_7d9beb629c33,36-50,2930,2458,DE,outlook.com,mobile,medium,175.95,18.73,0.0145
cust_647bb2cf8744,18-25,1161,1805,US,gmail.com,mobile,medium,58.74,25.51,0.0025
cust_a97bc4d8dc46,36-50,1250,2551,AE,gmail.com,mobile,high,76.63,62.01,0.0325
cust_0be016d32a6f,51-65,1792,477,US,outlook.com,mobile,medium,76.37,18.4,0.0618
cust_021214af5608,18-25,1152,2570,AE,company.example,mobile,high,132.42,36.03,0.0669
cust_45a2c701897f,36-50,1389,1937,AE,gmail.com,mobile,high,246.89,27.36,0.0194
cust_5fb8d79233bc,51-65,2146,2633,DE,company.example,mobile,medium,107.37,38.29,0.0415
cust_3c678bd1e6a1,26-35,253,2119,SG,company.example,mobile,medium,38.31,26.47,0.0556
cust_1bfee964b975,51-65,1945,1589,DE,company.example,mobile,high,136.41,46.16,0.0523
cust_5a31c13e3187,26-35,2190,112,AE,gmail.com,mobile,medium,113.15,64.89,0.0192
cust_3fa8fbffffb2,26-35,1881,1794,AE,outlook.com,mobile,high,138.07,6.09,0.0459
cust_8f343d723f44,36-50,2291,2667,SG,company.example,mobile,high,145.31,42.92,0.0795
cust_6a35467d1187,26-35,724,2825,US,outlook.com,mobile,medium,152.97,63.35,0.0624
cust_be73b40cb343,51-65,1534,318,SG,outlook.com,mobile,high,269.81,41.5,0.0534
cust_02554bd62c37,36-50,1148,662,IN,gmail.com,mobile,high,103.13,6.04,0.0709
cust_bb75329684d3,36-50,2287,2198,US,company.example,mobile,high,103.94,40.08,0.0492
cust_37ceeee564d4,26-35,459,148,DE,company.example,mobile,medium,96.46,52.84,0.1629
cust_20f260a321b7,51-65,802,325,GB,gmail.com,mobile,low,267.28,19.82,0.0978
cust_63c8e84c08f8,18-25,712,634,GB,gmail.com,mobile,low,185.29,8.88,0.1903
cust_feddd71ed9d1,51-65,141,2946,SG,gmail.com,mobile,low,167.0,47.34,0.0351
