device_id,session_id,browser_family,os_family,device_type,ip_country,ip_reputation_score,first_seen_days_ago,session_duration_seconds,failed_login_count
dev_bfe94c6c439b,sess_bfe94c6c439b,Safari,Windows,tablet,IN,0.1293,1210,1632,0
dev_92cb2908a5e7,sess_e2bcc5619cf6,Chrome,iOS,tablet,IN,0.2187,1298,259,0
dev_3b6eaba02b03,sess_e59af2239acd,Safari,Windows,mobile,DE,0.2133,1237,1359,1
dev_8d694a926c2f,sess_e41b60e844dd,Safari,Windows,tablet,DE,0.0353,697,424,0
dev_511183e27042,sess_d4ce90e141fd,Edge,iOS,tablet,GB,0.2142,512,164,0
dev_e2bcc5619cf6,sess_9c2ba4b5dc67,Firefox,iOS,desktop,SG,0.1914,1487,647,1
dev_56530764f419,sess_66f21a3f7fad,Safari,Windows,desktop,DE,0.2252,246,1780,0
dev_88f4a7ea9511,sess_647bb2cf8744,Firefox,Android,desktop,US,0.1041,609,946,1
dev_b14ca2c27d58,sess_5fb8d79233bc,Chrome,Android,tablet,US,0.0917,1095,1731,0
dev_a118418e1bd7,sess_8f343d723f44,Safari,Windows,desktop,DE,0.2179,429,349,0
dev_e59af2239acd,sess_a93335b3161b,Edge,Windows,desktop,GB,0.0446,145,644,0
dev_dad2f8c78c32,sess_538e819bea67,Edge,macOS,mobile,US,0.1696,972,1049,0
dev_bd0fb10a3067,sess_b1b724fe5639,Safari,Android,desktop,AE,0.1254,1194,1194,0
dev_69c6bd65c46c,sess_ea9e5bfc2332,Firefox,Windows,desktop,GB,0.081,196,544,0
dev_82a4ef88910e,sess_5990bfe9d5b2,Safari,Windows,desktop,IN,0.1015,42,1341,1
dev_e41b60e844dd,sess_c48f5216c759,Firefox,macOS,tablet,GB,0.0706,1159,1745,0
dev_48195ba0a0d4,sess_1a0580abfe31,Safari,iOS,mobile,DE,0.218,1333,122,1
dev_cdb6a6e1bc12,sess_f75903d065ec,Safari,macOS,mobile,IN,0.0339,551,1467,0
dev_afcb1559c9e9,sess_4044646a99f2,Firefox,iOS,desktop,SG,0.0669,788,1347,1
dev_24132df95999,sess_49e71e0f3e65,Edge,Windows,tablet,DE,0.1736,1461,1530,1
dev_d4ce90e141fd,sess_c2f370ed4f58,Safari,Windows,tablet,US,0.2332,483,1645,1
dev_adcb990aacb2,sess_22dcff59197d,Safari,Android,tablet,IN,0.2457,1361,100,0
dev_cb30fa0de169,sess_eaa1bbb34701,Edge,Windows,mobile,US,0.1444,1450,701,1
dev_b1d0009b145f,sess_57634c0c35f3,Firefox,iOS,desktop,GB,0.1724,1176,1747,0
dev_b54cfaf1a77d,sess_34366d1d4327,Chrome,Windows,desktop,AE,0.1642,926,576,0
dev_9c2ba4b5dc67,sess_03ddc1eee0b9,Firefox,Android,mobile,DE,0.1347,122,581,0
dev_38c229b75b8c,sess_f54beb5a48af,Edge,Android,desktop,AE,0.1878,147,1777,0
dev_2ad27a93b832,sess_4665d749fe90,Safari,Android,mobile,GB,0.1547,325,1098,1
dev_e1b6a32782b5,sess_1eeb7284355f,Safari,Android,desktop,US,0.1043,1317,661,0
dev_bd7d54bcdbd8,sess_754bfa29dfc8,Firefox,iOS,tablet,SG,0.2041,636,1644,0
dev_66f21a3f7fad,sess_e9ad3182655a,Safari,Windows,tablet,SG,0.0282,1175,1456,1
dev_0e819f994919,sess_43f9d0db71e9,Chrome,iOS,desktop,US,0.0669,1427,365,1
dev_0d43348b5dcd,sess_e5fa40c9bc6a,Firefox,iOS,desktop,DE,0.1626,1440,655,1
dev_514d04cfee34,sess_9e7c4084fbbd,Edge,Windows,tablet,SG,0.0592,670,1419,0
dev_7d9beb629c33,sess_36412c107761,Safari,Windows,desktop,DE,0.0826,54,1388,0
dev_647bb2cf8744,sess_ca2963d1218c,Chrome,iOS,mobile,US,0.0257,257,542,0
dev_a97bc4d8dc46,sess_213399379760,Chrome,iOS,desktop,SG,0.0559,553,1521,0
dev_0be016d32a6f,sess_e071acd231e3,Chrome,Android,desktop,IN,0.1473,329,870,1
dev_021214af5608,sess_210d4dd0fde8,Safari,iOS,mobile,SG,0.0016,493,1741,0
dev_45a2c701897f,sess_77951ab55073,Chrome,Android,desktop,IN,0.1321,1133,242,1
dev_9d78f06e3ef6,sess_557e70153364,Safari,Android,desktop,GB,0.8129,105,519,1
dev_ddd09cac7f24,sess_a9073e6abe30,Edge,iOS,desktop,GB,0.2278,107,587,3
dev_f2427573c38f,sess_4c01daa1099e,Edge,Linux,tablet,DE,0.5562,78,592,0
dev_1459652294a9,sess_7259762006cb,Chrome,Linux,desktop,DE,0.2407,217,281,0
