merchant_id,merchant_category,merchant_age_days,country,payout_account_age_days,refund_rate,chargeback_rate,average_ticket_size,volume_growth_rate,risk_tier
merch_bfe94c6c439b,gift_cards,1778,IN,2312,0.0566,0.0058,64.27,0.1487,low
merch_92cb2908a5e7,electronics,120,SG,1418,0.0678,0.0043,148.88,0.1781,medium
merch_3b6eaba02b03,retail,2617,US,2532,0.075,0.0062,219.5,0.2081,low
merch_8d694a926c2f,gift_cards,2377,AE,1928,0.0442,0.0108,142.18,0.2707,medium
merch_511183e27042,financial_services,4064,SG,1219,0.0167,0.0099,76.75,0.1492,medium
merch_e2bcc5619cf6,retail,4662,IN,2703,0.0104,0.0103,76.76,0.143,low
merch_56530764f419,marketplace,4560,SG,1690,0.02,0.0138,204.59,0.1861,medium
merch_88f4a7ea9511,marketplace,4271,GB,3541,0.0147,0.0049,187.3,0.0546,low
merch_b14ca2c27d58,gift_cards,387,SG,2613,0.0134,0.0034,167.0,0.2005,low
merch_a118418e1bd7,gift_cards,2209,SG,1541,0.0528,0.0077,171.19,0.1486,low
merch_e59af2239acd,financial_services,3498,DE,2994,0.0196,0.0118,21.39,0.3356,low
merch_dad2f8c78c32,gift_cards,1154,IN,2782,0.0206,0.0065,128.39,0.0163,low
merch_bd0fb10a3067,gift_cards,2774,AE,3722,0.0263,0.002,132.95,0.2147,medium
merch_69c6bd65c46c,gift_cards,1005,GB,3327,0.075,0.0127,48.62,0.095,low
merch_82a4ef88910e,digital_goods,1582,DE,1617,0.0269,0.0128,81.96,0.1192,medium
merch_e41b60e844dd,retail,2446,DE,603,0.0182,0.0129,91.04,0.0251,medium
merch_48195ba0a0d4,marketplace,2175,SG,2438,0.0683,0.0117,51.36,0.2308,low
merch_cdb6a6e1bc12,gift_cards,1550,AE,2690,0.0458,0.0127,84.12,0.3338,low
merch_111b5108588e,gift_cards,709,IN,145,0.2053,0.0719,568.55,0.5976,low
merch_b3ffe4df376f,gift_cards,651,US,327,0.0597,0.0789,473.0,1.1912,medium
merch_5c49012372ea,gift_cards,471,AE,286,0.0654,0.0682,107.02,0.7423,low
merch_5768648dae30,gift_cards,2456,GB,766,0.0331,0.0127,93.92,0.2272,low
