transaction_id,amount,risk_score,event_hour,billing_shipping_mismatch,customer_transaction_count,merchant_transaction_count,device_transaction_count,session_transaction_count,ip_transaction_count,customer_txn_count_1h_prior,device_txn_count_1h_prior,customer_decline_count_24h_prior,customer_amount_mean_prior,customer_amount_deviation_ratio,minutes_since_customer_event,minutes_since_device_event,customer_account_age_days,customer_historical_decline_rate,customer_historical_spend_mean,merchant_age_days,merchant_refund_rate,merchant_chargeback_rate,merchant_volume_growth_rate,device_ip_reputation_score,device_first_seen_days_ago,device_failed_login_count,label,attack_bucket,attack_subtype,attack_id,scenario_id,simulation_segment,currency_code,channel_code,rail_code,transaction_type_code,status_code,billing_country_code,shipping_country_code,merchant_category_code,payment_method_type_code,auth_result_code
txn_bfe94c6c439b,21.59,0.0886,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,1440.0,2522.0,0.0558,182.72,1778.0,0.0566,0.0058,0.1487,0.1293,1210.0,0.0,0,,,,,routine_benign,3,0,1,0,0,3,3,4,0,0
txn_92cb2908a5e7,14.47,0.2406,0,0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,17.22,0.1597,2.0,2.0,2522.0,0.0558,182.72,120.0,0.0678,0.0043,0.1781,0.1293,1210.0,0.0,0,,,,,routine_benign,4,1,2,0,0,4,4,6,0,0
txn_3b6eaba02b03,12.85,0.1307,0,0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,21.59,0.4048,20.0,20.0,2522.0,0.0558,182.72,2617.0,0.075,0.0062,0.2081,0.1293,1210.0,0.0,0,,,,,routine_benign,1,2,0,0,0,5,5,1,2,0
txn_8d694a926c2f,31.73,0.048,1,0,3.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,16.3033,0.9462,50.0,50.0,2522.0,0.0558,182.72,2377.0,0.0442,0.0108,0.2707,0.1293,1210.0,0.0,0,,,,,routine_benign,4,3,0,0,0,0,0,0,1,0
txn_511183e27042,46.57,0.1114,1,0,2.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,25.41,0.8327,22.0,28.0,2426.0,0.0275,67.57,4064.0,0.0167,0.0099,0.1492,0.1293,1210.0,0.0,0,,,,,routine_benign,0,3,1,0,0,4,4,2,1,0
txn_e2bcc5619cf6,28.1,0.2331,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,1440.0,2426.0,0.0275,67.57,4662.0,0.0104,0.0103,0.143,0.2187,1298.0,0.0,0,,,,,routine_benign,3,0,2,0,0,3,3,4,2,0
txn_56530764f419,22.72,0.0855,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.1,0.1915,63.0,63.0,2426.0,0.0275,67.57,4560.0,0.02,0.0138,0.1861,0.2187,1298.0,0.0,0,,,,,routine_benign,4,1,0,0,0,4,4,0,3,0
txn_88f4a7ea9511,50.94,0.2939,2,0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,32.4633,0.5692,75.0,97.0,2426.0,0.0275,67.57,4271.0,0.0147,0.0049,0.0546,0.2187,1298.0,0.0,0,,,,,routine_benign,3,1,0,0,0,2,2,6,1,0
txn_b14ca2c27d58,99.06,0.1549,2,0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,8.64,10.4653,66.0,1.0,2597.0,0.0603,26.96,387.0,0.0134,0.0034,0.2005,0.2187,1298.0,0.0,0,,,,,routine_benign,4,2,2,0,0,4,4,0,0,0
txn_a118418e1bd7,29.92,0.4979,3,0,3.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,40.8133,0.2669,38.0,49.0,2597.0,0.0603,26.96,2209.0,0.0528,0.0077,0.1486,0.2187,1298.0,0.0,0,,,,,atypical_benign,4,1,2,0,0,4,4,3,0,0
