transaction_id,event_time,amount,currency,channel,rail,transaction_type,status,customer_id,merchant_id,device_id,session_id,ip_address,billing_country,shipping_country,merchant_category,payment_method_type,auth_result,risk_score,label,attack_id,attack_bucket,attack_subtype,scenario_id
txn_f5142e8ab368,2026-08-17T00:00:00+00:00,17.8,GBP,mobile_app,p2p,purchase,approved,cust_f5142e8ab368,merch_f5142e8ab368,dev_f5142e8ab368,sess_f5142e8ab368,198.51.100.137,US,US,gift_cards,wallet,approved,0.2542,0,,,,
txn_10449be37726,2026-08-17T00:22:00+00:00,83.57,USD,ecommerce,card,purchase,approved,cust_f5142e8ab368,merch_10449be37726,dev_f5142e8ab368,sess_10449be37726,198.51.100.98,AE,AE,gift_cards,bank_account,approved,0.1736,0,,,,
txn_26d576d350fd,2026-08-17T00:36:00+00:00,6.66,USD,mobile_app,card,purchase,approved,cust_f5142e8ab368,merch_26d576d350fd,dev_f5142e8ab368,sess_26d576d350fd,198.51.100.196,GB,GB,gift_cards,wallet,approved,0.1237,0,,,,
txn_1e336c972dc2,2026-08-17T00:24:00+00:00,23.54,SGD,marketplace,card,purchase,approved,cust_f5142e8ab368,merch_1e336c972dc2,dev_f5142e8ab368,sess_1e336c972dc2,198.51.100.60,GB,GB,retail,wallet,approved,0.1055,0,,,,
txn_379e585fbbf9,2026-08-17T01:04:00+00:00,31.57,INR,mobile_app,card,purchase,approved,cust_10449be37726,merch_379e585fbbf9,dev_f5142e8ab368,sess_379e585fbbf9,198.51.100.99,AE,AE,retail,debit_card,approved,0.1598,0,,,,
txn_4e6870abfd29,2026-08-17T00:50:00+00:00,176.65,USD,marketplace,p2p,purchase,approved,cust_10449be37726,merch_4e6870abfd29,dev_10449be37726,sess_4e6870abfd29,198.51.100.211,DE,DE,retail,debit_card,approved,0.0894,0,,,,
txn_c206a31ff7e0,2026-08-17T00:24:00+00:00,23.87,EUR,wallet,wallet,purchase,approved,cust_10449be37726,merch_c206a31ff7e0,dev_10449be37726,sess_c206a31ff7e0,198.51.100.252,SG,SG,travel,debit_card,approved,0.1175,0,,,,
txn_f1e98d17caf5,2026-08-17T01:31:00+00:00,15.42,USD,wallet,p2p,purchase,approved,cust_10449be37726,merch_f1e98d17caf5,dev_10449be37726,sess_f1e98d17caf5,198.51.100.72,AE,AE,electronics,debit_card,approved,0.2063,0,,,,
txn_2f98a4660c29,2026-08-17T01:44:00+00:00,20.36,EUR,marketplace,p2p,purchase,approved,cust_26d576d350fd,merch_2f98a4660c29,dev_10449be37726,sess_2f98a4660c29,198.51.100.240,GB,GB,travel,bank_account,approved,0.1306,0,,,,
txn_ecc107c778b7,2026-08-17T01:30:00+00:00,64.66,INR,wallet,p2p,purchase,approved,cust_26d576d350fd,merch_ecc107c778b7,dev_10449be37726,sess_ecc107c778b7,198.51.100.51,GB,GB,retail,wallet,approved,0.1753,0,,,,
