attack_instance_id,scenario_id,attack_id,bucket,subtype,scenario_seed,attack_intensity,stealth_level,generated_record_ids
atk_f6d83954da06,scn_cd5d0590e337,cred_card_testing_001,credential_based_fraud,card_testing,43,0.7329,0.2193,"txn_1a34a0ed4519,txn_8a2da62ee93f,txn_59e9c52190e4,txn_8af76d79bf81,txn_bc6c0b3cdc27,txn_a7dade80d898,txn_482c1aaeface,txn_761c4d118d8f,txn_cbca7333e354,txn_d533aecb9db8,txn_c5cfce0d67f5,txn_63290486ea07,txn_14c3567bcbaa,txn_cdb88df7983b,txn_8b7c09cdc7a6,txn_c7847fa0f8a9,txn_dd8b7a2fd4ff,txn_87ccfe9dff78,txn_b37e1e7b01b4,txn_17fcf2e2ae16,txn_8b021f9f4011,txn_d2c3b122f9fa,txn_b7d4787779a8,txn_fe2404149924,txn_e72a9efe213e,txn_d03dbd834b37,txn_63cb59a2a608,txn_a44baaaa09a7,txn_07625aadbeab,txn_88f86ac35116,txn_bb3852cbad9b,txn_c2aa8638d565,txn_af606cdb21c3,txn_c67ac0fc95f6,txn_b3b28b3a50be,txn_17afc5b832e0,txn_9decf03eacf3,txn_8c8a9a0c92a3,txn_e8c916153cde,txn_eb6ca088b518,txn_801dea3c420b,txn_21f454376feb,txn_a6f35b19a925,txn_7188259c2b24,txn_aef3cb5a9a7c,txn_d1d2b16b68d7,txn_61d8f02a73cd,txn_3c567609744e,txn_e9d4a7706fd8,txn_4b6fc54fca3f,txn_42ca1a1f1e1d,txn_1ebbb5f91b54,txn_aff70e84161d,txn_3da01216340a,txn_a505014cb63c,txn_8009bce6e017,txn_eb390b75884b,txn_2817e6899d2e,txn_43ebcd7fa9d8,txn_5a3556abb73c,txn_24fbb633ba26,txn_e952fde007c8,txn_29530a301c25,txn_52af64c6abd0,txn_3ecf4b025be5,txn_37a8134178e0,txn_375ae7f5d2c0,txn_dd0dcf906d51,txn_507808490b4b,txn_24c83172fffc,txn_310c27d7f024,txn_4e5e5084c837,txn_65d078503efe,txn_bbe6ab9c1706,txn_7e888936fb38,txn_b53180e378cb,txn_2f1ed3fe4a00,txn_7850869c063a,txn_5758ed94421b,txn_24cae688f237,txn_9e9fbd36637c,txn_775b59beea3e,txn_48a8f421462c,txn_98af2a5ad9a9,txn_fa75bfbd4afe,txn_97604382a2ed,txn_bfab619efcba,txn_574690722c65,txn_5f1f7416ae02,txn_21e78bd008f1,txn_b906e462a9b4,txn_c92ff812c105,txn_458d40199783,txn_f2ad6820716f,txn_4997985c882e,txn_c87658e57552,txn_cad56bbf90dc,txn_4cff833292c5,txn_8db4c0fdccdc,txn_b468ad8b9a9d,txn_949ccb10becc,txn_e459b410946f,txn_30275eea1c54,txn_42404bfdc118,txn_ac4952a6b5e1,txn_663913554702,txn_bf8283b2612c,txn_adbfef504e81,txn_b8a5bc6309c6,txn_fc49b402ee17,txn_63c98526d85d,txn_36604ea1648b,txn_1e87ab907d5b,txn_d2c575d47959,txn_9466853907d5,txn_28511ea6c398,txn_c3986d25a519,txn_e1c90a2c33dc,txn_49861954bb40,txn_ec46021a83a6,txn_cb8068de6f3f,txn_260ed64b5f03,txn_9facb570cbd1,txn_dedeb77401a3,txn_1fd202d2c04e,txn_b70831d231c0,txn_5d7435605b8b,txn_e9d5f965eb41,txn_51558975b2fb,txn_e67e8d6919d7,txn_1c510b81e8ca,txn_91a310c13d70,txn_ed1347dac57d,txn_0cd07602c009,txn_68b5f48cb907,txn_3e45a7559f21,txn_c00fc19d2872,txn_39e5f81c8b82,txn_2e815f7b9ed1,txn_6a1c759b3ddd,txn_4c6f4354c167,txn_b8abbdf7bb5a,txn_18968f3bff52,txn_c488a3961488,txn_726f6c4270ad,txn_cd7be85e8ba1,txn_8eb171126c25,txn_28e29a52fec9,txn_dbcb9a95c60b,txn_234d6d917e7f,txn_1d92e5315d20,txn_9edce0dc98d1"
atk_f8d7787568f8,scn_ea48d6ae298b,cred_cnp_001,credential_based_fraud,card_not_present,44,0.6481,0.5634,"txn_e7edd446ec45,txn_88c7a3d0477c,txn_8ff08384f995,txn_4f03a2c9513a,txn_b5a3d726d13a,txn_c9e3c5ccc59b,txn_88de0ebed673,txn_e5f19c92bbb6,txn_cc60fb127408,txn_886ed60dc1ad,txn_0fb601e3a0cd,txn_24941f9b3f86,txn_9279c7a7dcac,txn_4f5ea35423c7,txn_de131e4054c2,txn_6a98c6b9a5ab,txn_f31bc1ab2087,txn_00eb42d5868f,txn_a0223d7824d6,txn_86de104cdfa5,txn_1fabf809f4e3,txn_960ee35d26cf,txn_faaaca9faec6,txn_5bd8864a0f6f,txn_f257bd560d8f,txn_8e10beab34ae,txn_ae9b051045a8,txn_cc7dc3fe110c"
atk_21ffcb9bc880,scn_7ff3869dd6af,cred_consumer_ato_001,credential_based_fraud,consumer_account_takeover,45,0.6184,0.5588,"txn_b3e877d2a891,txn_b7776fbf4f8c,txn_26aafc98443c,txn_c5da4bf9a91d,txn_db5148d3f091,txn_e7063ee676c7,txn_0c2a4f98b18a,txn_734be7a4d59f,txn_d142bb285d2d,txn_6ebdc1ec1aeb,txn_49b21fdf8026,txn_c61eac898cb8,txn_104f7a51905a,txn_fe0244d7ec12,txn_9ea1ad1dd45a,txn_7dcc11d52fd4,txn_9186130a06e2"
atk_f6b4b6f8fef2,scn_390a50bed078,cred_merchant_admin_ato_001,credential_based_fraud,merchant_admin_takeover,46,0.57,0.8553,"txn_a6054aaed53a,txn_65b95c5718a1,txn_8cec9e6d7116,txn_d9424fa10353,txn_b5080582c05b,txn_d45feab1613f,txn_21edf0556077"
atk_f4d91daaec49,scn_07520de4656d,cred_stuffing_001,credential_based_fraud,credential_stuffing,47,0.5866,0.3935,"txn_1f0a51a55e15,txn_d81cb30301fe,txn_cb3436a710ee,txn_4b334e5eb3d9,txn_ee9e98d4e5b0,txn_745e2117b68b,txn_ddd65865caed,txn_894b09cebc98,txn_47d41b87779a,txn_0fc0d236a35e,txn_c83b727c9239,txn_2fd5eea456a6,txn_093887550c26,txn_d6d0a5bf0267,txn_87d4a9187f26,txn_b9aeee02e83a,txn_aacce49a1573,txn_a9db612af682,txn_9501f1f9afe8,txn_e07814ae43e0,txn_0ab6503da0d3,txn_4894ea43cfd6,txn_bf594a083196,txn_0c0811f6aba4,txn_1eb149304874,txn_badaa4e170ca,txn_34fddf4a4f65,txn_f1c1a89fad48,txn_418754a11270,txn_4067746686e9,txn_fbd791ef1fc4,txn_a757081567c9,txn_98d6532c45dd,txn_9f87f86e5c6b,txn_33132866d1cd,txn_7e5142d3b04f,txn_db449d81cec4,txn_29532cd50b23,txn_b3d334e98f38,txn_b0e59fe25f47,txn_d4ff0f75b707,txn_8bf418049adf,txn_2f8b3c50858b,txn_c4b5a3476dac,txn_18b3bbea6564,txn_de77b051ea7c,txn_3c90bbd0b8df,txn_68e2e7d9b804,txn_c3b24322b42b,txn_3caf604903e2,txn_b9212c715b3c,txn_3ca2ebe5ba3a,txn_ec3399592c5a,txn_50e4547619f2,txn_47088d407476,txn_42c08576c268,txn_2bc0db261588,txn_1861e7fdf5b7,txn_be53cec24928,txn_dff1a9e52426,txn_c6ef2cfe5e28,txn_49241ef9b828,txn_3fe4b27723f4,txn_2263ef690e8a,txn_21d10115566c,txn_f3a112b00f3b,txn_98d08b5b65dd,txn_7dff830010f1,txn_2157079946a4,txn_edfae3a1d6ba,txn_61f71a4a9295,txn_c03a71d814e6,txn_1c0ea78ed954,txn_b8e8531fd6fa,txn_e0d583513920,txn_d117c14cc21a,txn_0914d16dcfeb,txn_0927ad8dd69b,txn_3b30ead1b366,txn_bf4a8d1f5505,txn_ec7b607da36b,txn_b31a2a44dfa8,txn_b541a8d4c8ee,txn_5b4d5f8882c9,txn_90cf71193daa,txn_5c018d740689,txn_e44d904633ca,txn_afd101de25d3,txn_22e45310f949,txn_f166e4356626,txn_ffeec208d169,txn_d81d860e4907,txn_ff1b33095112,txn_e32c7b8e2c20,txn_ea4a5cf9ab48,txn_ed6805124268,txn_83805ed6202f,txn_92602b1669e3,txn_46b43eb949fa,txn_b8d6599a2a70,txn_bc736078d625,txn_eca17dcd3917,txn_706c0ff18cc9,txn_039f8d169541,txn_38726f7ea40e,txn_59458f358daf,txn_259f873546bf,txn_178a4a9ee65a,txn_833e11ef16ed,txn_e13800a6306e,txn_8070f04db536,txn_509989987415,txn_4a706f0089a9,txn_18e8606f2bc6,txn_47e2dc9d6596,txn_3fc7d33589f9,txn_3b9c9125f5a5,txn_02d69398687e,txn_8db11d06db84,txn_0e9f056b2061,txn_44b1cb2180f3,txn_62c38c2ba87f,txn_bf60aa956870,txn_a13391df5cb7,txn_6647b25694e0,txn_b7e5f36fd92a,txn_4388a20850ff,txn_58fe771996ee,txn_f9bd17bd4b92,txn_520feece8d7b,txn_ecaab97c0194,txn_c1374635e48d,txn_21f579087fef,txn_53bae623f435,txn_c42979403afc,txn_1fb52e1602d6,txn_295e86461a3d,txn_782dcafccad7,txn_db451c04d329,txn_47645acd6695,txn_00970b96a60e,txn_506ace01cbcf,txn_a47232ab53fb,txn_4aee7451a3ee,txn_b43a683299d1,txn_39b521b48034,txn_cab27af210c5,txn_15a9b3e078f5,txn_c6530eca407e,txn_917d08c6ee0e,txn_2585afcb9986,txn_ffa462f715e8,txn_190f45710562,txn_e0f12da8cb08,txn_9468d74d1d0f,txn_77a327dcae7c,txn_a03706505fcb,txn_177da42d9aba,txn_ea109f9953fa,txn_2eab842089f1,txn_35ea3ec009c2,txn_37bdebacdfd5,txn_e0e89992dbef,txn_c7c80078e596,txn_8bc1346e51c9,txn_fa36208da2cc,txn_2fce665a489c,txn_574f87feb492,txn_a96af77aa82c,txn_0abe065c83c0,txn_c6491d337414,txn_2037cb0e40d1,txn_e8addceddf83,txn_21b41652ceba,txn_fcd105026fcf,txn_0e14513ad5f1,txn_7e7131073c2e,txn_e145e53aba73,txn_196f5f06c91d,txn_2322b5c1cf66,txn_a26ad45e6ebe,txn_2a4cb731042e,txn_e0d42d9b1a23,txn_46dd039261c9,txn_5a4964bd150e,txn_b8adc6835568,txn_9ebb49f7082c,txn_63eac237b1d6,txn_f3060deb59af,txn_3f7dd26de006,txn_ae99e41cdab8,txn_ad54d08f598f,txn_0e3aaca3c9ab,txn_5b7f6164e8e3,txn_4fc1a9bd2f33,txn_19495e06dd3f,txn_0693346e2aa8,txn_83030cd70fa2,txn_29b9e136f2cb,txn_36ad486df348,txn_0490a6664e2c,txn_c1a7d9144356,txn_773b33637362,txn_c70f8885a46d,txn_d769e02b14a1,txn_00b4b04c80a6,txn_2883a4cbeed0,txn_889193231f00,txn_2d1e6572e5a9,txn_5dabe65e1078,txn_f67606b45e4d,txn_bb5ad5a8f467,txn_0bf7ff5a8c36,txn_8eb89eb9e9ab,txn_e284c7aed244,txn_79ba9c4a889f,txn_19a5dbbc8295,txn_9b5f37e1e3de,txn_4c7add657f2b,txn_b927121a6101,txn_b077a99ec88b,txn_4dd8bfcef8dc,txn_b1375e899b19,txn_fb6ba57aa649,txn_00983ba89014,txn_7ea4192c2fc7,txn_139a2f01cd8f,txn_8517cda206dc,txn_ebfa9cd8e66f,txn_920bb208695e,txn_89acd8ec98e0,txn_b95710eda619,txn_7c01d4c9dc04,txn_a40b348e3db6,txn_e856eeb34068,txn_3c9907df3302,txn_c19ebe28ec86,txn_87a389686d70,txn_654b528ca0cf,txn_0dfcb2154b79,txn_c83f1da9c6eb,txn_5305f82e2576,txn_11bea75f5f22,txn_83ade3193b46,txn_a367fcbb6531,txn_1b02033a55a2,txn_52680cdf972a,txn_55c544260c41,txn_5ebcc63ae9be,txn_289647d646e9,txn_ed954d3159a9,txn_581cab7a5b97,txn_e286a0913e3b,txn_7f9eeb0ffc3e,txn_4db453f1fe31,txn_79722e9d120c,txn_1df5412e1607,txn_e2317a077935,txn_7fe1b90199d3,txn_0da0e3cbbaa5,txn_a99194e4cfcd,txn_6bd9e1d20291,txn_a1b885d935d1,txn_134344284632,txn_170a3df55148,txn_36c50ba56e78,txn_95d5e5ba3f0d,txn_749d8493e2a8,txn_936edb21303a,txn_7525bb245070,txn_569aa74b71fd,txn_21a44c9649f2,txn_aa6a2b0cc92f,txn_1ddaa3e13d24,txn_6208f68c720e,txn_96803a5d892b,txn_e59c9ff14d51,txn_4fe7259da717,txn_2951c3ec3203,txn_fc5e8d3a5ed9,txn_6dfe00f325d3,txn_bd280f69998d,txn_1e5af9dd6df9,txn_fc2898674e54,txn_ce5c7feb257b,txn_e76a828be0a1,txn_70e9c4f29aba,txn_257ac5b8d2b5,txn_fcbad03cbc16,txn_8ce30d2e1a1d,txn_091d10c99263,txn_d7b68ea8f608,txn_35433d7aaef0,txn_0f3392d1c90c,txn_3ab5431b7a6d,txn_5c79a1606218,txn_a376c5fd6da2,txn_3d44802448a0,txn_11175f8292da,txn_fb3a05468eda,txn_9c09a1b1a986,txn_f19fb7759226,txn_764217c88639,txn_0da73765cad5,txn_ce3da3a90b7f,txn_a998ef64c198,txn_e6fd0ced0242,txn_f84c5c0e1ba4,txn_2f0a45f6fd37,txn_c546195a4275,txn_356e1c9121e5,txn_5f51b305d09c,txn_5760a3241719,txn_3354d10d6a95"
atk_f62f07d194c4,scn_dd537a6717b3,identity_fraud_merchant_001,identity_onboarding_fraud,fraudulent_merchant_onboarding,48,0.4225,0.6693,"txn_f77d0a6e1bc0,txn_73125d9495cd,txn_2274f337af1d,txn_2ade9adb87c1,txn_1fa902e12243,txn_cea496ad174f,txn_c4882daadf07,txn_37120ee32285,txn_478b1d79f48c,txn_019c0be1bfd5,txn_54ee73eb33d3,txn_346324012271,txn_b9873f9baa30,txn_7cbd0ff4842f,txn_55bb94b22e6e,txn_d2a9aaa01153,txn_48a71432ed18,txn_f82c33aeaf06,txn_a49866f63188,txn_5cc0eb755f6e,txn_c6fdc3bbf4db,txn_e43dc9018f5e,txn_11b09a21a121,txn_da401482be65,txn_956e8a51d269,txn_262b9c42ab92,txn_7b6697f80b33,txn_e75e5a7b42ed,txn_1c12098f706c,txn_f681c5e1bd8c"
atk_d81223db0040,scn_3493f4f0b1dc,identity_mule_account_001,identity_onboarding_fraud,mule_account_creation,49,0.5773,0.4301,"txn_070ee3c19047,txn_dfad93be2c87,txn_9e884ed7cfc4,txn_4f246e6af61e,txn_a8a80a21a3a4,txn_16ad81f8c163,txn_639a394bff87,txn_4d9608ae8537,txn_7465e55ea3ad,txn_ee7e0642a9ae,txn_6018c6aeff6e,txn_2399811c3d3b,txn_4dbd6513030f,txn_54f0c4f4cfcd,txn_5a70c9a77f2d,txn_aaccfbe460ac,txn_2760fc98805b,txn_535218fba9f4,txn_d285578e89fb,txn_2821ba9747f1,txn_f3aecbecebd5,txn_ffec79e814b4,txn_310b560e6d69,txn_0852831e150c,txn_7018eb2eba6e,txn_318e6824814e,txn_fe92c308e0a8,txn_1a873eb2dcee,txn_c693bb4ff865,txn_e195980dd9d1,txn_c3781f272185,txn_368759039f80,txn_a80daad4367d,txn_f9d6401eae0a,txn_e18dc534e1aa,txn_21bd7ec601bb,txn_7c5246dfab14,txn_d95dc9da5e3c,txn_3d624378e946,txn_4bcb2f41252e,txn_efaf6b550b28,txn_5152ef3fedb1,txn_2b8c398da1d2,txn_108906977778,txn_0a39749ab32f,txn_ae38dcb7d813,txn_fe3850561a32,txn_dae8d27f8d4a,txn_f8982353841a,txn_a96e95065a88"
atk_1d93ea7f3b74,scn_a375cb1c488b,identity_stolen_signup_001,identity_onboarding_fraud,stolen_identity_signup,50,0.4964,0.7241,"txn_791fbcf6e6ac,txn_4a2e266dc841,txn_f62129247038,txn_81bd2e2b3854,txn_a34a4ae1e2a2,txn_0cafca82124c,txn_c153ac36d88d,txn_28f64848ef75,txn_85017cf99e60,txn_875702854508,txn_31f4a0e15a75,txn_ca63fbc14f66,txn_d36a94755ad8,txn_bda51c0a7b47"
atk_9fdbed2ac56e,scn_8dd3d96e41ad,identity_synthetic_001,identity_onboarding_fraud,synthetic_identity,51,0.6262,0.5974,"txn_ca3e16af54e6,txn_b9b9be0ef5db,txn_1ad4c5b5c6d3,txn_be347e41c299,txn_f5a558eefe6d,txn_f0f5885dde46,txn_59f4bb657305,txn_9006de3f9708,txn_2f7fa743beb8,txn_d644de6f05de,txn_b50fd55867a0,txn_cbe51517496f,txn_c61146e23de7,txn_ee65619c95ce"
atk_321e2215580d,scn_0ca9bb9a9b11,identity_synthetic_business_001,identity_onboarding_fraud,synthetic_business,52,0.38,0.8913,"txn_7c6ddd3802c4,txn_a26565a4b00f,txn_d617db1518c8,txn_02f3e94f5cfd,txn_446810ddf4f7,txn_e0ed5ee7ef4a,txn_528ec38a867d,txn_9bcec2a05de6"
