merchant_id,merchant_category,merchant_age_days,country,payout_account_age_days,refund_rate,chargeback_rate,average_ticket_size,volume_growth_rate,risk_tier
merch_a0545b1f3593,travel,702,AE,3216,0.0103,0.0037,128.6,0.0101,medium
merch_41d42f2738e7,travel,957,IN,1992,0.0668,0.0085,123.71,0.1282,low
merch_a703bf8e1397,marketplace,2163,GB,311,0.0031,0.0129,95.56,0.0444,medium
merch_fd19060fa6cd,electronics,2702,DE,994,0.0467,0.001,153.88,0.174,medium
merch_86a400a5897e,marketplace,2177,AE,2973,0.0159,0.0085,208.93,0.09,medium
merch_4fb59943b19a,travel,1001,SG,1372,0.0496,0.0056,90.34,0.1277,low
merch_a700c28d743c,retail,974,DE,2113,0.0113,0.0021,177.68,0.1557,medium
merch_89560ffc8d2b,financial_services,4860,US,3150,0.0355,0.0045,93.01,0.1789,medium
merch_5a0036c081fc,travel,2304,IN,803,0.0686,0.0013,90.33,0.3269,medium
merch_a84ae569ea6c,electronics,241,DE,2256,0.0088,0.0115,73.46,0.1826,low
merch_c097b3f2f1ba,financial_services,1377,SG,522,0.0346,0.0008,41.89,0.0827,low
merch_bd970e8cd1db,retail,3184,AE,3122,0.0548,0.0086,64.97,0.1698,low
merch_031519546e21,gift_cards,4316,IN,2774,0.0433,0.0043,42.14,0.0975,medium
merch_3c878ac1934d,retail,2401,GB,2303,0.0636,0.0067,141.9,0.3377,medium
merch_edda4c1c33e3,retail,1323,IN,448,0.0291,0.0124,36.72,0.1035,low
merch_6cf8c2b99854,marketplace,3979,SG,2974,0.0092,0.0103,106.67,0.0246,low
merch_b9313e6e2e4b,electronics,2056,US,818,0.0451,0.0055,40.26,0.0881,medium
merch_7c53b6ce6527,digital_goods,4698,SG,3042,0.0482,0.0149,234.56,0.1356,low
merch_f8d1a7a12285,electronics,82,AE,53,0.0827,0.0511,362.78,1.2488,high
merch_484dad9dc169,electronics,973,DE,603,0.2258,0.0063,177.52,1.3886,low
merch_64590518d09c,electronics,517,US,400,0.0425,0.0736,326.11,1.3802,low
merch_ca0d2dd9d343,digital_goods,845,US,263,0.2417,0.039,337.08,1.3478,medium
merch_2e703baa4646,gift_cards,109,IN,30,0.1328,0.0682,109.85,0.2459,low
merch_08e1e4d03b8d,financial_services,45,AE,12,0.224,0.0236,235.29,0.072,high
merch_e27daca9c711,retail,1161,US,1026,0.0866,0.0159,583.98,0.4248,high
merch_e18b8206914b,financial_services,930,AE,561,0.1507,0.0295,598.1,0.651,low
merch_1b5239525ef9,travel,738,GB,333,0.0103,0.044,274.01,0.2399,low
merch_96a8d9f5c69b,retail,255,DE,53,0.2214,0.0054,47.19,0.5133,low
merch_378e472b27ea,marketplace,1400,DE,364,0.129,0.0642,282.65,0.1161,medium
merch_98f2c67bb331,gift_cards,712,DE,340,0.1025,0.0408,204.58,2.0801,high
merch_01c8db05edfc,digital_goods,428,IN,50,0.1475,0.0053,357.56,0.2534,high
merch_f1b7955e3ff2,digital_goods,352,IN,181,0.155,0.0309,586.64,1.1163,high
merch_071bf9afdbd7,electronics,357,AE,155,0.2192,0.0093,304.0,0.5564,low
merch_33573e3704e8,marketplace,977,SG,728,0.1387,0.0611,442.6,0.7597,high
merch_4c656fadacbb,electronics,114,IN,25,0.0211,0.0515,541.71,0.7083,high
merch_480d72f596bc,travel,599,GB,363,0.2245,0.0554,388.17,0.5755,medium
merch_43e72875ac69,gift_cards,430,IN,341,0.0173,0.0382,30.97,0.9696,high
merch_ad0d2a0120a9,electronics,412,DE,142,0.1891,0.0057,403.75,1.2063,low
merch_bafc923ea472,financial_services,311,DE,274,0.0292,0.0339,134.99,0.0768,medium
merch_2e617be8581a,financial_services,626,IN,99,0.1446,0.0219,400.29,0.8016,low
merch_88c2a17a820d,financial_services,232,AE,47,0.1982,0.0065,230.76,0.2708,high
merch_5f92d77fe3c5,financial_services,236,US,149,0.0791,0.0135,125.06,1.3287,medium
merch_0af998f82193,financial_services,1162,SG,1021,0.0967,0.0447,469.05,1.7047,low
merch_a7e5424f43e8,financial_services,1482,GB,812,0.2041,0.0122,596.27,0.0836,medium
merch_0e95645e77c8,electronics,1197,IN,503,0.0274,0.0263,179.98,1.0045,medium
merch_2923b5a020f4,electronics,717,DE,374,0.2334,0.0371,95.44,1.1292,low
merch_b2d164a1016c,travel,1201,DE,788,0.0658,0.0123,35.69,1.3732,medium
merch_0871b573d6b3,marketplace,490,GB,210,0.215,0.0338,343.45,0.7957,medium
