transaction_id,fraud_score,prediction,label,attack_bucket,attack_subtype,reason_codes
txn_a0545b1f3593,0.000265,0,0,,,session velocity lowers risk;device history lowers risk;customer account age lowers risk
txn_41d42f2738e7,0.000355,0,0,,,session velocity lowers risk;device history lowers risk;customer account age lowers risk
txn_a703bf8e1397,0.000129,0,0,,,session velocity lowers risk;device history lowers risk;customer account age lowers risk
txn_fd19060fa6cd,7.7e-05,0,0,,,session velocity lowers risk;device history lowers risk;customer account age lowers risk
txn_86a400a5897e,0.00089,0,0,,,session velocity lowers risk;device history lowers risk;high generated risk score lowers risk
txn_4fb59943b19a,0.001376,0,0,,,device history lowers risk;session velocity lowers risk;high generated risk score lowers risk
txn_a700c28d743c,0.000408,0,0,,,device history lowers risk;session velocity lowers risk;high generated risk score lowers risk
txn_89560ffc8d2b,8.4e-05,0,0,,,device history lowers risk;session velocity lowers risk;merchant age lowers risk
txn_5a0036c081fc,7.1e-05,0,0,,,device history lowers risk;session velocity lowers risk;customer account age lowers risk
txn_a84ae569ea6c,0.000304,0,0,,,device history lowers risk;session velocity lowers risk;customer account age lowers risk
txn_c097b3f2f1ba,0.000587,0,0,,,session velocity lowers risk;high generated risk score lowers risk;customer account age lowers risk
txn_bd970e8cd1db,0.00021,0,0,,,session velocity lowers risk;customer account age lowers risk;merchant age lowers risk
txn_031519546e21,0.000102,0,0,,,session velocity lowers risk;merchant age lowers risk;customer account age lowers risk
txn_3c878ac1934d,0.000518,0,0,,,session velocity lowers risk;customer account age lowers risk;device history lowers risk
txn_edda4c1c33e3,0.000493,0,0,,,session velocity lowers risk;customer account age lowers risk;high generated risk score lowers risk
txn_6cf8c2b99854,8.4e-05,0,0,,,session velocity lowers risk;device history lowers risk;customer account age lowers risk
txn_b9313e6e2e4b,0.000358,0,0,,,session velocity lowers risk;device history lowers risk;high generated risk score lowers risk
txn_7c53b6ce6527,0.000233,0,0,,,session velocity lowers risk;merchant age lowers risk;device history lowers risk
txn_08465652a487,0.000634,0,0,,,session velocity lowers risk;device history lowers risk;high generated risk score lowers risk
txn_dc00de623299,0.000877,0,0,,,session velocity lowers risk;device history lowers risk;high generated risk score lowers risk
txn_24550bdfdbb5,0.000364,0,0,,,session velocity lowers risk;device history lowers risk;customer account age lowers risk
txn_507118b14732,0.000198,0,0,,,session velocity lowers risk;high generated risk score lowers risk;device history lowers risk
txn_fb0712859094,0.000337,0,0,,,session velocity lowers risk;device history lowers risk;customer account age lowers risk
txn_e0d6f555ead8,0.000463,0,0,,,session velocity lowers risk;high generated risk score lowers risk;device history lowers risk
txn_f22d2f38e7f2,0.001284,0,0,,,session velocity lowers risk;device history lowers risk;high generated risk score lowers risk
txn_afc3eedad75b,0.000203,0,0,,,session velocity lowers risk;merchant age lowers risk;device history lowers risk
txn_fa4d56b17412,0.000861,0,0,,,session velocity lowers risk;device history lowers risk;high generated risk score lowers risk
txn_f28b4ce1807b,0.0014,0,0,,,session velocity lowers risk;device history lowers risk;high generated risk score lowers risk
