customer_id,age_band,tenure_days,account_age_days,home_country,email_domain,phone_type,kyc_level,historical_spend_mean,historical_spend_std,historical_decline_rate
cust_f5142e8ab368,36-50,2642,1160,US,gmail.com,mobile,high,28.96,53.6,0.0672
cust_10449be37726,18-25,1190,1844,AE,outlook.com,mobile,high,79.23,64.76,0.0509
cust_26d576d350fd,18-25,659,279,GB,gmail.com,mobile,medium,122.0,36.41,0.0746
cust_1e336c972dc2,18-25,720,1411,SG,company.example,mobile,medium,92.23,47.33,0.033
cust_379e585fbbf9,36-50,39,1826,US,outlook.com,mobile,high,102.71,19.2,0.0246
cust_4e6870abfd29,51-65,1041,2192,DE,outlook.com,mobile,high,276.7,11.66,0.0611
cust_c206a31ff7e0,51-65,1695,736,GB,outlook.com,mobile,high,47.02,29.28,0.0473
cust_f1e98d17caf5,51-65,118,2815,GB,gmail.com,mobile,medium,31.49,49.25,0.0236
cust_2f98a4660c29,26-35,846,1716,AE,gmail.com,mobile,medium,97.08,52.58,0.0313
cust_ecc107c778b7,18-25,2080,353,AE,outlook.com,mobile,high,198.57,43.32,0.0411
cust_34ac9ef571e6,51-65,1518,2201,SG,gmail.com,mobile,medium,35.27,22.83,0.0369
cust_59a2fe596426,36-50,211,403,IN,company.example,mobile,high,168.56,18.39,0.0232
cust_56d0609fa109,36-50,1624,1832,GB,gmail.com,mobile,medium,210.77,26.17,0.0489
cust_4567c4cde7b7,26-35,1213,1659,US,outlook.com,mobile,medium,130.05,64.32,0.0502
cust_917948913213,18-25,1035,2282,IN,outlook.com,mobile,medium,106.24,10.9,0.0184
cust_5a748823564c,18-25,1967,2996,AE,company.example,mobile,high,267.29,60.61,0.0568
cust_ba500d83f947,26-35,1667,1470,GB,gmail.com,mobile,high,212.06,30.42,0.0246
cust_247601281e67,18-25,1665,206,US,company.example,mobile,high,202.36,21.05,0.003
cust_ee2a1bca658d,18-25,705,1817,SG,company.example,mobile,high,66.93,42.34,0.0413
cust_775c9fd8ae76,51-65,368,217,IN,company.example,mobile,medium,94.41,52.44,0.0502
cust_f24567c918e8,26-35,2538,1095,AE,gmail.com,mobile,medium,104.48,41.38,0.0558
cust_c821c103346c,18-25,2936,145,IN,company.example,mobile,medium,240.31,6.61,0.0125
cust_29a289332c36,18-25,2341,1516,GB,gmail.com,mobile,medium,140.25,48.43,0.0344
cust_00b1384bc661,26-35,811,1824,AE,gmail.com,mobile,high,69.76,28.01,0.0251
cust_c13154d09aba,51-65,2287,1452,SG,gmail.com,mobile,high,215.77,48.19,0.0125
cust_d57b99a8cc53,51-65,1292,1497,DE,company.example,mobile,high,274.3,61.08,0.019
cust_8a990305aa8c,26-35,2163,616,IN,outlook.com,mobile,high,152.31,31.34,0.0322
cust_1f534183e6ad,51-65,2531,350,AE,company.example,mobile,high,187.74,41.04,0.0152
cust_d2e1c7881702,51-65,693,37,IN,company.example,mobile,high,121.66,64.58,0.0004
cust_f7e6768d6e91,36-50,1036,456,SG,outlook.com,mobile,high,121.17,45.86,0.0079
cust_991647e01c50,26-35,2491,2673,US,company.example,mobile,medium,242.86,40.61,0.0521
cust_f42976b67a1b,51-65,86,1855,SG,outlook.com,mobile,medium,272.77,28.15,0.023
cust_179aa9fecb46,36-50,2371,2624,IN,outlook.com,mobile,medium,269.55,12.78,0.0599
cust_e07c6c345784,51-65,2263,2421,DE,outlook.com,mobile,medium,275.04,8.37,0.073
cust_6c1bfd5b7231,36-50,2368,1326,SG,company.example,mobile,medium,162.94,64.49,0.0072
cust_41c6ade2a40b,36-50,1017,1313,AE,company.example,mobile,high,132.06,24.91,0.0161
cust_c2d2bdcb73eb,18-25,1267,1624,IN,company.example,mobile,medium,254.54,14.15,0.0593
cust_d3babd780366,51-65,182,334,GB,outlook.com,mobile,high,117.18,20.03,0.0415
cust_312f251c7288,18-25,164,862,GB,company.example,mobile,high,147.14,54.87,0.0604
cust_4dcd5c5b4f5b,18-25,2846,856,AE,company.example,mobile,high,203.85,38.49,0.0275
cust_1d6ba91f198a,26-35,1003,2062,IN,gmail.com,mobile,high,215.83,36.05,0.0614
cust_a307a9b90fa0,18-25,2991,1808,GB,company.example,mobile,medium,206.1,22.81,0.0567
cust_d859b976d957,18-25,771,2566,GB,outlook.com,mobile,high,30.33,19.18,0.066
cust_01e25959fded,18-25,1824,719,DE,company.example,mobile,medium,189.81,54.65,0.0286
cust_06cdd8aa8d06,26-35,1358,2867,GB,company.example,mobile,high,193.84,12.99,0.0153
cust_d9e46eb30b54,36-50,2744,1349,GB,gmail.com,mobile,high,206.0,59.54,0.0512
cust_52daf3084756,26-35,1822,2091,US,outlook.com,mobile,high,59.97,35.04,0.0561
cust_186666b133c9,36-50,845,1897,DE,gmail.com,mobile,high,135.16,43.16,0.0324
cust_626ea8ea3dbc,26-35,1795,2888,IN,company.example,mobile,medium,88.73,14.83,0.0306
cust_e4e65d53655e,36-50,1978,2631,IN,outlook.com,mobile,medium,216.26,42.79,0.0734
cust_55f96b81db31,18-25,1601,1146,DE,outlook.com,mobile,high,135.81,42.3,0.0182
cust_cc3b2532dd56,36-50,1872,181,AE,outlook.com,mobile,high,107.33,25.51,0.0186
cust_d422205dcfe9,18-25,882,1384,IN,gmail.com,mobile,medium,44.97,50.41,0.029
cust_4126188cc2b1,36-50,1304,931,AE,outlook.com,mobile,medium,100.17,22.18,0.0212
cust_18c95871a86d,26-35,224,148,GB,company.example,mobile,medium,47.18,21.62,0.0515
cust_ba2dc718e9c9,51-65,1521,2412,GB,gmail.com,mobile,medium,41.41,13.63,0.0738
