transaction_id,amount,risk_score,event_hour,billing_shipping_mismatch,customer_transaction_count,merchant_transaction_count,device_transaction_count,session_transaction_count,ip_transaction_count,customer_account_age_days,customer_historical_decline_rate,customer_historical_spend_mean,merchant_age_days,merchant_refund_rate,merchant_chargeback_rate,merchant_volume_growth_rate,device_ip_reputation_score,device_first_seen_days_ago,device_failed_login_count,label,attack_bucket,attack_subtype,currency_code,channel_code,rail_code,transaction_type_code,status_code,billing_country_code,shipping_country_code,merchant_category_code,payment_method_type_code,auth_result_code
txn_f5142e8ab368,17.8,0.2542,0,0,4,28,5,1,3,1160.0,0.0672,28.96,1761.0,0.0243,0.0052,0.066,0.0274,1378.0,0.0,0,,,1,8,3,1,0,5,5,3,3,0
txn_10449be37726,83.57,0.1736,0,0,4,28,5,1,7,1160.0,0.0672,28.96,1599.0,0.0738,0.0026,0.1809,0.0274,1378.0,0.0,0,,,4,4,1,1,0,0,0,3,0,0
txn_26d576d350fd,6.66,0.1237,0,0,4,28,5,1,2,1160.0,0.0672,28.96,936.0,0.0198,0.0118,0.0269,0.0274,1378.0,0.0,0,,,4,8,1,1,0,2,2,3,3,0
txn_1e336c972dc2,23.54,0.1055,0,0,4,28,5,1,3,1160.0,0.0672,28.96,983.0,0.0033,0.0042,0.3208,0.0274,1378.0,0.0,0,,,3,6,1,1,0,2,2,5,3,0
txn_379e585fbbf9,31.57,0.1598,1,0,4,28,5,1,2,1844.0,0.0509,79.23,1962.0,0.0102,0.0077,0.2298,0.0274,1378.0,0.0,0,,,2,8,1,1,0,0,0,5,2,0
txn_4e6870abfd29,176.65,0.0894,0,0,4,28,5,1,2,1844.0,0.0509,79.23,1838.0,0.0263,0.0084,0.0979,0.1129,884.0,0.0,0,,,4,6,3,1,0,1,1,5,2,0
txn_c206a31ff7e0,23.87,0.1175,0,0,4,28,5,1,3,1844.0,0.0509,79.23,4546.0,0.0468,0.0064,0.1401,0.1129,884.0,0.0,0,,,0,10,4,1,0,4,4,6,2,0
txn_f1e98d17caf5,15.42,0.2063,1,0,4,28,5,1,2,1844.0,0.0509,79.23,174.0,0.0307,0.0109,0.0235,0.1129,884.0,0.0,0,,,4,10,3,1,0,0,0,1,2,0
txn_2f98a4660c29,20.36,0.1306,1,0,4,28,5,1,3,279.0,0.0746,122.0,586.0,0.0254,0.011,0.2833,0.1129,884.0,0.0,0,,,0,6,3,1,0,2,2,6,0,0
txn_ecc107c778b7,64.66,0.1753,1,0,4,28,5,1,3,279.0,0.0746,122.0,4262.0,0.0649,0.0077,0.2657,0.1129,884.0,0.0,0,,,2,10,3,1,0,2,2,5,3,0
txn_34ac9ef571e6,20.15,0.2091,3,0,4,28,5,1,3,279.0,0.0746,122.0,1003.0,0.0577,0.0049,0.1719,0.0068,439.0,1.0,0,,,3,4,1,1,0,3,3,5,0,0
txn_59a2fe596426,13.12,0.1944,1,0,4,28,5,1,3,279.0,0.0746,122.0,2775.0,0.025,0.0097,0.1734,0.0068,439.0,1.0,0,,,0,4,1,1,0,0,0,1,1,0
txn_56d0609fa109,38.17,0.0983,5,0,4,28,5,1,5,1411.0,0.033,92.23,3942.0,0.076,0.0025,0.0486,0.0068,439.0,1.0,0,,,0,6,1,1,0,4,4,2,3,0
txn_4567c4cde7b7,72.84,0.1302,3,0,4,28,5,1,2,1411.0,0.033,92.23,1181.0,0.0215,0.0061,0.2735,0.0068,439.0,1.0,0,,,3,4,4,1,0,0,0,1,2,0
