attack_subtype,row_count,positive_count,negative_count,threshold,precision,recall,f1,accuracy,false_positive_rate,true_positive,true_negative,false_positive,false_negative,roc_auc,pr_auc
ai_impersonation,17,17,0,0.05,1.0,1.0,1.0,1.0,0.0,17,0,0,0,0.0,1.0
alternative_refund_abuse,9,9,0,0.05,1.0,1.0,1.0,1.0,0.0,9,0,0,0,0.0,1.0
authorized_push_payment_scam,9,9,0,0.05,1.0,1.0,1.0,1.0,0.0,9,0,0,0,0.0,1.0
benign,500,0,500,0.05,0.0,0.0,0.0,0.992,0.008,0,496,4,0,0.0,0.0
business_email_compromise,9,9,0,0.05,1.0,1.0,1.0,1.0,0.0,9,0,0,0,0.0,1.0
bust_out_merchant,143,143,0,0.05,1.0,1.0,1.0,1.0,0.0,143,0,0,0,0.0,1.0
card_not_present,31,31,0,0.05,1.0,1.0,1.0,1.0,0.0,31,0,0,0,0.0,1.0
card_testing,85,85,0,0.05,1.0,1.0,1.0,1.0,0.0,85,0,0,0,0.0,1.0
chargeback_fraud,10,10,0,0.05,1.0,1.0,1.0,1.0,0.0,10,0,0,0,0.0,1.0
consumer_account_takeover,29,29,0,0.05,1.0,1.0,1.0,1.0,0.0,29,0,0,0,0.0,1.0
credential_stuffing,306,306,0,0.05,1.0,1.0,1.0,1.0,0.0,306,0,0,0,0.0,1.0
executive_impersonation,4,4,0,0.05,1.0,1.0,1.0,1.0,0.0,4,0,0,0,0.0,1.0
fraudulent_merchant_onboarding,39,39,0,0.05,1.0,1.0,1.0,1.0,0.0,39,0,0,0,0.0,1.0
gift_card_abuse,86,86,0,0.05,1.0,1.0,1.0,1.0,0.0,86,0,0,0,0.0,1.0
marketplace_seller_fraud,71,71,0,0.05,1.0,1.0,1.0,1.0,0.0,71,0,0,0,0.0,1.0
merchant_admin_takeover,7,7,0,0.05,1.0,1.0,1.0,1.0,0.0,7,0,0,0,0.0,1.0
mule_account_creation,40,40,0,0.05,1.0,1.0,1.0,1.0,0.0,40,0,0,0,0.0,1.0
mule_laundering,72,72,0,0.05,1.0,1.0,1.0,1.0,0.0,72,0,0,0,0.0,1.0
non_delivery_claim,16,16,0,0.05,1.0,1.0,1.0,1.0,0.0,16,0,0,0,0.0,1.0
refund_fraud,11,11,0,0.05,1.0,1.0,1.0,1.0,0.0,11,0,0,0,0.0,1.0
return_policy_abuse,21,21,0,0.05,1.0,1.0,1.0,1.0,0.0,21,0,0,0,0.0,1.0
stolen_identity_signup,16,16,0,0.05,1.0,1.0,1.0,1.0,0.0,16,0,0,0,0.0,1.0
synthetic_business,12,12,0,0.05,1.0,1.0,1.0,1.0,0.0,12,0,0,0,0.0,1.0
synthetic_identity,23,23,0,0.05,1.0,1.0,1.0,1.0,0.0,23,0,0,0,0.0,1.0
triangulation_fraud,88,88,0,0.05,1.0,1.0,1.0,1.0,0.0,88,0,0,0,0.0,1.0
vendor_rerouting,7,7,0,0.05,1.0,1.0,1.0,1.0,0.0,7,0,0,0,0.0,1.0
