transaction_id,amount,risk_score,event_hour,billing_shipping_mismatch,customer_transaction_count,merchant_transaction_count,device_transaction_count,session_transaction_count,ip_transaction_count,customer_account_age_days,customer_historical_decline_rate,customer_historical_spend_mean,merchant_age_days,merchant_refund_rate,merchant_chargeback_rate,merchant_volume_growth_rate,device_ip_reputation_score,device_first_seen_days_ago,device_failed_login_count,label,attack_bucket,attack_subtype,attack_id,scenario_id,simulation_segment,currency_code,channel_code,rail_code,transaction_type_code,status_code,billing_country_code,shipping_country_code,merchant_category_code,payment_method_type_code,auth_result_code
txn_f5142e8ab368,213.61,0.3536,0,1,4,28,5,1,2,850.0,0.0258,119.47,712.0,0.0686,0.0107,0.2338,0.142,323.0,1.0,0,,,,,atypical_benign,3,8,3,1,0,5,3,6,3,0
txn_10449be37726,15.45,0.1041,0,0,4,28,5,1,2,850.0,0.0258,119.47,427.0,0.0554,0.0089,0.0718,0.142,323.0,1.0,0,,,,,routine_benign,3,8,3,1,0,5,5,0,1,0
txn_26d576d350fd,43.78,0.3106,0,0,4,28,5,1,3,850.0,0.0258,119.47,4063.0,0.0643,0.0136,0.0121,0.142,323.0,1.0,0,,,,,routine_benign,0,4,3,1,0,2,2,3,0,0
txn_1e336c972dc2,238.33,0.0923,0,0,4,28,5,1,3,850.0,0.0258,119.47,2814.0,0.0449,0.0034,0.1579,0.142,323.0,1.0,0,,,,,routine_benign,0,4,1,1,0,5,5,3,3,0
txn_379e585fbbf9,21.12,0.1054,1,0,4,28,5,1,1,1036.0,0.0592,50.91,2885.0,0.0702,0.0123,0.3066,0.142,323.0,1.0,0,,,,,routine_benign,4,8,4,1,0,1,1,5,0,0
txn_4e6870abfd29,46.56,0.0299,0,0,4,28,5,1,3,1036.0,0.0592,50.91,214.0,0.0285,0.0009,0.2845,0.0838,118.0,0.0,0,,,,,routine_benign,4,6,1,1,0,3,3,2,2,0
txn_c206a31ff7e0,39.18,0.277,1,0,4,28,5,1,2,1036.0,0.0592,50.91,424.0,0.0799,0.0047,0.1834,0.0838,118.0,0.0,0,,,,,routine_benign,4,4,3,1,0,5,5,4,0,0
txn_f1e98d17caf5,14.96,0.1837,0,0,4,28,5,1,2,1036.0,0.0592,50.91,2402.0,0.0095,0.0084,0.086,0.0838,118.0,0.0,0,,,,,routine_benign,3,8,1,1,0,3,3,0,2,0
txn_2f98a4660c29,19.1,0.1251,2,0,4,28,5,1,5,2687.0,0.0079,263.43,3232.0,0.0626,0.0079,0.0436,0.0838,118.0,0.0,0,,,,,routine_benign,3,4,1,1,0,4,4,4,0,0
txn_ecc107c778b7,16.65,0.2019,1,0,4,28,5,1,1,2687.0,0.0079,263.43,3990.0,0.0719,0.0017,0.2548,0.0838,118.0,0.0,0,,,,,routine_benign,4,6,4,1,0,2,2,4,0,0
