attack_instance_id,scenario_id,attack_id,bucket,subtype,scenario_seed,attack_intensity,stealth_level,time_window_hours,generated_record_ids
atk_4777ae508165,scn_7507b158f4f8,cred_card_testing_001,credential_based_fraud,card_testing,202,0.7046,0.5819,8,"txn_263fd92e20c9,txn_0d2d56b0d281,txn_73192672d55a,txn_bf8e350698f2,txn_b9c81df55be5,txn_4fa3df572f48,txn_1f954ffa2fdb,txn_e254e060f130,txn_cdcfa1350cfa,txn_f10b609b9270,txn_1f70d6c03052,txn_1d9a5b96e240,txn_57126719016a,txn_d3b2c89a0f00,txn_cba6dadbaf65,txn_e85d4aa11452,txn_1fea72af038e,txn_fb8c64a0ad9c,txn_2e8598394087,txn_ce04d17e9854,txn_7ea0fbbab84f,txn_87ad115c3854,txn_753e9dd99a66,txn_d398ee4840d8,txn_faf224b94def,txn_196a7faf6a7c,txn_b28e88613d39,txn_9ea732486fc2,txn_eb00dc1a4756,txn_a0fa6f23dddc,txn_f556cae23a57,txn_787ddbca2ac0,txn_4d5b2cf7d906,txn_499e324eae0a,txn_c57de0316d65,txn_005ee089677a,txn_2dfbcff7f827,txn_14feb2044c93,txn_3a64a0f11864,txn_ca09a429c402,txn_51ae4478fac9,txn_b6b88e0f907b,txn_fb086fe431b4,txn_07a21cf64b46,txn_3e68dbb4e921,txn_6e125bfefe4e,txn_2cef4c87d0f5,txn_ec1a40dee8f4,txn_38f184839989,txn_f4f2fd80f729,txn_858bbf818210,txn_daf208ada98a,txn_21fc9a43cb88,txn_089102f49dd0,txn_05efaaf42fe1,txn_8d07805c6b30,txn_d8c57db76ad6,txn_ff3946093cd7,txn_979a124ba402,txn_22c3e18154eb,txn_9b5425b7b44e,txn_0703281d1121,txn_381e423cf45d,txn_4cbd6320b65b,txn_7f470eb3b76e,txn_32032f825fa2,txn_db11e0a1485d,txn_5c2f23d04c8d,txn_e35124c0d7bb,txn_33d6145e2e28,txn_44e535e62b56,txn_413ca273333d,txn_aa51e07367bb,txn_b54ea8f62ca8,txn_ba0cfa5d4496,txn_a19d60bdf1f2,txn_df0acd730180,txn_38b991cd279b,txn_6eef41d40d04,txn_e3ec5ae8aa2d,txn_eae149a72287,txn_ac83a548d1b9,txn_f4c9d7ea4502,txn_c75ae5ba66ea,txn_888ebc71d878,txn_830cb4192617,txn_8ee4b1611da0,txn_325c59c0da06,txn_718d0cb4aedb,txn_ab5f1965c17c,txn_bdd9b7fc56a2,txn_be1b250427ff,txn_965009bb583d,txn_f05017df23c4,txn_284f8c135c78,txn_e5c0b48ea075,txn_5c31a185a138,txn_7b5fdb5db842,txn_2eab45838841,txn_3981b4a58bf0,txn_c3846df8bf48,txn_38249a180721,txn_ead7e19c89a0,txn_46a52dcf89b4,txn_9057df39d0f9,txn_17619f6d58d2,txn_20dc82160dbc,txn_af88398fa478,txn_9ec156af6856,txn_161c110821de,txn_ae066054a1c3,txn_8030ea30f841,txn_6a4725fc49e9,txn_1c7bd1eed9a6,txn_eef23a46dba8,txn_7857eb8d8c0c,txn_de8b88c4d1bc,txn_df7659784995,txn_6eb47f7f764e,txn_babdd35e27fb,txn_55f509728020,txn_64007c023595,txn_406146770960,txn_2c58bae916aa,txn_45160829b918,txn_4fab18e6a5ca,txn_c4431f55f5c5,txn_ab10b59a901e,txn_4f997e37088b,txn_e39143bec0e4,txn_c75fd0344dc8,txn_7bdbc665b197,txn_58df41f64d71,txn_7dcc157d3ecf,txn_499f0cc7e4c7,txn_b5fa5826bc35,txn_848b25cb794c,txn_727797354270,txn_3ad9dfe996f0,txn_e30f64daf0ea,txn_523730146ed6,txn_f2aaac63f63c,txn_e8c01d8ac5ad,txn_9bfb10aa005c,txn_7b9ee6830914,txn_cda1910d1222,txn_1c1e7ec034ef"
atk_8ea4d2c079fc,scn_a17e068ebe1d,cred_cnp_001,credential_based_fraud,card_not_present,203,0.8132,0.4363,2,"txn_074f2b000f5c,txn_96ebfe00a437,txn_5b630bbadbc1,txn_34f59ea3f1b3,txn_c46a94c5caaf,txn_ae7e1582c24e,txn_5940538ffdde,txn_c07f2b2e74ee,txn_025ed4d54cc9,txn_7fbb29c11984,txn_1f52936039e8,txn_717040cbb916,txn_2f46309c9cd7,txn_8d0c95691b30,txn_ccae54eddbca,txn_4a743c7ce40f,txn_1ae3f6a59863,txn_8b6e655ca3ea,txn_7c454924427f,txn_41ab4bea3906,txn_33010e513afb,txn_ddabf4c29313,txn_6ab86397b05c,txn_ca9f65f7caca,txn_ff33649029d9,txn_79af5d3ac691,txn_9a902d99df6a,txn_0d08a886daab,txn_cb6b70bd7377,txn_4331aae1b2be,txn_f0aef870d105,txn_fc36ce3c7172,txn_216963b70674"
atk_4ef46fe710b5,scn_bc38b11a3ffa,cred_consumer_ato_001,credential_based_fraud,consumer_account_takeover,204,0.397,0.6088,15,"txn_05ddf8fecae1,txn_de5eb2a612fc,txn_d507795be7a4,txn_ec942d000a15,txn_8917a20ca1c9,txn_38ccdae815d7,txn_dd5f3a2cf211,txn_67cc50baf819,txn_0ba1c08178d9,txn_b78ee5cc9b6d,txn_a4e1ec139273,txn_6d25a855920d"
atk_f4d0287013ac,scn_d08088464117,cred_merchant_admin_ato_001,credential_based_fraud,merchant_admin_takeover,205,0.7485,0.6738,11,"txn_150308295329,txn_935691a13048,txn_93dce6cddf5f,txn_623611f3914a,txn_5e2d0f70a014,txn_bdfe524cebbd,txn_b2ddfb4e2669,txn_50d9a281b78a"
atk_365201194a22,scn_27eb0d8bb423,cred_stuffing_001,credential_based_fraud,credential_stuffing,206,0.5178,0.2048,6,"txn_8628a9720dcf,txn_6320e4b563e2,txn_f5fae240250c,txn_0788b77fab19,txn_56a73f178b08,txn_280a6005faca,txn_e03beeca20b0,txn_84ed7478090a,txn_685f3c185301,txn_e356303c817e,txn_a68e084d0a08,txn_553f51763a60,txn_8b258c3ee8fd,txn_695b1fc7da0f,txn_435914c51896,txn_a3e084db6d8f,txn_f3e294c9dd5f,txn_99ec3aa2fd02,txn_949e3620bfce,txn_aa2d53c6e651,txn_9552d1fa1996,txn_6e41bb7af661,txn_ac4a3bc5d38c,txn_2db7e89e8799,txn_ed9cfe612590,txn_7b9cef71a326,txn_1621e8f87284,txn_0f4a45726080,txn_5b5f8d1617e0,txn_194c91eeccdd,txn_9742ea59dd60,txn_d260cf1e3d84,txn_681f6ecb9bbe,txn_2c947477f6bf,txn_f7cb9fb547f3,txn_5ed3c6adec4a,txn_05c93af01cf5,txn_734d71abed71,txn_976259836f48,txn_ed21436ea32f,txn_c7bf940d8672,txn_010549931b12,txn_8cad753308ed,txn_cc6273707977,txn_f93621df148a,txn_24798779c623,txn_9fa9f4c28ec6,txn_549827282ccb,txn_50bf0f19c76f,txn_425a9be620a3,txn_366332e1451b,txn_7cfdd9375044,txn_754fa5b2f808,txn_6405522172a5,txn_b65444039719,txn_b7d5d3395fae,txn_8fdc947e41f3,txn_8e72285b54db,txn_64171997b4f4,txn_e4e886a695f9,txn_0bea7e909271,txn_efa47a9ca125,txn_f157d0799bd1,txn_854684114a84,txn_4c9955b7b07b,txn_bb2713ffdd4e,txn_0004db161984,txn_f475ba4eb4ac,txn_901c03386d75,txn_b428582311d5,txn_bb8fe038d38e,txn_60d892194140,txn_a952925bd425,txn_cf099f66fb21,txn_dda2e6105812,txn_0262a7f8d3ce,txn_0cea11b601b4,txn_b65fe3007378,txn_e024a63b480c,txn_9ba2a708446f,txn_882cb7ad9ecd,txn_cd5f301d206c,txn_89e346a03be6,txn_215db88a9cdb,txn_e5dfbce0b42f,txn_07415e0cd0b8,txn_2c8386e8d7d1,txn_db4cd2bd0636,txn_ca2c64effc50,txn_863b897b6a07,txn_21fddcae6abe,txn_bb1d3e92791a,txn_ff737987dc33,txn_e1920139fa26,txn_449c850c16a5,txn_ec36d04931ca,txn_cb607f2e147b,txn_2b682695b3fe,txn_3d069131d0f1,txn_9c5f6bf3271f,txn_6586c6671611,txn_0b7cea5fd6fb,txn_9eb45b453674,txn_2408d89febb2,txn_96c2219d63ac,txn_de6b61af561f,txn_264275c14afa,txn_c570b8e99f0c,txn_94242b081683,txn_852e8d95ed6f,txn_788bacc54c95,txn_ea74fb18f89d,txn_67def7b84e80,txn_16dce8f02a03,txn_0a1db5bc9fd3,txn_f8c9e25a7445,txn_36a76a0386f1,txn_375ef3ea0dab,txn_6e9d69d09f86,txn_177313c3720b,txn_0e8893f7613c,txn_a992ee0ecae0,txn_3b36f53ade34,txn_3cfb468d2872,txn_cd577ce1592d,txn_007c97dbae49,txn_715b2b02bc44,txn_ddb74302b9e8,txn_a58f0d00aab5,txn_386e6b508b67,txn_f50f5faee347,txn_06d91811fc07,txn_d480f3e535a6,txn_71e68d6e3828,txn_a2ce471d2bf6,txn_0ca23e4556bb,txn_bf22e33df162,txn_3a59a2fe0355,txn_1be9430b9bde,txn_a2c7726aebce,txn_8b50e3792508,txn_f2c983421bb5,txn_c4c22724033c,txn_450900264f7f,txn_4eb4b6b92c58,txn_1453e4d6778a,txn_b5abadd5f865,txn_632b7a42afd7,txn_cb444f47fb08,txn_a004145faf86,txn_4660c01df04e,txn_645b5b5f5acb,txn_a9cb3358bc47,txn_1e7f37584ef0,txn_4cc76a7394c8,txn_517cf99b5481,txn_098d18aa41fa,txn_ec493ccabb1a,txn_6e766d3c1e9d,txn_c14622ce38cb,txn_d6422d4468fc,txn_bd8749a3566b,txn_eda643f244f6,txn_4f1d4305b36d,txn_2c81fbe9b3ef,txn_0d5cb666edd6,txn_34d84bdacfa9,txn_46719eb52a43,txn_ec86f3e94862,txn_69ac4bc3fc57,txn_8b533932cd7e,txn_097029605b2a,txn_47fd7633737c,txn_953f59bf259b,txn_05f40da8f9f7,txn_c0b660cea4e9,txn_623660c94a68,txn_c384c310d4e2,txn_70b12de29b50,txn_b233c11c2f66,txn_9e204b4cc0f0,txn_5bb0dca4bd43,txn_8a33d4461638,txn_fe0cb477ea50,txn_17cca2d2ee8d,txn_49db77fd703c,txn_714fe5f08a1c,txn_2ae1f2c2151e,txn_5f60422a4cb0,txn_d4fd9d7c9bec,txn_d12c71a8b848,txn_a3c5bdb216e2,txn_11b54196028a,txn_54fe47e8affe,txn_3d17ac0eeba2,txn_25c0a8b08b38,txn_dca465521ca4,txn_e8c622184c52,txn_1cb23be04eab,txn_f18c54af73a2,txn_d2dd3fa1b5f9,txn_7cd979b51058,txn_10648439d247,txn_c40aba186f18,txn_36cfb6734736,txn_2cf9532b25d5,txn_8283ee46ab12,txn_a57ebe1bb0c1,txn_8ff73f4e2bc9,txn_b478f2e566d0,txn_ba490f94319a,txn_335aae1c6233,txn_9cd6bf3cbb89,txn_57b3463023b7,txn_09eabd927d41,txn_d7cbf79cd709,txn_2a85003d240d,txn_e83269a51902,txn_6a4b3dc3819a,txn_3b508e8d3b55,txn_ecc7208aa5b5,txn_3357768a770d,txn_0bca23af2ab8,txn_1fa14b10a8b9,txn_2ba1129fd506,txn_5d8c2292c67b,txn_347b3a714c4a,txn_268ca2504cc2,txn_8772f965c158,txn_70b1c365a086,txn_c0ec3337b609,txn_1af8489244d3,txn_ea3a4d136b0e,txn_105085c8e8d0,txn_81c8f3c0e804,txn_cec8c3775a38,txn_fa018ba68108,txn_1acd834ace2f,txn_a7ce4b1c7b72,txn_6189e4fbcc74,txn_d40059bb824b,txn_edd04406b9fa,txn_2ad534881c86,txn_3ccfc4c27c2c,txn_aa8091a2d6b8,txn_4dd10b32c774,txn_c1f726c30e10,txn_452c7f99c529,txn_26d6cae7189c,txn_b0bfdbd4816c,txn_7db8a67762f4,txn_bb9e36c507b8,txn_0769124e6fa6,txn_ce3f4b01cd62,txn_c6e95ae5ec0d,txn_d1ff5d0484d5,txn_61195906a0cc,txn_7515ee4d9625,txn_88570d1050b8,txn_cd96baa36de1,txn_3983ec58c668,txn_c78e30dc4e4b,txn_2f3368a249d5,txn_e5e9e98dcad2,txn_6cc1e19d0742,txn_aa9a8627e8b3,txn_1e27c7e2e085,txn_f9b90c757c51,txn_bbed39d45eae,txn_a7a3badded26,txn_301ecf9dd3b8,txn_7e098532c7fa,txn_4756ca20ef3d,txn_fd27f35f4052,txn_22abf3a337c7,txn_9a4cf3342b55,txn_950f37273013,txn_3e154c698225,txn_85d2bff46ccf,txn_f299f13ee5f7,txn_6a63411b6378,txn_1e00d2fa88bc,txn_71f96693b21e"
atk_a8113b280447,scn_a3a57bcf69cf,identity_fraud_merchant_001,identity_onboarding_fraud,fraudulent_merchant_onboarding,207,0.718,0.6524,54,"txn_f128caace258,txn_cde9b6c9e1ce,txn_1e920dbb4454,txn_03ee481fdfa2,txn_def8ee415a43,txn_e89b387a8cea,txn_946b913e91e4,txn_23befc456acf,txn_aeb283e0f4c1,txn_7511bc684d1f,txn_cb11e6476b7a,txn_48a459b003b9,txn_57ea512d1ea4,txn_fd17bd1cca9f,txn_4fc2ec5d8a86,txn_c16a7b44015c,txn_1147cdfddbf8,txn_f9d7b9ec6c54,txn_ad480e993bda,txn_9d37c1927b46,txn_728503e9b971,txn_2359859f6cb7,txn_061c63e92016,txn_23b5a4831a72,txn_245b55981308,txn_a581b9b42e6e,txn_4ce82e9bcd3e,txn_6605d0a8e220,txn_cc35552dca9f,txn_3724c258af1b,txn_b739f696e069,txn_7a49b22eac31,txn_ab3c1ce1b0f4,txn_a1072bbcafe1,txn_611971d7eb27,txn_ed6fd7918f02,txn_f44f2dc11155,txn_e8194898f52d,txn_25c995559ef2,txn_813a50425abe,txn_c259c4c05563,txn_2d7881af7dc3,txn_3f15d2d02504,txn_5643c38aa1c1,txn_29a5319a7c2e"
atk_86b530e6ef39,scn_46a9aecd048b,identity_mule_account_001,identity_onboarding_fraud,mule_account_creation,208,0.7793,0.5256,69,"txn_83f44e4fa856,txn_f194ad049284,txn_97efa7921e92,txn_1a416beb2c8f,txn_5302301c01db,txn_aa63b168db73,txn_1fd6b21d3260,txn_4a653ce8973a,txn_9d78e2d1bda0,txn_1a0594bb9ec3,txn_aa91a585c28b,txn_672a166606df,txn_e2b394b6ddcd,txn_13723e346f71,txn_6a9b1e37c2c1,txn_f846e9b2b4a1,txn_84a476c1b593,txn_5a3771427cd7,txn_de8e11074496,txn_bd445485f187,txn_95927afc842d,txn_644c9fa412be,txn_ae635f7606a5,txn_60f977a5205b,txn_45de395b2bea,txn_e5e76e14c6b8,txn_1a2840bd6b6a,txn_223f7ba88ad7,txn_de254fb82348,txn_b39d7d6f3f67,txn_07aad2dcf095,txn_811dd98694a2,txn_19a61eb916b0,txn_3634a2328063,txn_6e0ee666f41d,txn_365c9d4d433c,txn_ed502e898251,txn_06172f61f37f,txn_eaa962768381,txn_4978fb09d246,txn_2a6cd6c13eec,txn_22307a212a2f,txn_982b25a38c43,txn_efeebb0d8e6d,txn_be779343b60c,txn_1f8596a5dda1,txn_543468cb325c,txn_6fab1a37aaab,txn_c22902cd6a35,txn_f581a18afb14,txn_596b0ae55700,txn_6c3480c78052,txn_2861f59a69bf,txn_1b64efe78d2e,txn_70c973a68698,txn_2492c61482d4,txn_29abb8e8ae9b,txn_b957b1fdb4ab,txn_3fb6b1a517f6,txn_3a82f08dbf7e,txn_c82972ed921a,txn_094bb373d7ec,txn_94a4c956fe9e,txn_361c948bdefe,txn_65e0bdc34dbf"
atk_e9343976846f,scn_cda504fa58f3,identity_stolen_signup_001,identity_onboarding_fraud,stolen_identity_signup,209,0.3628,0.745,16,"txn_e8ad0cb82611,txn_0e985c0707b4,txn_678ceb8e8af9,txn_b778d48f0721,txn_54f9ab86f5e1,txn_fa66cb9e929a,txn_b3eb4f6c57d8,txn_20441cde6485,txn_a0538dfa7253,txn_fdf7f9282c2b,txn_25320e889b24"
atk_3b3a51141f05,scn_890b4631e8b5,identity_synthetic_001,identity_onboarding_fraud,synthetic_identity,210,0.7243,0.6539,19,"txn_45eb7081dddb,txn_f9f9ddbd39ad,txn_dcad114dc32f,txn_6910acddb1ae,txn_ff136b295c06,txn_9c1a888103b9,txn_46e4beac840c,txn_093e94b370a7,txn_2d22fc41ffb9,txn_06cc6852c477,txn_a2e16981684d,txn_eb5fb9257af0,txn_fae77df9f07f,txn_64f7b489a61a,txn_e5c783546132"
atk_c3b31188f72e,scn_b1e076eb93a6,identity_synthetic_business_001,identity_onboarding_fraud,synthetic_business,211,0.7574,0.726,19,"txn_3f846b02e49f,txn_3318f2c40111,txn_5276dab064f1,txn_b9b61afe4c23,txn_a2c1fc8ec58b,txn_cfdd34f49ebd,txn_bb120c9076ec,txn_a4636184bf5b,txn_ad77e027f0b2,txn_143b4a249436,txn_dc4ed3e3de92,txn_a2a68655c14e,txn_18901ecfae86,txn_ad16b13225aa"
