transaction_id,fraud_score,prediction,ml_fraud_score,ml_prediction,decision_engine,llm_reviewed,llm_provider,llm_semantic_risk_score,llm_novelty_score,llm_recommendation,llm_rationale,llm_risk_indicators,llm_fallback,label,attack_bucket,attack_subtype,reason_codes
txn_3eb38a011bc8,0.27148115621890756,1,0.271481,1,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;session velocity lowers risk;IP velocity lowers risk
txn_9e440306549f,0.27865210012986646,1,0.278652,1,ml_only,0,,,,,,,,0,,,session velocity lowers risk;customer decline history lowers risk;IP velocity lowers risk
txn_2ec7d2ed320c,0.2435356686100616,1,0.243536,1,ml_only,0,,,,,,,,0,,,session velocity lowers risk;IP velocity lowers risk;merchant chargeback behavior lowers risk
txn_ed92d046d68c,0.43513626105364817,1,0.435136,1,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;merchant chargeback behavior lowers risk;session velocity lowers risk
txn_893d11bf9bc3,0.2299355983631612,1,0.229936,1,ml_only,0,,,,,,,,0,,,customer decline history lowers risk;session velocity lowers risk;event_hour raises risk
txn_baa41f1191c0,0.220605,1,0.216579,1,hybrid_ml_llm,1,local_lmstudio,0.23,0.35,review,"The transaction exhibits moderate risk characteristics primarily driven by IP velocity (multiple transactions from same IP address) and device usage patterns (low reputation score). However, long-term customer relationship (2.8 year account age) and absence of overtly suspicious signals (zero failed logins, no billing/shipping mismatch) temper the overall risk profile.",IP velocity;device reputation score,,0,,,high generated risk score lowers risk;IP velocity raises risk;session velocity lowers risk
txn_612c2bd7da61,0.29180185516008955,1,0.291802,1,ml_only,0,,,,,,,,0,,,session velocity lowers risk;event_hour raises risk;merchant chargeback behavior lowers risk
txn_f128caace258,0.04615073684856227,0,0.046151,0,ml_only,0,,,,,,,,1,identity_onboarding_fraud,fraudulent_merchant_onboarding,device history lowers risk;customer payment cadence lowers risk;merchant chargeback behavior lowers risk
txn_e8ad0cb82611,0.020944862253420737,0,0.020945,0,ml_only,0,,,,,,,,1,identity_onboarding_fraud,stolen_identity_signup,customer payment cadence lowers risk;customer account age lowers risk;high generated risk score lowers risk
txn_45eb7081dddb,0.02454670514789323,0,0.024547,0,ml_only,0,,,,,,,,1,identity_onboarding_fraud,synthetic_identity,customer account age lowers risk;customer payment cadence lowers risk;customer decline history lowers risk
txn_6910acddb1ae,0.16251293779381293,0,0.162513,0,ml_only,0,,,,,,,,1,identity_onboarding_fraud,synthetic_identity,customer account age lowers risk;IP velocity raises risk;customer decline history lowers risk
txn_3f846b02e49f,0.16007990069465017,0,0.16008,0,ml_only,0,,,,,,,,1,identity_onboarding_fraud,synthetic_business,customer payment cadence lowers risk;merchant chargeback behavior lowers risk;session velocity lowers risk
txn_58b93c516090,0.04705097818617537,0,0.047051,0,ml_only,0,,,,,,,,1,merchant_ecosystem_abuse,triangulation_fraud,customer payment cadence lowers risk;high generated risk score lowers risk;session velocity lowers risk
txn_18fc40743ca5,0.07598944414260679,0,0.075989,0,ml_only,0,,,,,,,,1,post_transaction_abuse,alternative_refund_abuse,customer payment cadence lowers risk;high generated risk score lowers risk;merchant chargeback behavior lowers risk
txn_7de9950280fc,0.02109642586940521,0,0.021096,0,ml_only,0,,,,,,,,1,post_transaction_abuse,non_delivery_claim,device history lowers risk;customer payment cadence lowers risk;merchant chargeback behavior lowers risk
txn_d8b66ba22f99,0.19557134013697,0,0.195571,0,ml_only,0,,,,,,,,1,post_transaction_abuse,non_delivery_claim,device history lowers risk;merchant chargeback behavior lowers risk;customer decline history lowers risk
txn_bccea3e4a65a,0.0278430451070615,0,0.027843,0,ml_only,0,,,,,,,,1,post_transaction_abuse,refund_fraud,customer payment cadence lowers risk;customer account age lowers risk;high generated risk score lowers risk
txn_6550eaeffa6d,0.12070362221541182,0,0.120704,0,ml_only,0,,,,,,,,1,social_engineering_payment_fraud,ai_impersonation,customer payment cadence lowers risk;session velocity lowers risk;IP velocity lowers risk
txn_a9509adf4557,0.07971229795797018,0,0.079712,0,ml_only,0,,,,,,,,1,social_engineering_payment_fraud,authorized_push_payment_scam,customer payment cadence lowers risk;high generated risk score raises risk;device history lowers risk
txn_f3163268e646,0.06585836669507474,0,0.065858,0,ml_only,0,,,,,,,,1,social_engineering_payment_fraud,authorized_push_payment_scam,high generated risk score lowers risk;IP velocity raises risk;device history lowers risk
txn_b3380e71f0e8,0.12808316297899347,0,0.128083,0,ml_only,0,,,,,,,,1,social_engineering_payment_fraud,authorized_push_payment_scam,device history lowers risk;customer account age lowers risk;payment_method_type_code lowers risk
txn_e2ead7e6e6c2,0.030445876801648515,0,0.030446,0,ml_only,0,,,,,,,,1,social_engineering_payment_fraud,executive_impersonation,unusual amount raises risk;customer account age lowers risk;customer payment cadence lowers risk
