device_id,session_id,browser_family,os_family,device_type,ip_country,ip_reputation_score,first_seen_days_ago,session_duration_seconds,failed_login_count
dev_d58445bb0cd3,sess_d58445bb0cd3,Safari,Android,desktop,DE,0.0276,435,998,1
dev_909a56b4acdb,sess_25722f93497d,Edge,macOS,mobile,US,0.0302,849,1338,0
dev_754b6b44764b,sess_05e1734386c7,Edge,iOS,tablet,AE,0.1989,1479,886,0
dev_9b476c04e751,sess_1652c66c3c15,Safari,Android,mobile,GB,0.0879,780,610,0
dev_df59a780e260,sess_46e83dccfaac,Firefox,Windows,mobile,US,0.2245,1097,1212,0
dev_25722f93497d,sess_50fa4550a10f,Chrome,macOS,mobile,GB,0.2117,297,1203,0
dev_de780ac3df28,sess_1bf2c1c629ec,Chrome,Android,mobile,IN,0.1427,489,866,1
dev_79b450855389,sess_e5f0d8bf3001,Edge,macOS,desktop,IN,0.12,150,572,0
dev_619300290f2b,sess_be80ad5f80ee,Edge,macOS,desktop,GB,0.1881,1033,978,1
dev_199e1dff1473,sess_01010f5b60d5,Firefox,Android,desktop,SG,0.1679,1459,611,1
dev_05e1734386c7,sess_ed0a5fa762a2,Chrome,Android,mobile,GB,0.1229,857,741,1
dev_bcd8cc8a4dfe,sess_a00867196400,Safari,Android,tablet,SG,0.2164,1018,456,0
dev_cd40dbbd346c,sess_7afb2b9fe147,Edge,iOS,tablet,US,0.0931,388,211,0
dev_28abba5904f6,sess_e156a95c534a,Firefox,Windows,desktop,GB,0.0143,965,799,0
dev_60d50df210bc,sess_3dffb49da550,Firefox,Windows,desktop,GB,0.0513,393,1661,0
dev_1652c66c3c15,sess_36b26e52f6a0,Safari,macOS,mobile,GB,0.19,1479,1371,1
dev_8e632c6f8ad3,sess_6a9e1012f1c1,Chrome,Android,tablet,AE,0.1012,1366,809,0
dev_6a64e01b2112,sess_a3a8d0c7450e,Chrome,Windows,tablet,SG,0.1691,1210,546,1
dev_f54ac94689a2,sess_47175b04d577,Firefox,Android,desktop,US,0.0114,829,1761,0
dev_081ec8a6e264,sess_ee25000a089f,Safari,Android,mobile,SG,0.1528,653,1296,0
dev_46e83dccfaac,sess_f807ca724f21,Chrome,macOS,mobile,US,0.223,756,1013,0
dev_b2225a920c8d,sess_21bf0da10f89,Safari,Android,tablet,IN,0.2443,1200,1091,1
dev_47cf84229a6e,sess_5d4911823f03,Firefox,Windows,tablet,US,0.0818,105,1387,0
dev_2139d9483d8a,sess_6add49a06227,Firefox,Windows,mobile,DE,0.0626,199,272,0
dev_d9ee53d23fcf,sess_67c799289c6c,Chrome,macOS,desktop,SG,0.1112,842,118,0
dev_50fa4550a10f,sess_2e1a629c2c06,Firefox,Android,mobile,GB,0.0095,1130,321,1
dev_3bb3c48c818e,sess_9ab5fbf70d15,Safari,iOS,tablet,IN,0.0543,511,490,1
dev_9a21a6a2d061,sess_1f852f4a5cf6,Firefox,Windows,mobile,IN,0.1849,528,1211,1
dev_d061606d6bb2,sess_7dcb251bccf6,Chrome,iOS,desktop,GB,0.1824,407,731,0
dev_7a7049e2d1b8,sess_3aafe8d2d5b8,Chrome,Windows,mobile,GB,0.1524,112,555,0
dev_1bf2c1c629ec,sess_27adcc7adefc,Edge,Windows,tablet,GB,0.0674,1482,1088,1
dev_7e82e774ca36,sess_07571f1c1efd,Chrome,Android,desktop,SG,0.1041,634,1780,1
dev_c249921093ba,sess_5d29849264d3,Safari,Windows,tablet,DE,0.1922,1362,1381,0
dev_04152c90d2e0,sess_0b5747d1a570,Chrome,Android,desktop,IN,0.1635,174,765,1
dev_5d847266b1ef,sess_60e2d121eb99,Chrome,Windows,mobile,DE,0.0429,679,882,0
dev_e5f0d8bf3001,sess_99d10671a1c4,Safari,Windows,tablet,AE,0.116,673,1118,0
dev_3429829990e4,sess_9ab142f517cc,Chrome,macOS,tablet,AE,0.0187,1404,1754,1
dev_ad0813a7c379,sess_117a85f0983a,Edge,macOS,desktop,AE,0.124,373,1045,0
dev_f3680544c4cc,sess_f4d3b93e0206,Safari,Windows,desktop,GB,0.1138,630,1446,1
dev_27a9eab343b6,sess_a42b4328a72f,Edge,iOS,tablet,SG,0.1593,1392,971,0
dev_be80ad5f80ee,sess_fa2ec9916140,Edge,iOS,tablet,US,0.2391,1154,609,1
dev_10b675eac959,sess_884838922fac,Safari,Windows,mobile,DE,0.0011,1326,585,0
dev_58f5ac4f519b,sess_156e06e80d07,Firefox,Android,mobile,SG,0.0747,193,420,1
dev_7b4293edce9c,sess_bf3fe20359b8,Firefox,Windows,desktop,GB,0.0053,1347,402,1
dev_151f7a12bb75,sess_a67b3ca081fb,Firefox,iOS,desktop,US,0.063,49,1009,0
dev_01010f5b60d5,sess_11637ec6f714,Safari,macOS,tablet,IN,0.0024,1311,1127,1
dev_956220fb30d1,sess_758118dcfd93,Safari,Android,tablet,IN,0.0894,936,1492,0
dev_67d2eb2213ff,sess_148ebb179f9e,Safari,Android,tablet,AE,0.1113,722,1163,0
dev_6b3862cdb34a,sess_0d0e7eb75c8e,Chrome,Windows,tablet,US,0.0351,761,882,0
dev_1f445c95ddd4,sess_56264a0b4a84,Safari,Windows,mobile,AE,0.1997,228,1506,0
dev_ed0a5fa762a2,sess_996e0eeb1939,Edge,Windows,mobile,IN,0.2367,1035,989,0
dev_7aeaad089233,sess_d2390731da4f,Firefox,iOS,desktop,DE,0.2089,1313,967,1
dev_7afddc7a02dd,sess_6a18eff67c3c,Chrome,Windows,desktop,US,0.0303,298,1237,0
dev_94972db21641,sess_6aa9fdb68f15,Edge,macOS,mobile,US,0.245,65,1280,0
dev_af12ba4770da,sess_20da69bf7a1d,Edge,macOS,mobile,DE,0.0012,1282,1504,0
dev_a00867196400,sess_b6d4646b7bd9,Safari,Android,mobile,AE,0.1498,1411,1734,0
dev_70d92173ffe6,sess_c0dde6555a2c,Edge,macOS,desktop,US,0.2475,114,1544,0
dev_e360fbfe9777,sess_90ae3d6f3519,Chrome,Windows,desktop,GB,0.0081,644,1074,0
dev_be8156222632,sess_5a645609f1e0,Firefox,iOS,mobile,SG,0.0641,1449,1640,1
dev_dd184cf77712,sess_470542947a8e,Chrome,macOS,desktop,GB,0.0325,73,1262,1
dev_7afb2b9fe147,sess_48feefb54e97,Safari,Android,tablet,SG,0.0025,475,1247,1
dev_f6b6679ab051,sess_8d589126134b,Firefox,Android,mobile,SG,0.0457,1361,1427,0
dev_4a508a0dee9d,sess_13f21897c6eb,Firefox,Windows,desktop,SG,0.0796,841,133,0
dev_796cf7f1daea,sess_0e54fa596730,Edge,Android,tablet,AE,0.05,349,1320,0
dev_c9bc8ba7e717,sess_e2e38dd6e68c,Chrome,iOS,desktop,AE,0.1265,1092,672,1
dev_e156a95c534a,sess_bd389df90db6,Chrome,Android,desktop,IN,0.1857,453,1463,1
dev_1ac7b287479a,sess_c40027e19516,Chrome,Android,desktop,GB,0.076,462,199,1
dev_21787fe2b3f7,sess_e0d6f9bc9262,Edge,Windows,mobile,US,0.1784,1189,625,0
dev_43192769f45f,sess_ffdc8fc1c167,Chrome,Windows,tablet,AE,0.1772,894,663,0
dev_ce3d2b0664ab,sess_141f14d445e9,Edge,Android,mobile,GB,0.2256,601,649,1
dev_3dffb49da550,sess_7eb32b4d3e95,Safari,Android,desktop,SG,0.1955,680,430,1
dev_1d8c1ae64a4b,sess_626a6e31fa87,Edge,macOS,tablet,US,0.0904,756,527,1
dev_5a31bc01a5dc,sess_481a6762c970,Chrome,macOS,tablet,SG,0.1349,871,411,1
dev_2bee733bfd87,sess_d270a9089bd1,Chrome,Android,desktop,US,0.063,1149,826,1
dev_0ec917614dcc,sess_f1de302554f1,Firefox,iOS,mobile,DE,0.2147,92,239,0
dev_36b26e52f6a0,sess_0c23ad0955f1,Chrome,iOS,tablet,US,0.2187,627,1368,1
dev_7eab7028aea8,sess_f0b63039bbcf,Safari,iOS,tablet,AE,0.2445,1337,113,1
dev_e84ddfe48c94,sess_f50d5c21171e,Firefox,macOS,tablet,IN,0.1735,603,901,0
dev_531284d0ba29,sess_e21ff6cab03c,Chrome,Windows,tablet,GB,0.0072,304,591,0
dev_409ffd6ff380,sess_c51677e0842b,Chrome,macOS,mobile,DE,0.1282,455,604,1
dev_6a9e1012f1c1,sess_07a1b8bfd6e7,Edge,Android,tablet,IN,0.1785,55,92,0
dev_19d2e530cc04,sess_b2ca4cb4e61f,Edge,Android,desktop,IN,0.0539,740,992,1
dev_808772153f6e,sess_6cfba13a696b,Edge,macOS,mobile,DE,0.0526,206,960,1
dev_9ed8fd64e9f8,sess_1a717c2cd0a3,Edge,Windows,tablet,AE,0.2029,252,828,1
dev_5c1b17bb9a15,sess_58cc5053522b,Firefox,Android,mobile,AE,0.138,1147,1173,1
dev_a3a8d0c7450e,sess_8be52e69eef0,Edge,iOS,mobile,US,0.2141,120,891,1
dev_9fff011ad58d,sess_29e005e10603,Chrome,macOS,tablet,AE,0.1721,1245,1330,0
dev_55acbfbbb1cc,sess_b46c6a2da723,Firefox,Windows,mobile,AE,0.1481,680,436,1
dev_49919d4cd8c5,sess_ac27416cf81e,Firefox,macOS,mobile,AE,0.0538,114,267,0
dev_58847855e3ac,sess_e4f33f129150,Safari,Android,desktop,AE,0.1429,759,710,1
dev_47175b04d577,sess_b892cfc110f5,Edge,Android,tablet,AE,0.1158,190,533,1
dev_cdc2e20ea1b9,sess_c8b01bdc9c08,Firefox,macOS,desktop,IN,0.227,983,1382,0
dev_c09f9a70c7b7,sess_1aa242ea8021,Edge,macOS,mobile,AE,0.1087,219,921,1
dev_f0b8a7aac405,sess_97b6a322caf0,Firefox,iOS,tablet,AE,0.0285,1096,469,0
dev_8a52c6c038de,sess_404a7f191c5e,Edge,Windows,mobile,SG,0.2346,402,102,0
dev_ee25000a089f,sess_29eaede3896b,Safari,macOS,tablet,US,0.2281,79,563,0
dev_75c8ecb32801,sess_e0e16d492ced,Edge,Windows,tablet,SG,0.0669,185,753,0
dev_4e8017e35b80,sess_20c624e99cdd,Safari,macOS,tablet,DE,0.0217,1236,371,1
dev_0a30604f88cd,sess_6cfad18f7604,Edge,Android,desktop,US,0.2238,864,134,1
dev_30bdc9194f51,sess_cfbb3d2b97de,Safari,iOS,desktop,DE,0.069,1142,1301,0
dev_aa07ae6ed807,sess_38a966de482a,Firefox,Android,desktop,GB,0.3791,142,392,0
dev_3e0dc76cf9e8,sess_920e9f1dbfd7,Chrome,iOS,tablet,IN,0.657,74,461,1
dev_905b908c4eef,sess_0382cb5e83ff,Firefox,Android,tablet,SG,0.2152,1219,656,1
dev_6ba4a1b5ea42,sess_1076939a907f,Edge,Windows,tablet,IN,0.1571,868,56,1
dev_45d2d9123ed1,sess_136587020f16,Safari,Android,tablet,GB,0.2399,1106,827,0
dev_924c30f97dad,sess_a288cf15e7a6,Safari,Windows,desktop,SG,0.0879,619,327,0
dev_48203e786a08,sess_8d04535d637b,Safari,Android,tablet,AE,0.3047,69,87,1
dev_f84a45a5e64e,sess_2c611c986b45,Edge,Android,tablet,DE,0.6596,199,676,4
dev_869575cd84d1,sess_ec50d941f140,Firefox,iOS,tablet,IN,0.6714,2,317,1
dev_c89914770f57,sess_b088d1129085,Safari,Windows,desktop,GB,0.0908,251,894,1
dev_67c5b517f0c1,sess_f6bb3a192cab,Edge,iOS,desktop,DE,0.1901,519,803,1
dev_34476f42e799,sess_20b37e0968e7,Safari,macOS,tablet,GB,0.5057,79,39,0
dev_eff9ba71a530,sess_42e10ce40990,Firefox,iOS,tablet,GB,0.3301,93,213,2
dev_1723d275f968,sess_d70a5738645b,Firefox,Windows,tablet,DE,0.7045,85,425,2
dev_7139be5cef9f,sess_746d4ec88b4b,Safari,Android,mobile,IN,0.1323,321,712,1
dev_36018f4e4e14,sess_8d2367f16077,Edge,macOS,mobile,DE,0.1349,333,452,0
dev_923dff87efc1,sess_9d2347542196,Chrome,Android,tablet,SG,0.6797,126,580,3
