transaction_id,fraud_score,prediction,ml_fraud_score,ml_prediction,decision_engine,llm_reviewed,llm_provider,llm_semantic_risk_score,llm_novelty_score,llm_recommendation,llm_rationale,llm_risk_indicators,llm_fallback,label,attack_bucket,attack_subtype,reason_codes
txn_1228ad2cefe8,0.008453489449993069,0,0.008453,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_4790a68c3bdf,0.013695129521302932,0,0.013695,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_b886787848c6,0.02113625605218704,0,0.021136,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;event_hour lowers risk;high generated risk score lowers risk
txn_89dc0aa4acde,0.03439401934996895,0,0.034394,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_7d1277f78d10,0.005385771427845024,0,0.005386,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;high generated risk score lowers risk;IP velocity lowers risk
txn_3710a1533e7e,0.040182406081904626,0,0.040182,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;event_hour lowers risk;high generated risk score lowers risk
txn_2a79556444a6,0.03940037737384178,0,0.0394,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_d397da168c20,0.005979786687204067,0,0.00598,0,ml_only,0,,,,,,,,0,,,amount deviation from customer history lowers risk;high generated risk score lowers risk;IP velocity lowers risk
txn_10c6287d13ff,0.022825218284936045,0,0.022825,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;event_hour lowers risk;high generated risk score lowers risk
txn_95dda685c895,0.03103256791544699,0,0.031033,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_3a4ce753a195,0.010029890236877984,0,0.01003,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_947fb889d7f1,0.01710420205363067,0,0.017104,0,ml_only,0,,,,,,,,0,,,high generated risk score lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_cf1982d23fd8,0.057753426604711416,0,0.057753,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;event_hour lowers risk;session velocity lowers risk
txn_a6ff13150ffe,0.053476676721121455,0,0.053477,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;event_hour lowers risk;session velocity lowers risk
txn_128b6547e713,0.030766942320777,0,0.030767,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_f2905fc8e813,0.01948232976051557,0,0.019482,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;high generated risk score lowers risk;session velocity lowers risk
txn_3645f47fcdf7,0.02305477199782887,0,0.023055,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_a2352d41560c,0.05297513639788203,0,0.052975,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;high generated risk score lowers risk;session velocity lowers risk
txn_0d789f72644c,0.02288608261901874,0,0.022886,0,ml_only,0,,,,,,,,0,,,amount deviation from customer history lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_dc9bf8142826,0.0957560274589098,0,0.095756,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;high generated risk score lowers risk;session velocity lowers risk
txn_2de970216fbb,0.026273822778111623,0,0.026274,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_c4c771932396,0.09112159151049025,0,0.091122,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;event_hour lowers risk;session velocity lowers risk
txn_d5dc2c8094f9,0.0665679978062868,0,0.066568,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;session velocity lowers risk;merchant chargeback behavior lowers risk
txn_20f625927f3e,0.05449591676368549,0,0.054496,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;session velocity lowers risk;event_hour lowers risk
txn_27faa1770aa4,0.13525,0,0.1165,0,hybrid_ml_llm,1,local_rules,0.179,0.3735,allow,Deterministic defensive review based on the primary model score and supplied behavioral signals.,IP velocity lowers risk;session velocity lowers risk;merchant chargeback behavior lowers risk,,0,,,IP velocity lowers risk;session velocity lowers risk;merchant chargeback behavior lowers risk
txn_7b2dd9dd429c,0.150514,1,0.132477,0,hybrid_ml_llm,1,local_rules,0.1926,0.3575,allow,Deterministic defensive review based on the primary model score and supplied behavioral signals.,IP velocity lowers risk;session velocity lowers risk;high generated risk score lowers risk,,0,,,IP velocity lowers risk;session velocity lowers risk;high generated risk score lowers risk
txn_a2f5bcb4b609,0.024466683583536607,0,0.024467,0,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;session velocity lowers risk;event_hour lowers risk
txn_3156afbdd6f6,0.015455541802143943,0,0.015456,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_f78da9bbf3e2,0.020402809660076147,0,0.020403,0,ml_only,0,,,,,,,,0,,,customer payment cadence lowers risk;IP velocity lowers risk;event_hour lowers risk
txn_981227a71b02,0.012757515783015387,0,0.012758,0,ml_only,0,,,,,,,,0,,,amount deviation from customer history lowers risk;IP velocity lowers risk;high generated risk score lowers risk
